step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.0411922931671143,-14.525855,
2,3.2643821239471436,-14.54745,
3,4.535934686660767,-14.40488,
4,5.8050572872161865,-13.693594,
5,7.075785398483276,-13.431045,
6,8.34680438041687,-11.927248,
7,9.62136697769165,-10.001038,
8,10.892077922821045,-9.217936,
9,12.163007736206055,-9.3255415,
10,13.440345048904419,-8.992941,
11,14.714104652404785,-13.406102,
12,15.990548849105835,-10.701799,
13,17.261638164520264,-14.740315,
14,18.53800106048584,-17.174429,
15,19.81585168838501,-17.06253,
16,21.09029722213745,-17.158606,
17,22.36264443397522,-16.967474,
18,23.63897967338562,-21.240328,
19,24.917242527008057,-13.291152,
20,26.197001218795776,-19.602962,
21,27.47873020172119,-23.26052,
22,28.757071495056152,-19.209106,
23,30.021615982055664,-22.103811,
24,31.298943042755127,-28.68012,
25,32.58011865615845,-19.698051,
26,33.876508474349976,-15.663219,
27,35.156357526779175,-19.202366,
28,36.436198472976685,-21.666943,
29,37.71625232696533,-18.936962,
30,38.99339509010315,-19.488838,
31,40.275346517562866,-23.337172,
32,41.55487298965454,-20.735264,
33,42.83250451087952,-23.950798,
34,44.11244201660156,-19.400673,
35,45.393373012542725,-23.039064,
36,46.67082619667053,-15.028081,
37,47.95060181617737,-16.293766,
38,49.231932401657104,-18.279888,
39,50.509843587875366,-12.806465,
40,51.790493965148926,-21.084375,
41,53.072755575180054,-17.703354,
42,54.3491268157959,-13.365709,
43,55.63007616996765,-20.154568,
44,56.90816354751587,-8.010879,
45,58.18986105918884,-11.56472,
46,59.46771478652954,-8.7034235,
47,60.7468376159668,-13.251627,
48,62.028786420822144,-9.483874,
49,63.30967426300049,-11.345325,
50,64.58736443519592,-6.3943014,
51,65.86899828910828,-8.757305,
52,67.14673256874084,-8.332174,
53,68.42523074150085,-6.999623,
54,69.70555281639099,-7.1923857,
55,70.98776245117188,-6.363695,
56,72.26489114761353,-7.26884,
57,73.54600834846497,-7.8164682,
58,74.8253972530365,-7.0778704,
59,76.1047568321228,-5.9779067,
60,77.38493537902832,-7.3493,
61,78.66524624824524,-4.940954,
62,79.94273161888123,-4.7957277,
63,81.22489666938782,-5.2805853,
64,82.50215911865234,-8.980989,
65,83.78176164627075,-7.4523716,
66,85.06334233283997,-4.894331,
67,86.3417317867279,-8.525403,
68,87.62156915664673,-10.006315,
69,88.90110230445862,-6.2468815,
70,90.18114995956421,-7.03584,
71,91.46143436431885,-4.3396325,
72,92.73885416984558,-4.1330514,
73,94.02212262153625,-4.375446,
74,95.29893136024475,-9.617273,
75,96.58063507080078,-13.524977,
76,97.85883951187134,-3.8760607,
77,99.13743209838867,-3.94565,
78,100.41800928115845,-5.786105,
79,101.69804763793945,-13.182041,
80,102.97827339172363,-4.9872813,
81,104.25708556175232,-5.751648,
82,105.53570985794067,-5.6732454,
83,106.8182168006897,-5.4506845,
84,108.09614634513855,-11.787027,
85,109.37726664543152,-6.2702713,
86,110.65687298774719,-8.328097,
87,111.93558406829834,-5.8495255,
88,113.21561098098755,-6.71229,
89,114.49366450309753,-5.7870297,
90,115.7761812210083,-6.7807293,
91,117.05535745620728,-11.277947,
92,118.33517026901245,-5.033545,
93,119.61688899993896,-4.636735,
94,120.89676785469055,-4.7107115,
95,122.17932391166687,-4.519788,
96,123.46910786628723,-7.1316447,
97,124.7507221698761,-5.834062,
98,126.03132462501526,-8.528048,
99,127.29109525680542,-4.5690804,
100,128.57114553451538,-5.863394,
101,129.85073947906494,-6.425603,
102,131.1313033103943,-4.8643603,
103,132.4112994670868,-6.3693457,
104,133.6918284893036,-3.5860028,
105,134.97078847885132,-4.5281315,
106,136.24998211860657,-7.59113,
107,137.52932953834534,-5.371214,
108,138.81025171279907,-4.88918,
109,140.1053249835968,-4.9618406,
110,141.38752055168152,-4.569145,
111,142.66646027565002,-3.9866068,
112,143.94889402389526,-4.9006944,
113,145.23189115524292,-4.9007177,
114,146.52027916908264,-5.0678253,
115,147.80095720291138,-6.068494,
116,149.0817482471466,-4.3200755,
117,150.36423349380493,-3.8498054,
118,151.64366126060486,-4.8263035,
119,152.92489314079285,-2.8407068,
120,154.20230269432068,-5.4790716,
121,155.48397397994995,-7.210888,
122,156.76669907569885,-2.6111584,
123,158.0538034439087,-3.9121869,
124,159.33801984786987,-4.005749,
125,160.61908888816833,-2.7471879,
126,161.8989589214325,-7.218473,
127,163.1807153224945,-3.9793773,
128,164.46220302581787,-3.1549883,
129,165.74329805374146,-3.0832207,
130,167.02704548835754,-5.1548915,
131,168.3138828277588,-2.7277453,
132,169.5953438282013,-4.456934,
133,170.87448263168335,-3.111908,
134,172.15575408935547,-5.2841053,
135,173.43698453903198,-5.7337437,
136,174.72229838371277,-3.1619713,
137,176.00490045547485,-6.145692,
138,177.29096055030823,-2.9580836,
139,178.57247853279114,-2.0101047,
140,179.85379457473755,-4.8193827,
141,181.13546562194824,-6.8225718,
142,182.41185975074768,-1.9999754,
143,183.69449377059937,-2.4165442,
144,184.97159719467163,-4.3629317,
145,186.2527928352356,-3.4400058,
146,187.53141927719116,-2.2662425,
147,188.81838870048523,-3.4988806,
148,190.10205554962158,-3.702674,
149,191.38659477233887,-7.1825013,
150,192.6671643257141,-8.023539,
151,193.94966220855713,-4.2000656,
152,195.228040933609,-3.2680957,
153,196.50699019432068,-3.3544366,
154,197.78706192970276,-6.6294894,
155,199.06962156295776,-3.5950086,
156,200.34971356391907,-2.894718,
157,201.6305742263794,-4.750315,
158,202.91049933433533,-2.8867133,
159,204.19733595848083,-4.4223413,
160,205.4806764125824,-3.1752346,
161,206.76292514801025,-2.4358118,
162,208.04274463653564,-3.3897426,
163,209.3244912624359,-4.1994867,
164,210.60088062286377,-2.8743124,
165,211.88101530075073,-2.3491476,
166,213.16391158103943,-3.8115363,
167,214.44295382499695,-5.7109265,
168,215.72058391571045,-5.076466,
169,217.0008089542389,-5.3184752,
