step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,3.7453243732452393,-14.596314,
2,4.993597030639648,-14.397536,
3,6.240682125091553,-13.725807,
4,7.483295440673828,-12.592136,
5,8.71918535232544,-10.351856,
6,9.962902307510376,-7.572217,
7,11.198415756225586,-4.3938303,
8,12.442157983779907,-1.7197338,
9,13.688554286956787,-0.5128201,
10,14.962810516357422,-0.5753001,
11,16.208821296691895,-0.6299958,
12,17.4603431224823,-0.860292,
13,18.715559244155884,-0.9155062,
14,19.97418522834778,-0.9326589,
15,21.230469942092896,-1.0516666,
16,22.48321294784546,-1.1001465,
17,23.75886058807373,-1.139917,
18,25.031660795211792,-1.0941763,
19,26.28330969810486,-0.9665623,
20,27.539750576019287,-1.1780398,
21,28.78973364830017,-1.1712937,
22,30.03397560119629,-1.6971782,
23,31.287947177886963,-1.4488562,
24,32.53849744796753,-1.4274781,
25,33.8152711391449,-1.5218039,
26,35.094812631607056,-1.342696,
27,36.36077332496643,-1.6298027,
28,37.6136314868927,-1.423219,
29,38.871652126312256,-1.4942482,
30,40.12478518486023,-1.5131111,
31,41.39033102989197,-1.4326882,
32,42.64192032814026,-1.8299558,
33,43.90363788604736,-1.9033923,
34,45.197070598602295,-1.9911809,
35,46.48094630241394,-1.8490192,
36,47.76073455810547,-1.6514189,
37,49.02720236778259,-1.5401572,
38,50.30533194541931,-1.6376405,
39,51.589399337768555,-1.8754638,
40,52.860512495040894,-2.0430467,
41,54.130839586257935,-1.7533123,
42,55.408138036727905,-2.2455854,
43,56.67530012130737,-1.4622824,
44,57.94472002983093,-1.9439669,
45,59.2140576839447,-2.2372026,
46,60.48043918609619,-1.785024,
47,61.746888160705566,-1.8339391,
48,63.01534080505371,-2.1242378,
49,64.28187131881714,-2.396922,
50,65.55659317970276,-1.7541828,
51,66.81997489929199,-1.8728626,
52,68.09106254577637,-1.7013472,
53,69.36434531211853,-2.2713006,
54,70.63040685653687,-1.8798435,
55,71.89878630638123,-1.82371,
56,73.17322278022766,-1.6617334,
57,74.446368932724,-1.8290664,
58,75.71753025054932,-2.0953767,
59,76.98896527290344,-1.6851816,
60,78.25620889663696,-1.8442123,
61,79.52414560317993,-2.3013148,
62,80.78983759880066,-1.8060141,
63,82.07366585731506,-2.2124968,
64,83.34383010864258,-2.6780815,
65,84.62264966964722,-2.0239706,
66,85.88686037063599,-1.7345793,
67,87.15492796897888,-1.8865578,
68,88.42917656898499,-1.9787498,
69,89.73138427734375,-1.5951366,
70,91.03296113014221,-1.61701,
71,92.3420569896698,-1.7756007,
72,93.64821171760559,-1.7760305,
73,94.95173740386963,-1.4431808,
74,96.22774124145508,-3.0443144,
75,97.5127534866333,-2.778151,
76,98.79135751724243,-3.0183358,
77,100.07564568519592,-3.8000743,
78,101.3609447479248,-1.7821426,
79,102.64298748970032,-2.1140218,
80,103.92701649665833,-2.1070557,
81,105.19525408744812,-2.9669747,
82,106.4746732711792,-2.4031136,
83,107.76460337638855,-4.4785814,
