step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.7160532474517822,-15.87616,
2,4.497483015060425,-15.967957,
3,6.334439277648926,-15.9371395,
4,8.172118186950684,-15.873301,
5,10.007644891738892,-15.330139,
6,11.8493812084198,-15.393221,
7,13.690793514251709,-14.877879,
8,15.532634496688843,-14.776106,
9,17.38162088394165,-14.232917,
10,19.23238468170166,-13.851695,
11,21.079115390777588,-13.696733,
12,22.92623496055603,-12.695518,
13,24.774434089660645,-12.653175,
14,26.624030113220215,-12.606521,
15,28.472697257995605,-11.629475,
16,30.32086992263794,-10.193359,
17,32.17045021057129,-9.223237,
18,34.02073121070862,-9.517959,
19,35.87100911140442,-6.598881,
20,37.71991586685181,-8.447816,
21,39.57090353965759,-10.131233,
22,41.41950035095215,-9.517457,
23,43.272361040115356,-12.906475,
24,45.12425184249878,-18.132246,
25,46.97345590591431,-15.598541,
26,48.826518058776855,-14.757537,
27,50.67687916755676,-18.663727,
28,52.53025507926941,-22.523056,
29,54.383514404296875,-21.044233,
30,56.2375648021698,-22.205301,
31,58.09485173225403,-26.699371,
32,59.95027208328247,-23.931435,
33,61.807942390441895,-28.071978,
34,63.66421151161194,-23.294405,
35,65.52049016952515,-28.136744,
36,67.37676620483398,-19.185911,
37,69.23307871818542,-20.781912,
38,71.08890223503113,-22.28286,
39,72.94713187217712,-15.267715,
40,74.80402278900146,-22.920357,
41,76.66211318969727,-19.261063,
42,78.51995825767517,-14.785749,
43,80.37656354904175,-23.940788,
44,82.2332501411438,-12.467456,
45,84.08863687515259,-21.99397,
46,85.94457483291626,-19.61589,
47,87.80233502388,-25.12437,
48,89.65962529182434,-16.7584,
49,91.51800227165222,-22.06482,
50,93.37586426734924,-13.992817,
51,95.23530101776123,-16.32114,
52,97.0923810005188,-12.753536,
53,98.94990038871765,-16.866543,
54,100.80675888061523,-17.514078,
55,102.66316294670105,-19.416275,
56,104.52092719078064,-21.399763,
57,106.37834787368774,-18.626171,
58,108.23667621612549,-22.365278,
59,110.0961492061615,-20.227774,
60,111.95506930351257,-17.233738,
61,113.81519770622253,-16.918587,
62,115.67411804199219,-14.279596,
63,117.53362846374512,-12.537444,
64,119.39096021652222,-13.128101,
65,121.24983716011047,-17.85424,
66,123.1097321510315,-13.29782,
67,124.97142124176025,-19.15829,
68,126.83003187179565,-23.206774,
69,128.6909077167511,-21.038292,
70,130.54749155044556,-20.109035,
71,132.40626573562622,-15.240989,
72,134.26611471176147,-12.1552,
73,136.12679624557495,-9.46619,
74,137.9860281944275,-10.536971,
75,139.8459014892578,-12.880268,
76,141.70597434043884,-12.392813,
77,143.5650713443756,-14.752515,
78,145.4238269329071,-14.257219,
79,147.2822666168213,-19.853985,
80,149.14159893989563,-13.480814,
81,151.00240349769592,-10.693186,
82,152.85996174812317,-8.063766,
83,154.71906757354736,-7.0484877,
84,156.57848644256592,-13.014235,
85,158.43728637695312,-9.468362,
86,160.29801559448242,-13.284988,
87,162.15665888786316,-10.059237,
88,164.0158724784851,-10.084252,
89,165.87725949287415,-8.49604,
90,167.73716378211975,-6.9486938,
91,169.5964961051941,-8.247976,
92,171.45632004737854,-6.003942,
93,173.31521034240723,-6.949053,
94,175.17463731765747,-6.8551507,
95,177.0341513156891,-8.205914,
96,178.89384365081787,-11.278373,
97,180.75209546089172,-6.401703,
98,182.6116967201233,-8.567207,
99,184.47075629234314,-5.336036,
100,186.3302435874939,-6.689907,
101,188.18883109092712,-7.3951354,
102,190.047789812088,-7.0125184,
103,191.90645742416382,-7.7909765,
104,193.76708269119263,-4.371539,
105,195.62609195709229,-5.0031767,
106,197.48688673973083,-9.24026,
107,199.34507131576538,-6.081526,
108,201.20385122299194,-4.8266215,
109,203.06315207481384,-5.597324,
110,204.9213833808899,-4.8791633,
111,206.781888961792,-4.8323445,
112,208.6414496898651,-6.7322555,
113,210.50064325332642,-6.0687795,
114,212.35989022254944,-5.5133386,
115,214.2194106578827,-5.3182726,
116,216.0794746875763,-4.1775146,
117,217.93898010253906,-4.1489906,
118,219.79835152626038,-5.611678,
119,221.65934419631958,-3.8916898,
120,223.51825094223022,-6.5444126,
121,225.37767386436462,-7.368968,
122,227.23827600479126,-3.249047,
123,229.09902906417847,-4.0132732,
124,230.9577329158783,-4.3898525,
125,232.8176760673523,-3.6472883,
126,234.6795437335968,-6.871056,
127,236.53982496261597,-5.2156363,
128,238.39904832839966,-4.816141,
129,240.2570493221283,-4.481194,
130,242.1165919303894,-7.142888,
131,243.9753701686859,-3.9919224,
132,245.83704900741577,-5.049116,
133,247.6975371837616,-5.697399,
134,249.55541515350342,-6.566124,
135,251.41423869132996,-7.2041235,
136,253.27326846122742,-4.438632,
137,255.13087677955627,-6.181357,
138,256.98946142196655,-4.2345214,
139,258.8487026691437,-4.153254,
140,260.7081780433655,-7.2594595,
141,262.56637501716614,-8.48964,
142,264.425833940506,-3.409667,
143,266.2858648300171,-3.218684,
144,268.14558148384094,-5.4317245,
145,270.00223779678345,-3.8578458,
146,271.86167073249817,-3.2907374,
147,273.72229862213135,-5.324652,
148,275.58216166496277,-4.6764507,
149,277.4411256313324,-7.7841544,
150,279.2994935512543,-8.046842,
151,281.15881752967834,-4.9983745,
152,283.01781463623047,-4.548092,
153,284.87660241127014,-4.761928,
154,286.7353744506836,-7.986664,
155,288.59487652778625,-4.9102817,
156,290.4537732601166,-4.150201,
157,292.31337571144104,-5.6219635,
158,294.1720492839813,-4.7213087,
159,296.03136944770813,-5.031748,
160,297.8921010494232,-4.653181,
161,299.7512309551239,-3.9285185,
162,301.6095678806305,-4.882557,
163,303.46929931640625,-5.2786646,
164,305.3298726081848,-4.378206,
165,307.18950963020325,-3.575201,
166,309.05003929138184,-5.461672,
167,310.9077396392822,-6.1211247,
168,312.7673795223236,-6.565917,
169,314.6264488697052,-6.810856,
170,316.4845952987671,-3.2200122,
171,318.3434181213379,-4.886165,
172,320.2020597457886,-3.9099185,
173,322.0618507862091,-4.409489,
174,323.92214584350586,-3.1235611,
175,325.78241419792175,-5.36288,
176,327.6425895690918,-3.6573095,
177,329.5021800994873,-3.266181,
178,331.361857175827,-4.620697,
179,333.22094774246216,-4.164336,
180,335.0808300971985,-4.494084,
181,336.939213514328,-4.5602508,
182,338.79909801483154,-3.2664754,
183,340.6588897705078,-3.7888927,
184,342.5190930366516,-8.221307,
185,344.3793828487396,-5.020406,
186,346.2385513782501,-4.8517942,
187,348.0968759059906,-4.570015,
188,349.95569610595703,-4.5217056,
189,351.8129971027374,-2.0588353,
190,353.6717576980591,-2.5224907,
191,355.52965450286865,-3.8567019,
192,357.3894724845886,-3.2531877,
193,359.2491261959076,-4.7577543,
194,361.10668683052063,-2.7399247,
195,362.9649872779846,-3.5043504,
196,364.8225681781769,-3.3318903,
197,366.68106842041016,-2.239496,
198,368.5382659435272,-2.1781683,
199,370.3961114883423,-3.0056303,
200,372.2526648044586,-4.406008,
201,374.1114327907562,-3.9458823,
202,375.96921396255493,-6.929662,
203,377.8290500640869,-2.5835993,
204,379.6880748271942,-2.1645072,
205,381.54551005363464,-2.3496099,
206,383.4047737121582,-7.729375,
207,385.263662815094,-2.534017,
208,387.1232876777649,-2.1814432,
209,388.98089933395386,-6.793731,
210,390.83925223350525,-4.5317106,
211,392.69902324676514,-2.7455468,
212,394.55834579467773,-5.440815,
213,396.4178922176361,-5.40174,
214,398.2769341468811,-5.17208,
215,400.1377248764038,-1.7052317,
216,401.99670696258545,-4.5283184,
217,403.85478162765503,-3.1273077,
218,405.71247148513794,-3.3870173,
219,407.5687665939331,-3.6646314,
220,409.42625737190247,-2.9850628,
221,411.28606128692627,-2.378116,
222,413.14370560646057,-7.529475,
223,415.00132060050964,-3.0957265,
224,416.8613259792328,-2.0062103,
225,418.72062730789185,-3.809093,
226,420.57728815078735,-3.145528,
227,422.43456625938416,-4.4209948,
228,424.2920870780945,-2.8725023,
229,426.15083408355713,-4.5465274,
230,428.0101523399353,-5.442002,
231,429.8683772087097,-3.0897443,
232,431.7256729602814,-4.6572633,
233,433.5844521522522,-5.4954877,
234,435.44122838974,-2.5154421,
235,437.29819798469543,-3.430942,
236,439.155880689621,-2.4826238,
237,441.01413106918335,-2.8048341,
238,442.8732328414917,-3.7343044,
239,444.731947183609,-3.0288591,
240,446.59101819992065,-5.201366,
241,448.44794178009033,-2.3106143,
242,450.30602383613586,-4.5370216,
243,452.16257882118225,-2.5811336,
244,454.02154517173767,-3.4610167,
245,455.87999391555786,-1.9298971,
246,457.73820519447327,-8.040245,
247,459.5967388153076,-6.884064,
248,461.4539706707001,-3.5994134,
249,463.3100252151489,-2.8200235,
250,465.1681876182556,-3.047542,
251,467.02725982666016,-2.1592166,
252,468.88496446609497,-3.7200222,
253,470.74264883995056,-4.1230907,
254,472.6015815734863,-2.510969,
255,474.4599812030792,-4.595374,
256,476.3190484046936,-2.3892527,
257,478.1773331165314,-1.8247132,
258,480.0337886810303,-1.626377,
259,481.89297676086426,-2.7987542,
260,483.75262570381165,-6.2271023,
261,485.61196994781494,-6.1950135,
262,487.4701020717621,-2.1851273,
263,489.3292739391327,-1.5740565,
264,491.18715143203735,-4.014303,
265,493.04388523101807,-2.2616172,
266,494.90134286880493,-3.6738846,
267,496.7586772441864,-2.3360834,
268,498.6158435344696,-11.710598,
269,500.4749891757965,-3.6428897,
270,502.3333384990692,-2.380055,
271,504.1911554336548,-2.9557338,
272,506.05020403862,-3.0265126,
273,507.9089367389679,-3.7252946,
274,509.76620292663574,-2.1004868,
275,511.6254527568817,-3.1768532,
276,513.4836905002594,-6.0440974,
277,515.3426172733307,-2.658486,
278,517.2018132209778,-2.4645827,
279,519.0621206760406,-1.7975001,
280,520.9212424755096,-4.0509415,
281,522.7804379463196,-1.6430333,
282,524.640273809433,-5.611494,
283,526.501707315445,-2.8284855,
284,528.3601222038269,-2.5042088,
285,530.2178809642792,-2.2259293,
286,532.0772593021393,-3.2302716,
287,533.9373688697815,-2.0232925,
288,535.7978746891022,-1.3553374,
289,537.6585228443146,-1.9754398,
290,539.5156557559967,-3.2564642,
291,541.3740465641022,-2.516955,
292,543.2337467670441,-5.7603045,
293,545.0931270122528,-3.4568474,
294,546.9520907402039,-6.839212,
295,548.8109097480774,-2.7609746,
296,550.669798374176,-3.8451817,
297,552.5287940502167,-1.4825907,
298,554.3889288902283,-1.8351679,
299,556.2476770877838,-4.6691675,
300,558.1076242923737,-2.315695,
301,559.9668745994568,-3.705216,
302,561.8259589672089,-3.2577114,
303,563.6853227615356,-0.83113736,
304,565.5440618991852,-2.0906537,
305,567.40260887146,-6.2812843,
306,569.2612810134888,-2.4557557,
307,571.1174273490906,-2.4405525,
308,572.9746356010437,-1.6861447,
309,574.8340723514557,-2.202542,
310,576.6921200752258,-2.131349,
311,578.5495672225952,-2.653989,
312,580.4083449840546,-3.4082751,
313,582.2668724060059,-2.172309,
314,584.1242895126343,-3.759056,
315,585.9821290969849,-5.924818,
316,587.8413546085358,-2.1039531,
317,589.6987245082855,-0.95537424,
318,591.5588777065277,-2.5057728,
