step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.6379730701446533,-14.518843,
2,3.982900381088257,-14.3281975,
3,5.2978856563568115,-13.98303,
4,6.635910987854004,-13.4478245,
5,7.964234352111816,-12.153021,
6,9.276613473892212,-10.413851,
7,10.581118106842041,-8.523198,
8,11.895538568496704,-6.2093487,
9,13.211246013641357,-3.7080145,
10,14.53738021850586,-1.8136429,
11,15.859447956085205,-1.1196673,
12,17.161609172821045,-1.0689669,
13,18.476056337356567,-1.6232622,
14,19.79051160812378,-1.9348848,
15,21.099350214004517,-1.8654008,
16,22.41025972366333,-1.834084,
17,23.72152543067932,-1.9437133,
18,25.02572464942932,-2.6980605,
19,26.32552480697632,-2.5958188,
20,27.625922203063965,-3.1774745,
21,28.965203523635864,-3.0035107,
22,30.25515627861023,-3.1096687,
23,31.56582808494568,-3.1443303,
24,32.84610390663147,-3.060396,
25,34.12326240539551,-3.4735894,
26,35.39343214035034,-4.25255,
27,36.644325494766235,-2.9454207,
28,37.873496770858765,-3.6068509,
29,39.097583055496216,-3.417471,
30,40.30572843551636,-4.089263,
31,41.521015644073486,-3.95647,
32,42.73912954330444,-4.893194,
33,43.95295310020447,-3.0068755,
34,45.139445781707764,-3.9685411,
35,46.334856033325195,-4.686377,
36,47.538105964660645,-4.3107023,
37,48.727527141571045,-4.8881598,
38,49.90674376487732,-4.787659,
39,51.09190630912781,-3.9235997,
40,52.275317430496216,-6.188675,
41,53.508620500564575,-5.821514,
42,54.70254874229431,-4.1733465,
43,55.88752341270447,-4.3689814,
44,57.08101439476013,-4.927374,
45,58.310816049575806,-4.0992846,
46,59.53570342063904,-4.569561,
47,60.73624777793884,-4.2556486,
48,61.94972467422485,-4.698202,
49,63.13895082473755,-3.7591908,
50,64.12854313850403,-4.6204705,
51,65.79125094413757,-4.894725,
52,67.02034211158752,-4.310176,
53,68.217618227005,-4.659048,
54,69.41625237464905,-4.178867,
55,70.60226821899414,-4.1854167,
56,71.79610180854797,-4.210384,
57,72.97937440872192,-5.14018,
58,74.16399455070496,-3.5687046,
59,75.3541932106018,-4.3579893,
60,76.53790831565857,-3.6584456,
61,77.71715140342712,-3.5544233,
62,78.93993020057678,-3.091526,
63,80.13746809959412,-4.203661,
64,81.34316158294678,-4.224333,
65,82.54448437690735,-3.8211746,
66,83.74918246269226,-3.2201295,
67,84.9654815196991,-3.1807184,
68,86.17036056518555,-4.2614026,
69,87.37328124046326,-4.2440696,
70,88.58013105392456,-4.4976897,
71,89.78400611877441,-4.1179113,
72,91.01471066474915,-4.0484085,
73,92.23919343948364,-4.2314496,
74,93.47745895385742,-4.0644875,
75,94.68471193313599,-4.261884,
76,95.90345907211304,-4.8539376,
77,97.12404441833496,-3.4134886,
78,98.36366581916809,-3.7923682,
79,99.58489108085632,-3.6733472,
80,100.80141639709473,-4.2397594,
81,102.02166676521301,-3.9999404,
82,103.25018811225891,-4.492327,
83,104.4535562992096,-3.0917258,
84,105.67653679847717,-3.6092288,
85,106.89999151229858,-4.203559,
86,108.15327882766724,-3.6331103,
87,109.36658263206482,-4.113312,
88,110.56801986694336,-3.8883064,
89,111.7840301990509,-3.2207,
90,112.99267673492432,-4.9235487,
91,114.198326587677,-4.874323,
92,115.40525388717651,-3.5625541,
93,116.61536288261414,-3.7387414,
94,117.8301899433136,-4.010377,
95,119.0580620765686,-3.186699,
96,120.27108693122864,-3.5979886,
97,121.49839735031128,-3.4994907,
