step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.1335623264312744,-16.504984,
2,1.6556761264801025,-16.73368,
3,2.2719168663024902,-16.48528,
4,2.891274929046631,-16.024975,
5,3.511493444442749,-16.017096,
6,4.130978107452393,-15.448797,
7,4.751343250274658,-14.511037,
8,5.369967222213745,-13.562389,
9,5.990622043609619,-12.767551,
10,6.609942674636841,-11.4855175,
11,7.230756044387817,-10.275148,
12,7.852663993835449,-9.605222,
13,8.473571062088013,-7.9148707,
14,9.094014883041382,-6.1118536,
15,9.714871406555176,-5.2296667,
16,10.335312366485596,-3.6033902,
17,10.957130193710327,-2.6734247,
18,11.580370664596558,-2.1582012,
19,12.20359182357788,-2.6081796,
20,12.826107263565063,-2.4780886,
21,13.40982174873352,-3.1354873,
22,14.118540287017822,-3.6276512,
23,14.740934133529663,-3.6602836,
24,15.361761331558228,-4.5817995,
25,15.98571228981018,-5.168048,
26,16.608976364135742,-5.996113,
27,17.23207998275757,-6.4307976,
28,17.855331420898438,-6.802843,
29,18.47757601737976,-6.634233,
30,19.099945545196533,-6.959261,
31,19.722962379455566,-7.4835634,
32,20.346393585205078,-8.026712,
33,20.969809532165527,-9.518316,
34,21.59303569793701,-8.819134,
35,22.216015100479126,-8.355816,
36,22.838412523269653,-8.832586,
37,23.46102213859558,-9.562323,
38,24.08363437652588,-10.242624,
39,24.70574402809143,-9.178362,
40,25.32934546470642,-10.7184925,
41,25.953624963760376,-8.962606,
42,26.537911415100098,-9.498014,
43,27.260324239730835,-9.619673,
44,27.884926795959473,-8.989445,
45,28.507193565368652,-9.54126,
46,29.131048440933228,-9.667265,
47,29.7543728351593,-10.240061,
48,30.376920223236084,-10.184609,
49,31.001168966293335,-9.975935,
50,31.625898599624634,-9.139079,
51,32.25037693977356,-9.209295,
52,32.87570571899414,-9.349621,
53,33.49990105628967,-9.605312,
54,34.12492656707764,-10.945918,
55,34.74989175796509,-9.683757,
56,35.375816106796265,-8.858895,
57,36.00045657157898,-9.081295,
58,36.62666296958923,-9.55033,
59,37.25017762184143,-10.004688,
60,37.87539577484131,-8.764755,
61,38.500548362731934,-10.065326,
62,39.1261043548584,-8.32652,
63,39.71109461784363,-8.76314,
64,40.43671011924744,-8.839283,
65,41.06288385391235,-8.246948,
66,41.686455965042114,-8.768343,
67,42.31304311752319,-8.895609,
68,42.93854355812073,-9.467234,
69,43.56499361991882,-9.447395,
70,44.19111680984497,-9.314653,
71,44.81713247299194,-8.58027,
72,45.44380593299866,-8.724447,
73,46.0696702003479,-8.932676,
74,46.695313930511475,-9.283222,
75,47.321035861968994,-10.688648,
76,47.94685626029968,-9.555046,
77,48.575273513793945,-8.820475,
78,49.20337224006653,-9.138241,
79,49.83166456222534,-9.687866,
80,50.461533069610596,-10.23018,
81,51.089195013046265,-9.012295,
82,51.714884519577026,-10.392286,
83,52.34009861946106,-8.594156,
84,52.92680907249451,-9.034767,
85,53.662633657455444,-9.085453,
86,54.290329933166504,-8.438009,
87,54.91390538215637,-8.921597,
88,55.54201149940491,-9.000008,
89,56.1669979095459,-9.5237255,
90,56.794201135635376,-9.453706,
91,57.42050051689148,-9.279244,
92,58.04677867889404,-8.505049,
93,58.67351818084717,-8.631496,
94,59.299368143081665,-8.830231,
95,59.92489695549011,-9.185257,
96,60.5512170791626,-10.56756,
97,61.17693305015564,-9.412884,
98,61.802449226379395,-8.660054,
99,62.43034243583679,-8.970707,
100,63.0563530921936,-9.530197,
101,63.681862115859985,-10.062159,
102,64.30952453613281,-8.894062,
103,64.93650889396667,-10.275574,
104,65.56262469291687,-8.507626,
105,66.14924669265747,-8.953779,
106,66.86958360671997,-9.003183,
107,67.49844026565552,-8.370687,
108,68.12198638916016,-8.867357,
109,68.75031161308289,-8.9625,
110,69.37795090675354,-9.5097275,
111,70.00494956970215,-9.434589,
112,70.63291454315186,-9.252012,
113,71.25917792320251,-8.446396,
114,71.8872697353363,-8.573352,
115,72.51531958580017,-8.757326,
116,73.14187121391296,-9.118526,
117,73.76889491081238,-10.484152,
118,74.39849662780762,-9.233974,
119,75.0274109840393,-8.463535,
120,75.65686845779419,-8.74757,
121,76.28235220909119,-9.364954,
122,76.9091968536377,-9.908802,
123,77.5375452041626,-8.685623,
124,78.16419076919556,-10.015078,
125,78.79150295257568,-8.19664,
126,79.3784806728363,-8.66571,
127,80.12198805809021,-8.68696,
128,80.75131845474243,-8.004837,
129,81.38101744651794,-8.34156,
130,82.00501418113708,-8.397513,
131,82.62638068199158,-8.568304,
132,83.24852061271667,-8.23666,
133,83.87220668792725,-7.484045,
134,84.49405312538147,-6.289654,
135,85.11996245384216,-5.8807926,
136,85.74506258964539,-2.3248787,
137,86.37152552604675,-10.627767,
138,86.9932610988617,-12.269981,
139,87.61550664901733,-9.778508,
140,88.23933172225952,-7.6022015,
141,88.86143112182617,-6.569509,
142,89.48441863059998,-6.549795,
143,90.10767602920532,-7.432617,
144,90.73081302642822,-7.274968,
145,91.35356760025024,-8.527763,
146,91.97787714004517,-6.5290127,
147,92.56183910369873,-6.0808244,
148,93.28541779518127,-4.991576,
149,93.91007351875305,-3.9982498,
150,94.53111982345581,-4.1273575,
151,95.15575218200684,-4.124774,
152,95.77841758728027,-2.8342223,
153,96.4024646282196,-2.3323572,
154,97.02606630325317,-2.3754215,
155,97.64891600608826,-1.3270215,
156,98.27442574501038,-1.6856898,
157,98.89616179466248,-1.191155,
158,99.52069139480591,-2.4073074,
159,100.14395451545715,-2.6857047,
160,100.76742386817932,-1.5446265,
161,101.39016151428223,-1.1129746,
162,102.01375436782837,-1.226028,
163,102.63650727272034,-1.4435165,
164,103.25951957702637,-1.5558941,
165,103.88353371620178,-1.3647835,
166,104.50647687911987,-1.5565443,
167,105.13011813163757,-1.206329,
168,105.71472597122192,-1.2923162,
169,106.45404505729675,-1.394279,
170,107.07857847213745,-1.0617938,
171,107.69990372657776,-1.1118727,
172,108.32504057884216,-1.1423962,
173,108.94689750671387,-1.2651283,
174,109.5697455406189,-1.3528925,
175,110.19309306144714,-1.4328146,
176,110.81660914421082,-1.201679,
177,111.43975710868835,-1.3278651,
178,112.06361413002014,-1.0851767,
179,112.68554592132568,-0.9825369,
180,113.31084108352661,-1.8504777,
181,113.93293142318726,-1.2054272,
182,114.55675673484802,-1.0873657,
183,115.18018507957458,-1.1900538,
184,115.80411434173584,-1.4824793,
185,116.42809796333313,-1.2631211,
186,117.05149173736572,-0.9391265,
187,117.67484641075134,-1.2929662,
188,118.29715704917908,-1.151441,
189,118.88265681266785,-1.3838067,
190,119.62948393821716,-1.1606474,
191,120.25479698181152,-1.0670208,
192,120.88005328178406,-1.2745559,
193,121.5058069229126,-1.2205638,
194,122.1279935836792,-1.2085352,
195,122.75072503089905,-1.3139477,
196,123.37404251098633,-1.3556948,
197,123.99717116355896,-1.2761906,
198,124.62166047096252,-1.1950121,
199,125.24421191215515,-1.1110176,
200,125.87743997573853,-1.2127371,
201,126.50121235847473,-1.9258281,
202,127.1230456829071,-1.4793255,
203,127.74694323539734,-1.4782366,
204,128.36937403678894,-1.0809972,
205,128.99226260185242,-1.3450564,
206,129.6159794330597,-1.2175689,
207,130.23820424079895,-1.113804,
208,130.86196970939636,-1.0472227,
209,131.48410630226135,-1.0191958,
210,132.06976008415222,-1.173599,
211,132.79218888282776,-1.1038997,
212,133.4170322418213,-0.94619405,
213,134.0379114151001,-1.2052956,
214,134.6645336151123,-1.2197871,
215,135.2858316898346,-1.2936927,
216,135.91029953956604,-1.7183836,
217,136.53303337097168,-1.4622645,
218,137.15657758712769,-1.0265329,
219,137.7812647819519,-1.0695345,
220,138.4034299850464,-1.068434,
221,139.02702283859253,-0.8505947,
222,139.65060186386108,-1.8478992,
223,140.2738790512085,-1.143017,
224,140.8987467288971,-0.9582548,
225,141.52339601516724,-1.0666333,
226,142.1464216709137,-1.4378321,
227,142.7691342830658,-1.2330983,
228,143.39306354522705,-0.96531177,
229,144.0162091255188,-1.0383546,
230,144.6390278339386,-0.9626565,
231,145.22212553024292,-1.2416307,
232,145.94218921661377,-1.1991161,
233,146.56723642349243,-1.1540469,
234,147.18962717056274,-1.2035239,
235,147.81281542778015,-1.1082966,
236,148.43610668182373,-1.0525851,
237,149.06000661849976,-0.76817846,
238,149.68297457695007,-1.2716405,
239,150.30578184127808,-0.87129986,
240,150.92935276031494,-1.3119656,
241,151.5528347492218,-0.91925824,
242,152.17593264579773,-0.94652665,
243,152.79818320274353,-1.5697836,
244,153.42034697532654,-0.96662986,
245,154.0438961982727,-1.0309236,
246,154.66797018051147,-1.1725891,
247,155.29110288619995,-1.5603453,
248,155.91547083854675,-1.3779228,
249,156.53857731819153,-0.8520529,
250,157.1619749069214,-1.0208158,
251,157.7843463420868,-0.87303686,
252,158.3691759109497,-0.8665262,
253,159.10996985435486,-1.0139532,
254,159.7345061302185,-0.9532753,
255,160.3563187122345,-1.0331662,
256,160.98207235336304,-1.0395045,
257,161.60508513450623,-1.12143,
258,162.22847819328308,-0.9556491,
259,162.8520803451538,-1.1894287,
260,163.4742660522461,-1.0416743,
261,164.0974633693695,-0.6022985,
262,164.72113275527954,-1.2699364,
263,165.3459448814392,-0.6914731,
264,165.9685354232788,-0.75258917,
265,166.593759059906,-0.7865772,
266,167.21723127365112,-0.7577175,
267,167.84107398986816,-0.7629863,
268,168.46511268615723,-1.4860342,
269,169.08764934539795,-1.1332455,
270,169.71279072761536,-1.0501685,
271,170.33583879470825,-0.5203337,
272,170.96103644371033,-0.81721723,
273,171.5455493927002,-1.0597605,
274,172.2669017314911,-1.3934324,
275,172.89235019683838,-0.8799929,
276,173.5146939754486,-0.94512373,
277,174.14202904701233,-1.4065154,
278,174.76372599601746,-1.2393241,
279,175.38912391662598,-0.985719,
280,176.0115728378296,-1.06906,
281,176.6360776424408,-0.5238277,
