step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.756842613220215,-14.622404,
2,4.121089458465576,-14.595665,
3,5.5329296588897705,-14.226238,
4,6.9390709400177,-13.853395,
5,8.35174036026001,-13.441495,
6,9.758744478225708,-12.434265,
7,11.16844916343689,-10.61343,
8,12.580392360687256,-9.9357395,
9,13.997235298156738,-10.081824,
10,15.416193962097168,-9.075687,
11,16.83150291442871,-11.923538,
12,18.246032238006592,-9.462309,
13,19.661957263946533,-13.624434,
14,21.079033136367798,-16.774206,
15,22.498313426971436,-16.695919,
16,23.9234778881073,-17.01922,
17,25.340993642807007,-17.168362,
18,26.750834465026855,-21.861431,
19,28.165021657943726,-13.507204,
20,29.5739963054657,-19.973413,
21,30.971944570541382,-24.118158,
22,32.37596130371094,-19.739151,
23,33.77566576004028,-22.615112,
24,35.17161226272583,-30.064629,
25,36.56551766395569,-19.813515,
26,37.96423316001892,-15.691153,
27,39.35604667663574,-19.227041,
28,40.74721598625183,-21.522852,
29,42.138198137283325,-18.981762,
30,43.52833700180054,-18.606628,
31,44.92456007003784,-23.109913,
32,46.31619954109192,-19.830948,
33,47.70614767074585,-22.929974,
34,49.09951949119568,-17.577953,
35,50.49291634559631,-20.518883,
36,51.87873601913452,-12.292279,
37,53.269007444381714,-14.560671,
38,54.661526679992676,-18.394218,
39,56.06016683578491,-12.923003,
40,57.466240644454956,-21.756119,
41,58.86948609352112,-15.831553,
42,60.281514406204224,-9.625158,
43,61.70127058029175,-20.0616,
44,63.124728202819824,-5.504629,
45,64.54511857032776,-14.200559,
46,65.96839118003845,-12.455435,
47,67.38856840133667,-13.434607,
48,68.81389355659485,-7.5427427,
49,70.23739337921143,-13.784409,
50,71.65613555908203,-8.44044,
51,73.07357215881348,-9.986539,
52,74.4990599155426,-7.006027,
53,75.91788053512573,-6.9714417,
54,77.3363687992096,-7.0290384,
55,78.7529821395874,-7.8275924,
56,80.17028570175171,-8.562956,
57,81.59092950820923,-7.294792,
58,83.00991773605347,-7.266457,
59,84.42944526672363,-5.395348,
60,85.84821057319641,-6.5661335,
61,87.2726480960846,-4.903145,
62,88.6935122013092,-5.010911,
63,90.11154437065125,-5.225437,
64,91.53043031692505,-8.186622,
65,92.94849920272827,-7.0076075,
66,94.36510705947876,-5.2736607,
67,96.13146829605103,-6.626359,
68,97.5544502735138,-9.341536,
69,98.97731685638428,-7.6450224,
70,100.39980173110962,-7.7992463,
71,101.81846189498901,-4.5625453,
72,103.23697519302368,-4.331792,
73,104.65522170066833,-4.2258697,
74,106.07495927810669,-8.226142,
75,107.49518752098083,-11.857093,
76,108.91358637809753,-4.464699,
77,110.33371019363403,-4.6601915,
78,111.76070046424866,-7.0200553,
79,113.18447160720825,-16.34543,
80,114.6017861366272,-5.0738573,
81,116.02509498596191,-5.7022676,
82,117.45082235336304,-5.345156,
83,118.87207388877869,-4.7084756,
84,120.28167486190796,-13.956794,
85,121.6939103603363,-7.702676,
86,123.10681653022766,-9.509801,
87,124.52191138267517,-6.4435215,
88,125.93531942367554,-7.2913694,
89,127.34475302696228,-5.9390388,
90,128.75512623786926,-6.4149566,
91,130.16807556152344,-10.28536,
92,131.5791540145874,-5.8521776,
93,132.98748636245728,-5.8704734,
94,134.39894199371338,-5.783743,
95,135.8099548816681,-5.5534697,
96,137.22000885009766,-8.518285,
97,138.6349892616272,-5.9192185,
