layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.23013745
input_transformers.layers.0.ffn.gate,1,0.050152984
input_transformers.layers.0.ffn.gate,2,0.022070598
input_transformers.layers.0.ffn.gate,3,0.11897865
input_transformers.layers.0.ffn.gate,4,0.11591633
input_transformers.layers.0.ffn.gate,5,0.11996172
input_transformers.layers.0.ffn.gate,6,0.112696975
input_transformers.layers.0.ffn.gate,7,0.2300853
input_transformers.layers.1.ffn.gate,0,0.2837206
input_transformers.layers.1.ffn.gate,1,0.029451972
input_transformers.layers.1.ffn.gate,2,0.061059795
input_transformers.layers.1.ffn.gate,3,0.14017013
input_transformers.layers.1.ffn.gate,4,0.06629477
input_transformers.layers.1.ffn.gate,5,0.26353645
input_transformers.layers.1.ffn.gate,6,0.06544417
input_transformers.layers.1.ffn.gate,7,0.09032216
input_transformers.layers.2.ffn.gate,0,0.21798661
input_transformers.layers.2.ffn.gate,1,0.18662202
input_transformers.layers.2.ffn.gate,2,0.032075763
input_transformers.layers.2.ffn.gate,3,0.19567883
input_transformers.layers.2.ffn.gate,4,0.04903829
input_transformers.layers.2.ffn.gate,5,0.018911352
input_transformers.layers.2.ffn.gate,6,0.06160273
input_transformers.layers.2.ffn.gate,7,0.23808444
input_transformers.layers.3.ffn.gate,0,0.038353752
input_transformers.layers.3.ffn.gate,1,0.021125108
input_transformers.layers.3.ffn.gate,2,0.028149344
input_transformers.layers.3.ffn.gate,3,0.33316138
input_transformers.layers.3.ffn.gate,4,0.02571806
input_transformers.layers.3.ffn.gate,5,0.030229911
input_transformers.layers.3.ffn.gate,6,0.27419987
input_transformers.layers.3.ffn.gate,7,0.24906258
input_transformers.layers.4.ffn.gate,0,0.0727014
input_transformers.layers.4.ffn.gate,1,0.038674537
input_transformers.layers.4.ffn.gate,2,0.50427425
input_transformers.layers.4.ffn.gate,3,0.08796779
input_transformers.layers.4.ffn.gate,4,0.2142528
input_transformers.layers.4.ffn.gate,5,0.026170377
input_transformers.layers.4.ffn.gate,6,0.03914095
input_transformers.layers.4.ffn.gate,7,0.016817862
input_transformers.layers.5.ffn.gate,0,0.6642731
input_transformers.layers.5.ffn.gate,1,0.039421618
input_transformers.layers.5.ffn.gate,2,0.029070148
input_transformers.layers.5.ffn.gate,3,0.036515474
input_transformers.layers.5.ffn.gate,4,0.09122517
input_transformers.layers.5.ffn.gate,5,0.04652543
input_transformers.layers.5.ffn.gate,6,0.036196046
input_transformers.layers.5.ffn.gate,7,0.056772985
input_transformers.layers.6.ffn.gate,0,0.01313062
input_transformers.layers.6.ffn.gate,1,0.02515766
input_transformers.layers.6.ffn.gate,2,0.06746682
input_transformers.layers.6.ffn.gate,3,0.033819225
input_transformers.layers.6.ffn.gate,4,0.46103814
input_transformers.layers.6.ffn.gate,5,0.08280526
input_transformers.layers.6.ffn.gate,6,0.22772694
input_transformers.layers.6.ffn.gate,7,0.08885536
input_transformers.layers.7.ffn.gate,0,0.027100408
input_transformers.layers.7.ffn.gate,1,0.13245764
input_transformers.layers.7.ffn.gate,2,0.02565952
input_transformers.layers.7.ffn.gate,3,0.024581566
input_transformers.layers.7.ffn.gate,4,0.07937094
input_transformers.layers.7.ffn.gate,5,0.060322374
input_transformers.layers.7.ffn.gate,6,0.01963307
input_transformers.layers.7.ffn.gate,7,0.63087445
input_transformers.layers.8.ffn.gate,0,0.03090223
input_transformers.layers.8.ffn.gate,1,0.011519863
input_transformers.layers.8.ffn.gate,2,0.076257624
input_transformers.layers.8.ffn.gate,3,0.65432155
input_transformers.layers.8.ffn.gate,4,0.025970938
input_transformers.layers.8.ffn.gate,5,0.069510534
input_transformers.layers.8.ffn.gate,6,0.05261154
input_transformers.layers.8.ffn.gate,7,0.07890578
input_transformers.layers.9.ffn.gate,0,0.5968466
input_transformers.layers.9.ffn.gate,1,0.15995827
input_transformers.layers.9.ffn.gate,2,0.033592895
input_transformers.layers.9.ffn.gate,3,0.027844561
input_transformers.layers.9.ffn.gate,4,0.008815395
input_transformers.layers.9.ffn.gate,5,0.12744173
input_transformers.layers.9.ffn.gate,6,0.032362986
input_transformers.layers.9.ffn.gate,7,0.013137638
input_transformers.layers.10.ffn.gate,0,0.017555118
input_transformers.layers.10.ffn.gate,1,0.030498857
input_transformers.layers.10.ffn.gate,2,0.11089585
input_transformers.layers.10.ffn.gate,3,0.08283907
input_transformers.layers.10.ffn.gate,4,0.016750965
input_transformers.layers.10.ffn.gate,5,0.018321214
input_transformers.layers.10.ffn.gate,6,0.65656734
input_transformers.layers.10.ffn.gate,7,0.066571675
input_transformers.layers.11.ffn.gate,0,0.08024313
input_transformers.layers.11.ffn.gate,1,0.060344845
input_transformers.layers.11.ffn.gate,2,0.024535423
input_transformers.layers.11.ffn.gate,3,0.37798858
input_transformers.layers.11.ffn.gate,4,0.3966139
input_transformers.layers.11.ffn.gate,5,0.009980715
input_transformers.layers.11.ffn.gate,6,0.01598434
input_transformers.layers.11.ffn.gate,7,0.03430902
