train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.11887073,0.1485884,0.06686478,0.16344725,0.05052006,0.06686478,0.11887073,0.26597324
100,1,0.17704011,0.23789765,0.060857538,0.112033196,0.038727526,0.019363763,0.10650069,0.24757953
200,2,0.22646311,0.18575063,0.03816794,0.103053436,0.050890584,0.030534351,0.13740458,0.22773537
300,3,0.25318247,0.25318247,0.038189534,0.07496464,0.04101839,0.016973127,0.06930693,0.25318247
400,4,0.27245054,0.1978691,0.02587519,0.14916286,0.0304414,0.0152207,0.03652968,0.27245054
500,5,0.25354108,0.11048159,0.035410766,0.25354108,0.04532578,0.014164306,0.033994336,0.25354108
600,6,0.2060606,0.096969694,0.030303031,0.24242425,0.07878788,0.006060606,0.07272727,0.26666668
700,7,0.2196319,0.16319019,0.06503067,0.19509202,0.05398773,0.019631902,0.06380368,0.2196319
800,8,0.24420191,0.06957708,0.054570258,0.19372442,0.046384722,0.03410641,0.11323329,0.24420191
900,9,0.22516556,0.12980132,0.038410597,0.19337748,0.0781457,0.025165563,0.07284768,0.23708609
1000,10,0.22153465,0.19183168,0.033415843,0.21534653,0.042079207,0.011138614,0.063118815,0.22153465
1100,11,0.2482663,0.14563107,0.01664355,0.24549237,0.04299584,0.009708738,0.04299584,0.2482663
1200,12,0.20957309,0.23156533,0.0232859,0.1927555,0.043984476,0.0232859,0.043984476,0.23156533
1300,13,0.2303665,0.2303665,0.020942409,0.2303665,0.05235602,0.005235602,0.010471204,0.21989529
1400,14,0.22629583,0.22629583,0.013906447,0.22629583,0.03034134,0.011378002,0.039190896,0.22629583
1500,15,0.23962517,0.23962517,0.0066934405,0.23962517,0.050870147,0.013386881,0.009370817,0.20080322
1600,16,0.16976127,0.23740053,0.01193634,0.23740053,0.055702917,0.0132626,0.037135277,0.23740053
1700,17,0.18905473,0.22263682,0.012437811,0.22263682,0.05348259,0.013681592,0.063432835,0.22263682
1800,18,0.21065989,0.22715735,0.016497461,0.22715735,0.04568528,0.010152284,0.035532996,0.22715735
