step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,27.618895292282104,-14.626537,
2,30.039719343185425,-14.623333,
3,32.44670248031616,-13.982003,
4,34.819831132888794,-12.437505,
5,37.23482036590576,-10.051001,
6,39.65976405143738,-7.2966843,
7,42.13077449798584,-3.910213,
8,44.9973258972168,-1.597913,
9,47.88785243034363,-1.0671794,
10,50.30920195579529,-1.2511916,
11,52.73070955276489,-1.612371,
12,55.15351438522339,-1.8322798,
13,57.549607276916504,-2.2494354,
14,59.058812618255615,-2.234993,
15,61.915847301483154,-2.4712493,
16,64.26896834373474,-2.8053536,
17,66.64383959770203,-2.8856251,
18,68.98025679588318,-3.2416518,
19,71.31280064582825,-3.2604537,
20,73.6510226726532,-3.6369476,
21,75.09737873077393,-3.3003724,
22,77.88968420028687,-3.4785662,
23,80.20791387557983,-3.7492309,
24,82.45483827590942,-3.734242,
25,84.67276978492737,-4.0740952,
26,86.88140726089478,-4.029785,
27,89.06835460662842,-4.4416933,
28,90.41283774375916,-3.9869606,
29,93.11542844772339,-4.159629,
30,95.32826566696167,-4.4513874,
31,97.59071397781372,-4.4026446,
32,99.78405714035034,-4.7739773,
33,101.966965675354,-4.7053065,
34,104.15862584114075,-5.1575675,
35,105.51497650146484,-4.5872626,
36,108.24103093147278,-4.766715,
37,110.4192590713501,-5.037149,
38,112.61064171791077,-4.9273033,
39,114.78788328170776,-5.236417,
40,116.97404336929321,-5.001775,
41,119.15331077575684,-5.326429,
42,120.49476909637451,-4.558779,
43,123.24394369125366,-4.6462393,
44,125.48060512542725,-4.78751,
45,127.7068841457367,-4.6195054,
46,129.95219135284424,-4.912401,
47,132.19274163246155,-4.580677,
48,134.42311072349548,-4.9242325,
49,135.82911920547485,-4.259326,
50,138.5184621810913,-4.3647103,
51,140.76992630958557,-4.439773,
52,143.1104598045349,-3.8692746,
53,145.3959903717041,-3.587267,
54,147.733482837677,-3.0662384,
55,150.12809896469116,-2.795216,
56,151.6151580810547,-1.4674613,
57,154.48258924484253,-1.4609504,
58,156.9266767501831,-1.3635557,
59,159.38448333740234,-1.1819134,
60,161.85097360610962,-1.1421361,
61,164.3550262451172,-0.8244355,
62,166.82313680648804,-0.9070064,
63,168.34999108314514,-0.8181757,
64,171.35223245620728,-0.854722,
65,173.91129803657532,-1.138742,
66,176.4026074409485,-1.0572252,
67,178.9083821773529,-0.9528887,
68,181.4311740398407,-0.95493877,
69,183.92934274673462,-0.8924183,
70,185.4887719154358,-0.82097167,
71,188.49316573143005,-0.83927643,
72,191.03356051445007,-0.8650277,
73,193.58915495872498,-0.9780266,
74,196.12730860710144,-1.1700319,
75,198.6632468700409,-0.9134782,
76,201.20225954055786,-0.99114865,
77,202.79157710075378,-0.7286755,
78,205.709979057312,-0.8332732,
79,208.23040652275085,-0.8467605,
80,210.7383270263672,-0.73579794,
81,213.25688314437866,-0.9122679,
82,215.77611470222473,-0.8018414,
83,218.31027936935425,-0.8746893,
84,219.90772342681885,-0.7661383,
85,223.00386571884155,-0.86158735,
86,225.54686164855957,-0.7555136,
87,228.1163408756256,-0.7664591,
88,230.73772644996643,-0.64373755,
89,233.30079054832458,-0.7223122,
90,235.8441984653473,-0.762373,
91,237.40928864479065,-0.6320435,
92,240.44804787635803,-0.67439604,
93,243.0905303955078,-0.71288663,
94,245.66482138633728,-0.6237174,
95,248.1987898349762,-0.6164807,
96,250.7339403629303,-0.63931566,
97,253.2607924938202,-0.53607273,
98,254.82003736495972,-0.5919127,
99,257.8223350048065,-0.8238023,
100,262.8622899055481,-0.7322107,
101,265.4360158443451,-0.5613191,
102,268.00540828704834,-0.55645275,
103,270.55479884147644,-0.64555186,
104,273.1231517791748,-0.5390047,
105,274.7535002231598,-0.6847553,
