train_step,log_step_index,expert_0,expert_1
0,0,0.08701854,0.91298145
100,1,0.064327486,0.9356725
200,2,0.0346908,0.9653092
300,3,0.053254437,0.9467456
400,4,0.0461997,0.9538003
500,5,0.04047976,0.9595202
600,6,0.04761905,0.95238096
700,7,0.04047976,0.9595202
800,8,0.036144577,0.96385545
900,9,0.037593983,0.96240604
1000,10,0.024390243,0.9756098
1100,11,0.037593983,0.96240604
1200,12,0.0346908,0.9653092
1300,13,0.030303031,0.969697
1400,14,0.04047976,0.9595202
1500,15,0.0346908,0.9653092
1600,16,0.027355623,0.9726444
1700,17,0.022900764,0.97709924
1800,18,0.030303031,0.969697
