step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,16.260099411010742,-16.168055,
2,17.277167081832886,-16.07951,
3,18.236267805099487,-15.36676,
4,19.19064950942993,-13.475094,
5,20.146652221679688,-11.1143875,
6,21.10201406478882,-8.072138,
7,22.07622480392456,-4.637462,
8,23.831650018692017,-1.7513998,
9,24.78856086730957,-1.1113691,
10,25.748701095581055,-1.2840316,
11,26.709447145462036,-1.6333022,
12,27.680957078933716,-1.8523744,
13,28.632826328277588,-2.2699523,
14,29.20149540901184,-2.2150977,
15,30.94227695465088,-2.4617019,
16,32.158305168151855,-2.779148,
17,33.11902356147766,-2.8565974,
18,34.06779718399048,-3.1996708,
19,35.01895880699158,-3.2095246,
20,35.97146701812744,-3.5903893,
21,36.5446503162384,-3.236061,
22,38.24533271789551,-3.3907485,
23,39.188971519470215,-3.6488183,
24,40.13591647148132,-3.6288395,
25,41.07732176780701,-3.970633,
26,42.013391971588135,-3.927346,
27,42.95067644119263,-4.3407874,
28,43.50570058822632,-3.9003444,
29,45.22419500350952,-4.0740557,
30,46.165769815444946,-4.3721886,
31,47.1151065826416,-4.3391128,
32,48.071250915527344,-4.7250338,
33,49.02124905586243,-4.6510916,
34,49.968555212020874,-5.1042175,
35,50.53435134887695,-4.568428,
36,52.26237750053406,-4.739897,
37,53.20807075500488,-5.0412154,
38,54.15233898162842,-4.9295673,
39,55.09447503089905,-5.2552395,
40,56.03592824935913,-5.040573,
41,56.98338222503662,-5.3666363,
42,57.54545068740845,-4.644725,
43,59.27800464630127,-4.6769853,
44,60.2297260761261,-4.8471584,
45,61.1738862991333,-4.6372614,
46,62.121012449264526,-4.8901987,
47,63.06595730781555,-4.678322,
48,64.00581407546997,-5.037535,
49,64.56521153450012,-4.4354124,
50,66.29771113395691,-4.570545,
51,67.25649309158325,-4.816654,
52,68.20952987670898,-4.6639266,
53,69.1635479927063,-4.9657135,
54,70.11565256118774,-4.7629204,
55,71.07650184631348,-5.1144786,
56,71.6403751373291,-4.460448,
57,73.40192365646362,-4.579134,
58,74.35765886306763,-4.7610416,
59,75.30989837646484,-4.580984,
60,76.25852108001709,-4.8956347,
61,77.2068932056427,-4.6278296,
62,78.15971899032593,-4.9780197,
63,78.73318195343018,-4.3690443,
64,80.46806597709656,-4.47303,
65,81.42409372329712,-4.569559,
66,82.37921380996704,-4.304696,
67,83.33723020553589,-4.013698,
68,84.29686188697815,-2.3134167,
69,85.25833296775818,-1.4098706,
70,85.83128190040588,-1.1510594,
71,87.5781786441803,-1.2735076,
72,88.54858446121216,-1.1718471,
73,89.51242589950562,-0.70981014,
74,90.47237181663513,-0.8128711,
75,91.43332028388977,-0.8880808,
76,92.39272022247314,-0.7291415,
77,92.9643075466156,-0.72619367,
78,94.7135922908783,-0.7183585,
79,95.67178344726562,-0.64238614,
80,96.63022375106812,-0.7062335,
81,97.58938312530518,-0.8745216,
82,98.55260157585144,-0.8057692,
83,99.51835060119629,-0.7918455,
84,100.08728456497192,-0.6986012,
85,101.82457089424133,-0.7857683,
86,102.78030967712402,-0.8751397,
87,103.74135541915894,-0.6608362,
88,104.70457434654236,-1.0661416,
89,105.66248917579651,-1.0162342,
90,106.61743879318237,-0.65786463,
91,107.18685841560364,-0.6522457,
92,108.92450666427612,-0.8901927,
93,109.89077997207642,-0.82009387,
94,110.85550713539124,-0.7219105,
95,111.8203616142273,-0.76431346,
96,112.78325510025024,-0.8197304,
97,113.74641799926758,-0.80318785,
98,114.32375741004944,-0.69655675,
99,116.09527230262756,-0.8817645,
100,119.02442455291748,-0.7335156,
101,120.00546669960022,-0.5958543,
102,120.96975421905518,-0.61483276,
103,121.94168186187744,-0.70539784,
104,122.91687297821045,-0.52178717,
105,123.498788356781,-0.6956738,
106,125.24618101119995,-0.584067,
107,126.20941877365112,-0.61876,
108,127.16642212867737,-0.6262517,
109,128.1269509792328,-0.5802436,
110,129.07733821868896,-0.5550861,
111,130.04089379310608,-0.5723724,
112,130.61505603790283,-0.6131316,
113,132.3799111843109,-0.52917445,
114,133.3581304550171,-0.6151719,
115,134.32126569747925,-0.5714681,
116,135.28669357299805,-0.47655863,
117,136.24601650238037,-0.71825355,
118,137.1982617378235,-0.43717432,
119,137.77087926864624,-0.6391674,
120,139.50469732284546,-0.41063592,
121,140.4702172279358,-0.53144705,
122,141.4355025291443,-0.5365436,
123,142.39943313598633,-0.48226532,
124,143.36448907852173,-0.51559865,
125,144.32349252700806,-0.50851405,
126,144.89691305160522,-0.41450387,
127,146.66153955459595,-0.4289774,
128,147.6231369972229,-0.48607025,
