step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,3.071432113647461,-13.801483,
2,4.338925838470459,-14.165019,
3,5.597297430038452,-13.781767,
4,6.860153913497925,-13.447401,
5,8.125388860702515,-12.056282,
6,9.407649755477905,-10.463581,
7,10.668522596359253,-8.464117,
8,11.920866966247559,-6.3103313,
9,13.176652669906616,-3.599125,
10,14.466898679733276,-1.5637614,
11,15.761955976486206,-1.4772408,
12,17.034226894378662,-1.5132109,
13,18.31245231628418,-0.56898946,
14,19.58515167236328,-1.9810145,
15,20.853167057037354,-2.5205195,
16,22.120266675949097,-3.2074447,
17,23.37617039680481,-4.380803,
18,24.650325536727905,-1.0974122,
19,25.906960248947144,-3.5476964,
20,27.154510974884033,-1.3831648,
21,28.40675926208496,-1.3984778,
22,29.64921498298645,-3.686312,
23,30.89007806777954,-4.0943565,
24,32.12353825569153,-8.568667,
25,33.3534300327301,-4.378149,
26,34.565340757369995,-0.977733,
27,35.79546093940735,-4.8097267,
28,37.02634048461914,-1.7125297,
29,38.236284494400024,-6.3353553,
30,39.4384605884552,-1.5110009,
31,40.66716766357422,-8.082581,
32,41.861366271972656,-0.9440794,
33,43.06250524520874,-1.3495167,
34,44.25918102264404,-1.3134224,
35,45.45374917984009,-1.7689438,
36,46.654396772384644,-1.8815984,
37,47.84694719314575,-1.8698841,
38,49.03011441230774,-1.0982989,
39,50.22017192840576,-2.0099192,
40,51.409735441207886,-5.818648,
41,52.59196996688843,-1.5592806,
42,53.780794858932495,-2.2994227,
43,54.97524094581604,-4.033618,
44,56.16620874404907,-0.9444871,
45,57.37373352050781,-1.2376512,
46,58.57848310470581,-1.7388769,
47,59.79377865791321,-6.514335,
48,60.99615502357483,-1.3724537,
49,62.21634531021118,-3.0894465,
50,63.44925904273987,-1.6937764,
51,64.71500968933105,-4.13794,
52,65.9781186580658,-0.68920463,
53,67.23629832267761,-2.7107875,
54,68.50552296638489,-3.6721408,
55,69.77243161201477,-4.26925,
56,71.05447888374329,-1.0470958,
57,72.34911680221558,-1.4006277,
58,73.63894057273865,-5.8973455,
59,74.92652559280396,-2.5564795,
60,76.2101559638977,-11.967634,
61,77.52757716178894,-2.4737551,
62,78.81053256988525,-0.3068516,
63,80.09461879730225,-0.6026921,
64,81.37040114402771,-1.2268851,
65,82.6508309841156,-4.9671416,
66,83.92666506767273,-0.930972,
67,85.20965504646301,-1.2068261,
68,86.50290250778198,-2.4997869,
69,87.78159832954407,-1.0240216,
70,89.06912112236023,-10.086193,
71,90.36585259437561,-2.1909811,
72,91.6809413433075,-5.212071,
73,92.97353672981262,-0.6086973,
74,94.24914813041687,-1.3517054,
75,95.53993535041809,-4.08059,
76,96.81866550445557,-1.1597264,
77,98.09372520446777,-0.8702713,
78,99.37025809288025,-0.20440923,
79,100.65472602844238,-0.3926735,
80,101.92926478385925,-0.4974844,
81,103.20876693725586,-2.3433042,
82,104.49237155914307,-0.69726706,
83,105.78602480888367,-1.4498378,
84,107.07967710494995,-0.4399437,
85,108.37879204750061,-0.71674436,
86,109.67118167877197,-0.7077732,
87,110.98527574539185,-0.2782289,
88,112.30533719062805,-1.2043136,
89,113.60247611999512,-1.2070835,
90,114.89588284492493,-0.38451964,
