step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,3.038771867752075,-13.801483,
2,4.322559356689453,-14.165019,
3,5.595808982849121,-13.781101,
4,6.886293649673462,-13.439248,
5,8.167319297790527,-12.153734,
6,9.456202507019043,-10.583723,
7,10.745111465454102,-8.6006975,
8,12.019163131713867,-6.4332957,
9,13.34908676147461,-3.7895007,
10,14.631967067718506,-1.7241458,
11,15.917555332183838,-1.55584,
12,17.210240602493286,-1.741135,
13,18.491783380508423,-0.5516352,
14,19.77637243270874,-1.9797913,
15,21.063345909118652,-2.451736,
16,22.332268238067627,-3.055424,
17,23.6055645942688,-4.4740186,
18,24.90339732170105,-1.092649,
19,26.186850786209106,-3.5092647,
20,27.45940589904785,-1.3439103,
21,28.738203048706055,-1.3987129,
22,29.99799394607544,-3.632928,
23,31.23810076713562,-4.0809307,
24,32.49223875999451,-8.572256,
25,33.75357961654663,-4.4180813,
26,34.98786926269531,-0.9907094,
27,36.211724042892456,-4.9015284,
28,37.44756054878235,-1.7353845,
29,38.67016959190369,-6.3909802,
30,39.909809589385986,-1.4859847,
31,41.138198137283325,-7.9154873,
32,42.34808111190796,-0.87696517,
33,43.569324254989624,-1.2286391,
34,44.79722452163696,-1.213475,
35,46.01906991004944,-1.6636745,
36,47.23099708557129,-1.8250375,
37,48.45647192001343,-1.7753026,
38,49.680171489715576,-0.9687054,
39,50.9076406955719,-1.8551054,
40,52.15605401992798,-5.065443,
41,53.408631801605225,-1.0981512,
42,54.667370319366455,-1.6433527,
43,55.958131313323975,-2.61749,
44,57.244954109191895,-0.7766878,
45,58.53685283660889,-1.2883695,
46,59.86655640602112,-1.7671616,
47,61.16836953163147,-3.567447,
48,62.469648361206055,-0.8780378,
49,63.784518241882324,-1.7912581,
50,65.09382724761963,-1.386185,
51,66.40686225891113,-3.1549726,
52,67.70201444625854,-0.7070091,
53,68.98445630073547,-2.0612116,
54,70.29818296432495,-2.0259407,
55,71.61582589149475,-1.3839267,
56,72.9143373966217,-0.9795686,
57,74.22299361228943,-1.0447892,
58,75.5232744216919,-9.438562,
59,76.80746698379517,-0.988554,
60,78.12223935127258,-6.8348465,
61,79.41556978225708,-1.6301169,
62,80.70189690589905,-0.24348441,
63,82.03093838691711,-0.5698961,
64,83.3347544670105,-0.7365247,
65,84.62856650352478,-2.6655478,
66,85.92133831977844,-0.84173536,
67,87.22023844718933,-0.8064776,
68,88.52808570861816,-0.86052954,
69,89.81888222694397,-0.6355932,
70,91.10574197769165,-3.7487106,
71,92.4018144607544,-0.548342,
72,93.72062540054321,-1.247881,
73,95.03561806678772,-1.0944524,
74,96.33684873580933,-1.0212729,
75,97.6540937423706,-1.1686304,
76,98.94924783706665,-0.64192355,
77,100.24298405647278,-0.26852006,
78,101.54773187637329,-0.21402735,
79,102.84095978736877,-0.35632694,
80,104.14357852935791,-0.73009145,
81,105.44138216972351,-5.374149,
82,106.7481701374054,-0.31668645,
83,108.05089545249939,-1.2746063,
84,109.36343598365784,-0.4833967,
85,110.65727615356445,-0.3339704,
86,111.96068096160889,-0.9541125,
87,113.26445126533508,-0.3046726,
88,114.57113289833069,-1.3718295,
89,115.89539003372192,-0.6937655,
90,117.20713353157043,-0.35677958,
91,118.50988006591797,-0.36135322,
92,119.79941058158875,-0.14358827,
93,121.10594820976257,-0.215322,
94,122.40585398674011,-0.33720726,
95,123.70435428619385,-0.9595254,
96,125.00091123580933,-0.47792134,
97,126.30145406723022,-0.42023885,
98,127.60209083557129,-0.5235501,
99,128.90048789978027,-0.3810801,
100,131.42311573028564,-0.30887455,
101,132.724018573761,-1.0531396,
102,134.02478504180908,-2.6917906,
103,135.33394932746887,-0.31074226,
104,136.63091492652893,-0.3111042,
105,137.9490201473236,-0.52610457,
106,139.2804787158966,-0.36109385,
107,140.61206126213074,-0.71542126,
108,141.9468288421631,-0.3991111,
109,143.27276420593262,-0.6573952,
110,144.60089874267578,-0.7104651,
111,145.9453639984131,-0.19053793,
112,147.3009147644043,-0.3875085,
113,148.63089847564697,-0.2971993,
114,149.96552348136902,-0.4650758,
115,151.29380750656128,-0.6067371,
116,152.60094475746155,-0.31757933,
117,153.91943669319153,-0.41425577,
