step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.6328520774841309,-14.214463,
2,2.391136407852173,-14.301235,
3,3.1448123455047607,-13.957371,
4,3.9207351207733154,-13.453564,
5,4.679484605789185,-12.153866,
6,5.43604850769043,-10.5459795,
7,6.194436073303223,-8.620138,
8,6.9533531665802,-6.459147,
9,7.715214729309082,-3.80588,
10,8.47455644607544,-1.7357205,
11,9.235931158065796,-1.5619216,
12,9.992438554763794,-1.5912808,
13,10.749019861221313,-0.55281425,
14,11.504693984985352,-1.8817995,
15,12.259066581726074,-2.520131,
16,13.01362919807434,-3.08682,
17,13.76797080039978,-4.448473,
18,14.516357183456421,-1.0879239,
19,15.257802486419678,-3.4777846,
20,15.995964288711548,-1.3598232,
21,16.7297465801239,-1.3955193,
22,17.4605815410614,-3.7604856,
23,18.18908953666687,-4.039728,
24,18.919591903686523,-8.585072,
25,19.63875389099121,-4.3876843,
26,20.34855628013611,-0.98621833,
27,21.06067132949829,-4.9258366,
28,21.772602796554565,-1.7474678,
29,22.482582330703735,-6.513583,
30,23.189852714538574,-1.5128312,
31,23.90826916694641,-8.03503,
32,24.60682511329651,-0.8483215,
33,25.30869436264038,-1.261331,
34,26.011094570159912,-1.1555258,
35,26.713725805282593,-1.5694661,
36,27.42117929458618,-1.7493355,
37,28.133795976638794,-1.7672703,
38,28.841644525527954,-0.9833213,
39,29.556447982788086,-1.8496804,
40,30.269145011901855,-4.720782,
41,30.988781452178955,-1.1028639,
42,31.71135139465332,-1.6728903,
43,32.44054841995239,-2.6196196,
44,33.173877477645874,-0.7694456,
45,33.91106200218201,-1.2672673,
46,34.6526665687561,-1.7613705,
47,35.39925003051758,-2.9847941,
48,36.14527153968811,-0.745709,
49,36.89565968513489,-1.9172727,
50,37.642277240753174,-1.3448169,
51,38.3931941986084,-4.553279,
52,39.14858293533325,-0.74324375,
53,39.8994140625,-2.0144472,
54,40.654502630233765,-2.5695539,
55,41.40852761268616,-2.2919178,
56,42.15632104873657,-1.0220135,
57,42.905314922332764,-1.8446544,
58,43.65536665916443,-8.2206,
59,44.405348777770996,-1.4403237,
60,45.1487033367157,-8.07015,
61,45.897767782211304,-1.5933386,
62,46.649609088897705,-0.21592836,
63,47.39565920829773,-0.6846864,
64,48.149192094802856,-0.78778595,
65,48.90377402305603,-3.6327128,
66,49.65830206871033,-1.0658278,
