step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.4337775707244873,-14.00952,
2,3.794220447540283,-14.264121,
3,5.204772472381592,-13.684013,
4,6.613078594207764,-12.910191,
5,8.027063608169556,-11.419189,
6,9.443533658981323,-9.693514,
7,10.854178667068481,-7.6310005,
8,12.270508289337158,-5.9582424,
9,13.685147047042847,-3.2951674,
10,15.106585502624512,-1.7533263,
11,16.52295160293579,-1.136375,
12,17.937748432159424,-1.1307018,
13,19.357537508010864,-1.6910337,
14,20.784168004989624,-2.0336187,
15,22.201221704483032,-1.9801927,
16,23.616268634796143,-1.9220376,
17,25.03030252456665,-2.0563133,
18,26.4390926361084,-2.8485446,
19,27.84312915802002,-2.684465,
20,29.244283437728882,-3.3159637,
21,30.642611503601074,-3.1207628,
22,32.04176664352417,-3.2395947,
23,33.44046330451965,-3.2564068,
24,34.838319540023804,-3.1459992,
25,36.22178936004639,-3.585579,
26,37.59867548942566,-4.378647,
27,38.97106146812439,-3.0235941,
28,40.34518241882324,-3.7149308,
29,41.71138072013855,-3.486312,
30,43.08659100532532,-4.1742754,
31,44.457964181900024,-4.044684,
32,45.820120096206665,-4.9979057,
33,47.18141770362854,-3.0395417,
34,48.547176122665405,-4.04713,
35,49.909584045410156,-4.801336,
36,51.269442558288574,-4.4003673,
37,52.623250246047974,-4.973521,
38,53.98134231567383,-4.8591094,
39,55.345653772354126,-3.9511359,
40,56.70038866996765,-6.184264,
41,58.05452060699463,-5.7661867,
42,59.40994954109192,-4.1614156,
43,60.762287616729736,-4.319054,
44,62.112250328063965,-4.881741,
45,63.459447383880615,-4.0368023,
46,64.80550122261047,-4.5392566,
47,66.15519404411316,-4.206589,
48,67.50373768806458,-4.6912074,
49,68.85460901260376,-3.6774333,
50,69.96035242080688,-4.5450063,
51,71.72363638877869,-4.7392225,
52,73.07520127296448,-4.2159867,
53,74.43012309074402,-4.5421367,
54,75.7805826663971,-4.14325,
55,77.12777996063232,-4.1091204,
56,78.47488379478455,-4.1367087,
57,79.8274314403534,-5.019482,
58,81.17677164077759,-3.5229256,
59,82.53255581855774,-4.3841577,
60,83.88139820098877,-3.96672,
61,85.23033595085144,-3.9551415,
62,86.5754930973053,-3.434634,
63,87.92813110351562,-4.603921,
64,89.27787756919861,-4.558923,
65,90.62781047821045,-4.108924,
66,91.98116660118103,-3.519375,
67,93.33072066307068,-3.4750223,
68,94.68483471870422,-4.4659495,
69,96.02985739707947,-4.1163874,
70,97.3795154094696,-4.4822536,
71,98.72683620452881,-3.9966674,
72,100.06953859329224,-3.8214595,
73,101.41716718673706,-3.865715,
74,102.77052569389343,-3.6594276,
75,104.11963653564453,-3.9314642,
76,105.46793031692505,-4.6182175,
77,106.81844329833984,-3.1461763,
78,108.17257022857666,-3.6915884,
79,109.52087330818176,-3.3923557,
80,110.86501479148865,-4.1190104,
81,112.21418929100037,-4.102419,
82,113.5645956993103,-4.789828,
83,114.91160106658936,-2.9642303,
84,116.26950407028198,-3.6218734,
85,117.61594271659851,-4.1726637,
86,118.96652722358704,-3.5701237,
87,120.32124853134155,-4.1505265,
88,121.67950534820557,-4.05652,
89,123.02973771095276,-3.41059,
90,124.3816978931427,-5.243908,
91,125.73193883895874,-4.796907,
92,127.08928442001343,-3.5345864,
93,128.44257354736328,-3.6218667,
94,129.79870796203613,-4.1054845,
95,131.15780425071716,-3.4612412,
96,132.516348361969,-4.113416,
97,133.87403059005737,-3.8625226,
98,135.2381353378296,-4.252124,
99,136.5956404209137,-3.3299026,
100,137.7071704864502,-4.198777,
101,139.47589659690857,-4.080146,
102,140.83631324768066,-3.8137245,
103,142.19659876823425,-4.114996,
104,143.55667686462402,-3.9834015,
105,144.91698122024536,-3.8649683,
106,146.28713989257812,-3.5740004,
107,147.65477776527405,-4.7282076,
108,149.01952028274536,-3.279523,
109,150.3905007839203,-4.063049,
110,151.76090121269226,-3.5244164,
111,153.13835453987122,-3.5067348,
112,154.51960968971252,-2.8444843,
113,155.89553546905518,-3.6672585,
114,157.27648735046387,-3.9332452,
115,158.66366696357727,-2.6469696,
116,160.05351209640503,-2.4915981,
117,161.4383544921875,-2.4148111,
118,162.83352327346802,-2.7034147,
119,164.23469138145447,-1.7920501,
120,165.6367383003235,-1.7223586,
121,167.03948855400085,-2.5735586,
122,168.44678783416748,-1.5177779,
123,169.86067128181458,-1.1958151,
124,171.27348637580872,-1.3147733,
125,172.6842164993286,-0.83370405,
126,174.09075045585632,-1.1013684,
127,175.49668049812317,-0.95248014,
128,176.90227961540222,-0.9741209,
129,178.30678009986877,-1.4457076,
130,179.71527671813965,-0.96363884,
131,181.11834931373596,-0.7765858,
132,182.52409315109253,-1.1020169,
133,183.9267144203186,-0.62549603,
134,185.33161425590515,-0.5655706,
135,186.74057292938232,-1.2257706,
136,188.14837503433228,-0.7290417,
137,189.55746865272522,-1.238709,
138,190.9641408920288,-0.9049408,
139,192.3730697631836,-0.8449791,
140,193.785151720047,-1.5368462,
141,195.1904752254486,-1.2018967,
142,196.59549593925476,-0.55565345,
143,197.9995892047882,-0.6543654,
144,199.40263509750366,-0.8370474,
145,200.80452680587769,-0.9254314,
146,202.20943641662598,-0.9659247,
147,203.61845421791077,-0.85357815,
148,205.0266764163971,-0.9521579,
149,206.43075728416443,-1.0749384,
150,207.57883739471436,-1.0593058,
151,209.3557574748993,-0.90403616,
152,210.75796389579773,-0.9227288,
153,212.16569471359253,-0.8294213,
154,213.57661843299866,-0.82528865,
155,214.9813678264618,-0.9126831,
156,216.39095449447632,-0.7592966,
157,217.80128598213196,-1.2806361,
158,219.20964407920837,-1.2236965,
159,220.60898351669312,-0.8019841,
160,222.01350855827332,-0.6684406,
161,223.41755390167236,-0.6353121,
162,224.82893252372742,-0.5522005,
163,226.23452496528625,-0.8131119,
164,227.6410174369812,-0.9575826,
165,229.0463514328003,-0.7350386,
166,230.4526343345642,-0.6458398,
167,231.86087584495544,-0.6232527,
168,233.26947164535522,-0.90482354,
169,234.67823839187622,-1.1068627,
170,236.0864064693451,-1.0610976,
171,237.49715209007263,-0.99534184,
172,238.90858936309814,-0.9154048,
173,240.31628942489624,-1.1511685,
174,241.72749996185303,-0.56852347,
175,243.13930940628052,-0.76131934,
176,244.550439119339,-0.8462022,
177,245.9637234210968,-0.5134333,
178,247.37589597702026,-0.61605555,
179,248.78635787963867,-0.698082,
180,250.20492458343506,-0.98945105,
181,251.62040495872498,-0.8484806,
182,253.03626704216003,-1.118577,
183,254.44911456108093,-0.55680734,
184,255.86216044425964,-0.9826287,
185,257.2816343307495,-1.2799242,
186,258.6962194442749,-0.9297476,
187,260.11105585098267,-0.894576,
188,261.5242557525635,-1.0133407,
189,262.94180059432983,-0.64252406,
190,264.3595509529114,-0.84390604,
191,265.77520537376404,-0.6221893,
192,267.1893746852875,-0.56596214,
193,268.6037130355835,-0.6527686,
194,270.01590728759766,-0.8350068,
195,271.431804895401,-0.6666814,
196,272.8470437526703,-0.6020876,
197,274.26389384269714,-0.47183526,
198,275.67451643943787,-0.62867707,
199,277.09323930740356,-0.7649161,
200,278.249395608902,-0.9959857,
201,280.016708612442,-0.65060353,
202,281.43630170822144,-0.6653992,
203,282.85085463523865,-0.78105044,
204,284.2650806903839,-0.75481176,
205,285.68609499931335,-0.86051464,
206,287.0993275642395,-0.6800782,
207,288.5145146846771,-1.0578372,
208,289.9302809238434,-0.63188654,
209,291.34776759147644,-0.6443187,
210,292.7605686187744,-0.6441933,
211,294.17689847946167,-0.7069587,
212,295.59253692626953,-0.58973324,
213,297.011114358902,-0.7028238,
214,298.4247877597809,-0.8147578,
215,299.8414647579193,-0.5313999,
216,301.2569942474365,-0.5209606,
217,302.6726894378662,-0.5683596,
218,304.09271121025085,-0.78704137,
219,305.5083830356598,-1.1993852,
220,306.9214220046997,-0.7471276,
221,308.3381721973419,-0.5569346,
222,309.7576427459717,-0.6491759,
223,311.1740810871124,-0.9921987,
224,312.5925326347351,-0.46386737,
225,314.0153169631958,-0.80732894,
226,315.43363642692566,-0.6775372,
227,316.85183548927307,-0.52002454,
228,318.2655870914459,-0.64059234,
229,319.6813678741455,-0.705124,
230,321.1048438549042,-0.65919554,
231,322.52129888534546,-0.5331384,
232,323.93594193458557,-1.0257881,
233,325.35305285453796,-0.43769956,
234,326.7714173793793,-0.5865784,
235,328.18754625320435,-0.92521644,
236,329.60468077659607,-0.6860023,
237,331.02070331573486,-0.7771456,
238,332.43847393989563,-0.72686964,
239,333.850870847702,-0.67966795,
240,335.26566648483276,-1.1635786,
241,336.68064546585083,-1.1040148,
242,338.09699153900146,-0.44139835,
243,339.5155725479126,-0.5585866,
244,340.93209052085876,-0.66048086,
245,342.3483395576477,-0.42662227,
246,343.7621147632599,-0.62571996,
247,345.18081760406494,-0.50822294,
248,346.5959541797638,-0.5408372,
249,348.0111610889435,-0.56593037,
250,349.1651260852814,-0.69144726,
251,350.91767168045044,-0.78878874,
252,352.33265352249146,-0.8668511,
253,353.74694561958313,-1.0392957,
254,355.1652100086212,-0.49716866,
255,356.58120346069336,-0.555799,
256,358.00362849235535,-0.39379814,
257,359.4208426475525,-0.6226934,
258,360.83210349082947,-0.4992768,
259,362.24982738494873,-0.73793507,
260,363.67043924331665,-0.47518605,
261,365.08498334884644,-1.1056105,
262,366.50188302993774,-0.27964973,
263,367.9181170463562,-0.407789,
264,369.3301875591278,-0.6666775,
265,370.7438383102417,-0.50119966,
266,372.16497826576233,-0.43088657,
267,373.58108925819397,-0.4118611,
268,374.9979510307312,-0.57590425,
269,376.4156663417816,-0.8063433,
270,377.83535957336426,-0.8820616,
271,379.24930477142334,-0.7060644,
272,380.66382479667664,-0.48319733,
273,382.08550667762756,-0.59213185,
274,383.50153040885925,-0.50018865,
275,384.91525316238403,-0.51929253,
276,386.33600068092346,-0.7029581,
277,387.7584376335144,-0.48842874,
278,389.17134857177734,-0.5456196,
279,390.58526372909546,-0.47159886,
280,391.99801540374756,-0.5653478,
281,393.4181852340698,-0.6640492,
282,394.8366045951843,-0.5316025,
283,396.2517650127411,-0.34070885,
284,397.66561579704285,-0.42691496,
285,399.0806083679199,-0.7439287,
286,400.4974308013916,-1.3937385,
287,401.9178845882416,-0.84548485,
288,403.3313937187195,-0.6951017,
289,404.7478952407837,-0.27805176,
290,406.1680495738983,-0.8903246,
291,407.5871341228485,-0.45657337,
292,409.0028817653656,-0.35527244,
293,410.4158561229706,-0.5241886,
294,411.8326120376587,-0.46196806,
295,413.2471468448639,-0.37785897,
296,414.662232875824,-0.55393916,
297,416.08087849617004,-0.35770616,
298,417.4991137981415,-0.19685325,
299,418.91826272010803,-0.56320316,
300,420.07415223121643,-0.71384925,
301,421.84977197647095,-0.43231624,
302,423.2689940929413,-0.5235059,
303,424.6850347518921,-0.5800717,
304,426.0981693267822,-0.3049407,
305,427.5125586986542,-0.5853663,
306,428.9332251548767,-0.70073545,
307,430.3547270298004,-1.2640518,
308,431.77436780929565,-0.61221457,
309,433.19218277931213,-0.40800098,
310,434.61113691329956,-0.61364895,
311,436.02844285964966,-0.4599245,
312,437.4463109970093,-0.49702603,
313,438.8631567955017,-0.4882117,
314,440.27705907821655,-0.5638661,
315,441.6917519569397,-0.47950011,
316,443.1108798980713,-0.60940605,
317,444.5287399291992,-0.25807118,
318,445.9439265727997,-0.33626473,
319,447.36151695251465,-0.6764813,
320,448.7819912433624,-0.33157817,
321,450.20096468925476,-0.44724783,
322,451.6142225265503,-0.2242888,
323,453.0319137573242,-0.3893137,
324,454.4512155056,-0.67257166,
325,455.8671188354492,-0.27560356,
326,457.28574085235596,-0.30674112,
327,458.7024965286255,-0.31202793,
328,460.11635661125183,-0.38477203,
329,461.53389739990234,-0.41021448,
330,462.9521758556366,-0.46511993,
331,464.367840051651,-0.2785859,
332,465.77984833717346,-0.8208164,
333,467.1976933479309,-0.18281707,
334,468.61478447914124,-0.5171699,
335,470.02794218063354,-0.8322498,
336,471.44797587394714,-0.2955125,
337,472.8651967048645,-0.439897,
338,474.2838342189789,-1.2617179,
339,475.6983127593994,-0.37291688,
340,477.1144824028015,-0.8104861,
341,478.53202271461487,-1.8951622,
342,479.9505009651184,-0.1631925,
343,481.36651253700256,-0.28482544,
344,482.7808494567871,-0.4571411,
345,484.1948585510254,-0.32143074,
346,485.6119866371155,-0.749318,
347,487.02810287475586,-0.46548173,
348,488.4419860839844,-0.5726825,
349,489.855845451355,-0.34032723,
