step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.3407678604125977,-13.999794,
2,1.7987878322601318,-14.130383,
3,2.259640693664551,-13.266266,
4,2.710698366165161,-11.740684,
5,3.1649208068847656,-9.175777,
6,3.613882064819336,-6.286339,
7,4.058414936065674,-2.9692001,
8,4.503014802932739,-1.2438035,
9,4.945936918258667,-0.44453764,
10,5.392261743545532,-0.5739966,
11,5.837473392486572,-0.65221536,
12,6.281423330307007,-0.9051232,
13,6.722495794296265,-0.9594537,
14,7.157975912094116,-0.98408586,
15,7.594038009643555,-1.090225,
16,8.0215904712677,-1.1566508,
17,8.44762372970581,-1.1865388,
18,8.872137069702148,-1.1276119,
19,9.294032096862793,-0.9976523,
20,9.719491481781006,-1.2145804,
21,10.143332719802856,-1.206707,
22,10.563038349151611,-1.7484307,
23,10.979156494140625,-1.4887415,
24,11.39632534980774,-1.4691519,
25,11.812387704849243,-1.5667791,
26,12.222558498382568,-1.3837781,
27,12.633147239685059,-1.6740022,
28,13.04215407371521,-1.4568996,
29,13.450704097747803,-1.5348775,
30,13.857403993606567,-1.5481534,
31,14.262381076812744,-1.4617139,
32,14.665465593338013,-1.8694457,
33,15.07061505317688,-1.944705,
34,15.470776081085205,-2.023838,
35,15.87501311302185,-1.8793375,
36,16.274559020996094,-1.670143,
37,16.674806833267212,-1.5319991,
38,17.075283765792847,-1.624749,
39,17.475024223327637,-1.8403771,
40,17.870174884796143,-1.9705558,
41,18.26590394973755,-1.6700321,
42,18.66003680229187,-2.1273444,
43,19.05287003517151,-1.3548479,
44,19.443670988082886,-1.7747,
45,19.83686590194702,-2.0267963,
46,20.23188018798828,-1.6595887,
47,20.62555980682373,-1.7204459,
48,21.019948959350586,-2.0314832,
49,21.411474466323853,-2.290176,
50,21.805149793624878,-1.7048268,
51,22.199270248413086,-1.7738221,
52,22.59341263771057,-1.6477549,
53,22.988043308258057,-2.1957283,
54,23.38189935684204,-1.7569017,
55,23.77441716194153,-1.7134776,
56,24.168880224227905,-1.5772887,
57,24.563493490219116,-1.7770846,
58,24.957589149475098,-2.0555887,
59,25.34938359260559,-1.5740232,
60,25.743622303009033,-1.7227286,
61,26.13534903526306,-2.1754022,
62,26.528931379318237,-1.7013348,
63,26.92381715774536,-2.0485165,
64,27.32042670249939,-2.4715092,
65,27.719637632369995,-1.805664,
66,28.11928939819336,-1.6237758,
67,28.51821517944336,-1.8067603,
68,28.91411566734314,-1.9099543,
69,29.31319785118103,-1.4702075,
70,29.713437795639038,-1.4487274,
71,30.118084192276,-1.6330118,
72,30.522571563720703,-1.7025203,
73,30.92326521873474,-1.2978238,
74,31.327399015426636,-2.7749674,
75,31.735198974609375,-2.327032,
76,32.14550590515137,-1.9908047,
77,32.55760884284973,-2.877217,
78,32.978599548339844,-0.91090053,
79,33.39969611167908,-2.0488658,
80,33.823810338974,-1.3641034,
81,34.252100467681885,-1.9437499,
82,34.68516397476196,-0.760082,
83,35.11159539222717,-1.374417,
84,35.54333853721619,-0.99124855,
85,35.974120140075684,-0.8850721,
86,36.40230655670166,-2.2747202,
87,36.83129906654358,-1.2963669,
88,37.257221698760986,-0.46291417,
89,37.68175435066223,-1.2270218,
90,38.10609316825867,-1.8860445,
91,38.53338313102722,-1.2915093,
92,38.96000385284424,-0.39462525,
