step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,3.830118417739868,-14.173178,
2,4.265666246414185,-14.360486,
3,4.730767250061035,-13.723053,
4,5.194430828094482,-12.796881,
5,5.659391403198242,-11.015012,
6,6.1243896484375,-9.092539,
7,6.589735507965088,-6.6375885,
8,7.055683135986328,-3.9667456,
9,7.521679639816284,-1.7621213,
10,7.987834930419922,-1.1965449,
11,8.454169511795044,-1.3599288,
12,8.920615434646606,-1.6732109,
13,9.386765003204346,-1.9675279,
14,9.853317975997925,-2.1405785,
15,10.319684028625488,-2.3613825,
16,10.786376714706421,-2.5131009,
17,11.253211259841919,-2.6942773,
18,11.720672369003296,-2.9477396,
19,12.187534093856812,-3.2074165,
20,12.654789209365845,-3.5799966,
21,13.122201442718506,-3.8144197,
22,13.589723348617554,-3.2146988,
23,14.057758092880249,-3.730235,
24,14.525768995285034,-4.1901674,
25,14.993680953979492,-3.8384352,
26,15.461356163024902,-4.6702576,
27,15.929630279541016,-4.2815924,
28,16.397979021072388,-4.7312274,
29,16.866472244262695,-4.476351,
30,17.335139274597168,-4.509902,
31,17.803475856781006,-4.9229803,
32,18.27199077606201,-4.385952,
33,18.740468740463257,-4.9362164,
34,19.208661794662476,-5.5162315,
35,19.6772403717041,-5.5135994,
36,20.145986080169678,-5.4647264,
37,20.615266799926758,-5.3545046,
38,21.084176778793335,-5.5660734,
39,21.55281710624695,-5.493623,
40,22.021506309509277,-5.550767,
41,22.49047875404358,-5.2516203,
42,22.959407806396484,-6.1993847,
43,23.427738428115845,-5.5817804,
44,23.89350962638855,-5.0552177,
45,24.35949444770813,-5.062688,
46,24.82517957687378,-5.244562,
47,25.291536331176758,-4.9719753,
48,25.756763458251953,-5.300235,
49,26.222559213638306,-4.8779335,
50,26.688255786895752,-4.959447,
51,27.15423607826233,-5.4616075,
52,27.619995594024658,-5.251581,
53,28.08601975440979,-5.262856,
54,28.552228212356567,-5.1639977,
55,29.0187029838562,-4.828288,
56,29.485801935195923,-5.094663,
57,29.95259165763855,-5.3693304,
58,30.418936729431152,-4.9929,
59,30.885396003723145,-5.5343685,
60,31.35250234603882,-6.074063,
61,31.818662643432617,-5.064973,
62,32.285370111465454,-4.9407935,
63,32.75279641151428,-5.1911335,
64,33.219626903533936,-4.823741,
65,33.686187982559204,-5.123537,
66,34.15326189994812,-5.4658313,
67,34.620388984680176,-3.615937,
68,35.08659815788269,-3.3199694,
69,35.553691387176514,-1.1967766,
70,36.02066612243652,-2.2356133,
71,36.48774170875549,-2.05876,
72,36.95467805862427,-2.5166602,
73,37.421929359436035,-1.1922418,
74,37.88974738121033,-0.8435563,
75,38.35680413246155,-1.1649134,
76,38.82417392730713,-1.7491436,
77,39.291149377822876,-1.344043,
78,39.75817847251892,-0.9652548,
79,40.225425720214844,-0.75090253,
80,40.69289422035217,-1.1176099,
81,41.16106128692627,-0.72656286,
82,41.62891173362732,-0.6686975,
83,42.09601664543152,-1.4213107,
84,42.5633978843689,-1.1644101,
85,43.030985832214355,-0.6907981,
86,43.49856352806091,-0.7636155,
87,43.9669976234436,-1.106799,
88,44.435875415802,-0.897761,
89,44.90432953834534,-0.89246935,
