train_step,log_step_index,expert_0,expert_1
0,0,0.8070618,0.19293821
100,1,0.7823961,0.2176039
200,2,0.8091024,0.1908976
300,3,0.83116883,0.16883117
400,4,0.875513,0.124487005
500,5,0.84656084,0.15343915
600,6,0.89136493,0.1086351
700,7,0.8707483,0.1292517
800,8,0.91298145,0.08701854
900,9,0.85561496,0.14438502
1000,10,0.84656084,0.15343915
1100,11,0.91038406,0.08961593
1200,12,0.8951049,0.10489511
1300,13,0.88642657,0.11357341
1400,14,0.8499336,0.1500664
1500,15,0.91690546,0.08309455
1600,16,0.8376963,0.16230367
1700,17,0.90014064,0.09985935
1800,18,0.81424934,0.18575063
