train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.0952381,0.014880952,0.035714287,0.6666667,0.04761905,0.011904762,0.08630952,0.041666668
100,1,0.0625,0.041666668,0.0390625,0.5833333,0.067708336,0.0390625,0.0703125,0.096354164
200,2,0.034883723,0.023255814,0.06395349,0.6511628,0.05523256,0.037790697,0.07848837,0.05523256
300,3,0.03601108,0.011080332,0.07202216,0.6204986,0.05263158,0.07479224,0.08864266,0.04432133
400,4,0.042813454,0.0091743115,0.055045873,0.68501526,0.06727829,0.036697246,0.08868501,0.01529052
500,5,0.032608695,0.010869565,0.095108695,0.6086956,0.08695652,0.051630434,0.08152174,0.032608695
600,6,0.053731345,0.017910447,0.05074627,0.6686567,0.065671645,0.04477612,0.07462686,0.023880597
700,7,0.04923077,0.009230769,0.06769231,0.68923074,0.06153846,0.02153846,0.073846154,0.027692307
800,8,0.04519774,0.0028248588,0.056497175,0.63276833,0.059322033,0.033898305,0.07062147,0.098870054
900,9,0.045766592,0.025171624,0.04805492,0.5125858,0.08466819,0.057208236,0.066361554,0.16018307
1000,10,0.07821229,0.011173184,0.06703911,0.6256983,0.05027933,0.044692736,0.0726257,0.05027933
1100,11,0.025188917,0.010075566,0.047858942,0.56423175,0.065491185,0.042821158,0.06297229,0.1813602
1200,12,0.027422303,0.0036563072,0.04204753,0.4095064,0.040219378,0.02559415,0.04204753,0.4095064
1300,13,0.032352943,0.014705882,0.052941177,0.65882355,0.09411765,0.03529412,0.05882353,0.052941177
1400,14,0.036923077,0.015384615,0.05846154,0.68923074,0.07692308,0.046153847,0.046153847,0.03076923
1500,15,0.030726258,0.0,0.047486033,0.6256983,0.041899443,0.022346368,0.047486033,0.18435754
1600,16,0.041516244,0.0036101083,0.057761732,0.40433213,0.04873646,0.0072202166,0.06137184,0.37545127
1700,17,0.048780486,0.0037523452,0.069418386,0.42026266,0.028142588,0.016885553,0.039399624,0.37335834
1800,18,0.03341289,0.002386635,0.057279237,0.5346062,0.057279237,0.031026253,0.06682578,0.21718377
