train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.015209125,0.1311787,0.85171103,0.0019011407
100,1,0.04385965,0.11754386,0.7859649,0.05263158
200,2,0.037664782,0.10169491,0.8436912,0.016949153
300,3,0.02930403,0.11721612,0.82051283,0.032967035
400,4,0.039772727,0.10227273,0.8484849,0.009469697
500,5,0.035781544,0.097928435,0.8436912,0.02259887
600,6,0.031311154,0.08023483,0.8767123,0.011741683
700,7,0.027504912,0.086444005,0.8801572,0.00589391
800,8,0.027079303,0.09090909,0.8665377,0.015473888
900,9,0.035315987,0.10780669,0.8327138,0.024163568
1000,10,0.026565464,0.08349146,0.85009485,0.039848197
1100,11,0.030592734,0.08795411,0.8565965,0.024856597
1200,12,0.011650485,0.10097087,0.8699029,0.017475728
1300,13,0.034615386,0.086538464,0.86153847,0.017307693
1400,14,0.029411765,0.068627454,0.8784314,0.023529412
1500,15,0.0060975607,0.07113821,0.91056913,0.0121951215
1600,16,0.018,0.08,0.896,0.006
1700,17,0.015655577,0.09393346,0.8767123,0.01369863
1800,18,0.017892644,0.06759443,0.89065605,0.02385686
