layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.2473025
input_transformers.layers.0.ffn.gate,1,0.1793606
input_transformers.layers.0.ffn.gate,2,0.1527645
input_transformers.layers.0.ffn.gate,3,0.42057237
input_transformers.layers.1.ffn.gate,0,0.3786879
input_transformers.layers.1.ffn.gate,1,0.052892536
input_transformers.layers.1.ffn.gate,2,0.21440227
input_transformers.layers.1.ffn.gate,3,0.35401732
input_transformers.layers.2.ffn.gate,0,0.30525288
input_transformers.layers.2.ffn.gate,1,0.35022616
input_transformers.layers.2.ffn.gate,2,0.13939145
input_transformers.layers.2.ffn.gate,3,0.20512952
input_transformers.layers.3.ffn.gate,0,0.53079057
input_transformers.layers.3.ffn.gate,1,0.03191558
input_transformers.layers.3.ffn.gate,2,0.14239442
input_transformers.layers.3.ffn.gate,3,0.2948995
input_transformers.layers.4.ffn.gate,0,0.35485357
input_transformers.layers.4.ffn.gate,1,0.08017693
input_transformers.layers.4.ffn.gate,2,0.51449555
input_transformers.layers.4.ffn.gate,3,0.05047396
input_transformers.layers.5.ffn.gate,0,0.11380172
input_transformers.layers.5.ffn.gate,1,0.08862463
input_transformers.layers.5.ffn.gate,2,0.77135026
input_transformers.layers.5.ffn.gate,3,0.026223427
input_transformers.layers.6.ffn.gate,0,0.4552842
input_transformers.layers.6.ffn.gate,1,0.037495583
input_transformers.layers.6.ffn.gate,2,0.24325144
input_transformers.layers.6.ffn.gate,3,0.26396874
input_transformers.layers.7.ffn.gate,0,0.08682402
input_transformers.layers.7.ffn.gate,1,0.43141636
input_transformers.layers.7.ffn.gate,2,0.04618038
input_transformers.layers.7.ffn.gate,3,0.4355793
input_transformers.layers.8.ffn.gate,0,0.044020083
input_transformers.layers.8.ffn.gate,1,0.69850904
input_transformers.layers.8.ffn.gate,2,0.06730817
input_transformers.layers.8.ffn.gate,3,0.19016273
input_transformers.layers.9.ffn.gate,0,0.024145639
input_transformers.layers.9.ffn.gate,1,0.0935933
input_transformers.layers.9.ffn.gate,2,0.8591102
input_transformers.layers.9.ffn.gate,3,0.023150856
input_transformers.layers.10.ffn.gate,0,0.3873989
input_transformers.layers.10.ffn.gate,1,0.04392715
input_transformers.layers.10.ffn.gate,2,0.50963783
input_transformers.layers.10.ffn.gate,3,0.059036117
input_transformers.layers.11.ffn.gate,0,0.79866344
input_transformers.layers.11.ffn.gate,1,0.07167939
input_transformers.layers.11.ffn.gate,2,0.09184601
input_transformers.layers.11.ffn.gate,3,0.037811264
