step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,34.03106164932251,-13.913451,
2,35.05458688735962,-14.171404,
3,36.05970764160156,-13.295645,
4,37.05232238769531,-11.827665,
5,38.03098726272583,-9.44432,
6,39.00709772109985,-6.641523,
7,39.9705970287323,-3.4821496,
8,40.95178198814392,-1.7802948,
9,42.270334005355835,-1.0665277,
10,43.25078988075256,-1.4098306,
11,44.58070993423462,-1.7989106,
12,45.58044648170471,-2.0857017,
13,46.56205916404724,-2.2646027,
14,46.8211190700531,-2.301283,
15,48.01006531715393,-2.6640968,
16,48.97298884391785,-2.8101842,
17,49.92696142196655,-3.0471501,
18,50.882558822631836,-3.2463005,
19,51.8520290851593,-3.0662143,
20,52.80523490905762,-3.345764,
21,53.75991439819336,-3.7503538,
22,54.720327377319336,-4.024336,
23,55.66837763786316,-3.6097953,
24,56.62894415855408,-3.9857469,
25,57.58077549934387,-4.278899,
26,58.51519727706909,-4.3332834,
27,59.48616337776184,-4.1782875,
28,59.714428663253784,-3.9473827,
29,60.86090803146362,-4.297495,
30,61.80851888656616,-4.343253,
31,62.74602913856506,-4.501877,
32,63.677990198135376,-4.6849575,
33,64.62126231193542,-4.353549,
34,65.55649495124817,-4.653764,
35,66.49357104301453,-5.1153665,
36,67.42509341239929,-5.3595233,
37,68.35890984535217,-4.687557,
38,69.28966856002808,-5.016044,
39,70.220055103302,-5.171223,
40,71.14916706085205,-5.090056,
41,72.07301020622253,-4.7117376,
42,72.29706358909607,-3.973601,
43,73.43952512741089,-4.555878,
44,74.3586015701294,-4.4783015,
45,75.28391313552856,-4.5366144,
46,76.22701644897461,-4.634114,
47,77.15509295463562,-4.203318,
48,78.07705211639404,-4.3962946,
49,78.9976646900177,-4.731765,
50,79.92299747467041,-4.904181,
51,80.84637713432312,-4.182621,
52,81.76321911811829,-4.475479,
53,82.68337869644165,-4.7007976,
54,83.60988807678223,-4.748447,
55,84.54219579696655,-4.4301825,
56,84.76946067810059,-3.486818,
57,85.97993445396423,-4.5252886,
58,86.90955805778503,-4.472281,
59,87.85260272026062,-4.5700684,
60,88.8019802570343,-4.582724,
61,89.74060726165771,-4.164572,
62,90.68806886672974,-4.2785435,
63,91.62907671928406,-4.643461,
64,92.57230162620544,-4.7694683,
65,93.51672148704529,-4.0801973,
66,94.47372913360596,-4.3770313,
67,95.4550085067749,-4.363614,
68,96.43292784690857,-3.945979,
69,97.40691757202148,-3.0222678,
70,97.64347767829895,-1.2746964,
71,98.85186719894409,-1.3173685,
72,99.82071161270142,-3.3722858,
73,100.79806661605835,-3.3443956,
74,101.77485609054565,-2.2775047,
75,102.7529182434082,-0.82067794,
76,103.75928974151611,-0.68955463,
77,104.76266384124756,-1.0298314,
78,105.755117893219,-1.4081107,
79,106.76576519012451,-0.75048697,
80,107.75990867614746,-0.91926,
81,108.77166986465454,-0.63842815,
82,109.75515031814575,-0.68392336,
83,110.7559564113617,-0.7469575,
84,111.0030927658081,-0.50164723,
85,112.24869298934937,-0.9587383,
86,113.25501775741577,-0.9431544,
87,114.25886392593384,-0.6425787,
88,115.25506734848022,-0.82935053,
89,116.2529718875885,-0.7811329,
90,117.26838374137878,-0.9450537,
91,118.28020524978638,-1.4740977,
92,119.28389763832092,-1.9050709,
93,120.28093266487122,-1.1343688,
94,121.28464341163635,-1.2190163,
95,122.31045055389404,-1.17335,
96,123.33958959579468,-1.106111,
97,124.35966491699219,-1.0095726,
98,124.60035705566406,-1.2266777,
99,125.84704971313477,-1.0197499,
100,128.62168216705322,-0.86472297,
101,129.6393642425537,-0.92487043,
102,130.6793110370636,-1.2235682,
103,131.7190923690796,-0.98167175,
104,132.74112915992737,-0.83035016,
105,133.752854347229,-1.1801004,
106,134.76986980438232,-1.7148287,
107,135.77930092811584,-0.967237,
108,136.7911891937256,-1.0966917,
109,137.80369544029236,-0.8412196,
110,138.81616401672363,-1.02519,
111,139.8188419342041,-0.814654,
112,140.0608139038086,-0.7036154,
113,141.28943967819214,-0.827668,
114,142.29418444633484,-0.75920093,
115,143.30779433250427,-0.7839118,
116,144.31102752685547,-0.8311371,
117,145.32586097717285,-0.6325281,
118,146.34276366233826,-0.701337,
119,147.35256147384644,-1.1207252,
120,148.36447668075562,-1.0092516,
121,149.38814043998718,-0.7990875,
122,150.39982914924622,-0.93807554,
123,151.4118161201477,-0.6689088,
124,152.43808770179749,-0.7955775,
125,153.44364190101624,-0.646313,
126,153.68704557418823,-0.47020498,
127,154.92356276512146,-0.72264767,
128,155.93452906608582,-0.56014544,
129,156.95297026634216,-0.8565092,
130,157.97030782699585,-0.7916813,
131,158.98479676246643,-0.5752887,
132,160.00483512878418,-0.56974196,
133,161.01782035827637,-0.8490788,
134,162.04178071022034,-1.4101729,
135,163.06423163414001,-0.85513365,
136,164.08949995040894,-0.60270023,
137,165.12841844558716,-0.6241439,
138,166.161376953125,-0.32393947,
139,167.19380617141724,-0.65243196,
140,167.45221829414368,-0.25282305,
141,168.75392961502075,-0.88548315,
142,169.77127242088318,-0.6742555,
143,170.7973575592041,-0.7675574,
144,171.81329989433289,-0.70221853,
145,172.83898949623108,-0.4962883,
146,173.89888405799866,-0.4685229,
147,174.92548274993896,-0.46727005,
148,175.95012879371643,-0.59488225,
149,176.9829981327057,-0.7156792,
150,178.01268696784973,-0.7619598,
151,179.04995799064636,-0.53827226,
152,180.14659976959229,-0.48973596,
153,181.16370248794556,-0.6418595,
154,181.41491055488586,-0.4168184,
155,182.71229648590088,-0.6431469,
156,183.74318552017212,-0.7274978,
157,184.77830004692078,-0.6623761,
158,185.81652307510376,-0.8760596,
159,186.86342763900757,-0.5779764,
160,187.8955898284912,-0.51405114,
161,188.92714548110962,-0.5795892,
162,189.9734435081482,-0.9105373,
163,191.0231273174286,-0.5487408,
164,192.0552942752838,-0.87401754,
165,193.10255360603333,-0.5234998,
166,194.14305996894836,-0.45188957,
167,195.18442964553833,-0.43071476,
168,195.43523693084717,-0.7405298,
169,196.72512698173523,-0.68382436,
170,197.75562071800232,-0.6302987,
171,198.79060864448547,-0.487935,
172,199.82708072662354,-0.5093229,
173,200.8633816242218,-0.5726543,
174,201.8981740474701,-0.5306823,
175,202.95847582817078,-0.62006944,
176,203.98233151435852,-0.45232362,
177,205.02196097373962,-0.480727,
178,206.06651139259338,-0.49859297,
179,207.1181025505066,-0.92197,
180,208.1599781513214,-0.4354023,
181,209.219646692276,-0.62712944,
182,209.48940682411194,-0.7114028,
183,210.7608437538147,-0.6527896,
184,211.77965903282166,-0.34905297,
185,212.8292851448059,-0.6377649,
186,213.8712935447693,-0.49380678,
187,214.92811131477356,-0.39009956,
188,215.97033286094666,-0.4609619,
189,217.02117156982422,-0.48840794,
190,218.05529308319092,-0.4621729,
191,219.10401487350464,-0.74110866,
192,220.13916444778442,-0.55519515,
193,221.19273734092712,-0.36432746,
194,222.2520718574524,-0.32862097,
195,223.30675888061523,-0.34082797,
196,223.57327580451965,-0.52161676,
197,224.8681037425995,-0.56412905,
198,225.90512418746948,-0.5285614,
199,226.9464864730835,-0.33121607,
200,228.94477462768555,-0.48182705,
201,229.98248553276062,-0.39944786,
202,231.0303566455841,-0.16515683,
203,232.06021904945374,-0.24874446,
204,233.0935983657837,-0.41470551,
205,234.14566469192505,-0.29989606,
206,235.1789355278015,-0.4818362,
207,236.21949553489685,-0.7703254,
208,237.2614758014679,-0.3905864,
209,238.30037713050842,-0.5279712,
210,238.54648637771606,-0.16984108,
211,239.82870316505432,-0.26766786,
212,240.8544750213623,-0.37267554,
213,241.8976650238037,-0.3081033,
214,242.9530975818634,-0.53583425,
215,243.99812483787537,-0.24634327,
216,245.03854179382324,-0.36048144,
217,246.1020426750183,-0.39871776,
218,247.14403223991394,-0.4804353,
219,248.17477583885193,-0.22651702,
220,249.21313309669495,-0.4941214,
221,250.26054048538208,-0.388728,
222,251.31424641609192,-0.20074666,
223,252.36850333213806,-0.41226855,
224,252.62778449058533,-0.6016114,
225,253.9519579410553,-0.50792146,
226,255.024169921875,-0.28117043,
227,256.08723616600037,-0.5964846,
228,257.1412003040314,-0.35261643,
229,258.2354350090027,-0.3887177,
230,259.28694319725037,-0.2303945,
231,260.374383687973,-0.682184,
232,261.4358751773834,-0.3407694,
