train_step,log_step_index,expert_0,expert_1
0,0,0.390625,0.609375
100,1,0.16666667,0.8333333
200,2,0.2760181,0.7239819
300,3,0.4296875,0.5703125
400,4,0.2857143,0.71428573
500,5,0.23809524,0.7619048
600,6,0.2626728,0.7373272
700,7,0.27272728,0.72727275
800,8,0.3442623,0.6557377
900,9,0.31623933,0.6837607
1000,10,0.26605505,0.73394495
1100,11,0.3495935,0.6504065
1200,12,0.3277311,0.6722689
1300,13,0.35222673,0.64777327
1400,14,0.4375,0.5625
1500,15,0.44921875,0.55078125
1600,16,0.4765625,0.5234375
1700,17,0.4765625,0.5234375
1800,18,0.515625,0.484375
