train_step,log_step_index,expert_0,expert_1
0,0,0.61816406,0.38183594
100,1,0.8988764,0.101123594
200,2,0.8683854,0.13161466
300,3,0.4716797,0.5283203
400,4,0.31769723,0.6823028
500,5,0.03323263,0.9667674
600,6,0.036144577,0.96385545
700,7,0.037593983,0.96240604
800,8,0.036144577,0.96385545
900,9,0.022900764,0.97709924
1000,10,0.018404908,0.9815951
1100,11,0.015384615,0.9846154
1200,12,0.02587519,0.9741248
1300,13,0.024390243,0.9756098
1400,14,0.021406727,0.9785933
1500,15,0.028831564,0.97116846
1600,16,0.021406727,0.9785933
1700,17,0.018404908,0.9815951
1800,18,0.015384615,0.9846154
