step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.0036442279815674,-14.525855,
2,3.2513351440429688,-14.54745,
3,4.546680212020874,-14.40488,
4,5.843886375427246,-13.693594,
5,7.144302606582642,-13.431045,
6,8.442614078521729,-11.927248,
7,9.739741325378418,-10.001038,
8,11.039525508880615,-9.217936,
9,12.340775966644287,-9.3255415,
10,13.642655372619629,-8.992941,
11,14.943368911743164,-13.406102,
12,16.24750018119812,-10.701799,
13,17.54622220993042,-14.740315,
14,18.849233865737915,-17.174429,
15,20.15124273300171,-17.06253,
16,21.438499212265015,-17.158606,
17,22.75159502029419,-16.967474,
18,24.05099606513977,-21.240328,
19,25.36213207244873,-13.291152,
20,26.678846836090088,-19.602962,
21,27.98448920249939,-23.26052,
22,29.285874843597412,-19.209106,
23,30.59076952934265,-22.103811,
24,31.896519899368286,-28.68012,
25,33.19454503059387,-19.698051,
26,34.505804777145386,-15.663219,
27,35.81139636039734,-19.202366,
28,37.113911867141724,-21.666943,
29,38.40516376495361,-18.936962,
30,39.70844626426697,-19.488838,
31,41.02677011489868,-23.337172,
32,42.34429049491882,-20.735264,
33,43.628846168518066,-23.950798,
34,44.938820600509644,-19.400673,
35,46.244500160217285,-23.039064,
36,47.54935812950134,-15.028081,
37,48.85527801513672,-16.293766,
38,50.1619975566864,-18.279888,
39,51.46250510215759,-12.806465,
40,52.76720309257507,-21.084375,
41,54.078004360198975,-17.703354,
42,55.38607621192932,-13.365709,
43,56.6948184967041,-20.154568,
44,58.02170443534851,-8.010879,
45,59.3321008682251,-11.56472,
46,60.63940501213074,-8.7034235,
47,61.93717908859253,-13.251627,
48,63.26181697845459,-9.483874,
49,64.57335138320923,-11.345325,
50,65.87952065467834,-6.3943014,
51,67.18294548988342,-8.757305,
52,68.50027441978455,-8.332174,
53,69.81390810012817,-6.999623,
54,71.12028384208679,-7.1923857,
55,72.43105983734131,-6.363695,
56,73.73910641670227,-7.26884,
57,75.05315160751343,-7.8164682,
58,76.36170530319214,-7.0778704,
59,77.66859078407288,-5.9779067,
60,78.98003053665161,-7.3493,
61,80.2914719581604,-4.940954,
62,81.60205912590027,-4.7957277,
63,82.91059756278992,-5.2805853,
64,84.22509050369263,-8.980989,
65,85.53648853302002,-7.4523716,
66,86.84689688682556,-4.894331,
67,88.15659213066101,-8.525403,
68,89.46688389778137,-10.006315,
69,90.75988507270813,-6.2468815,
70,92.08700060844421,-7.03584,
71,93.38071203231812,-4.3396325,
72,94.69250011444092,-4.1330514,
73,96.00502872467041,-4.375446,
74,97.32894682884216,-9.617273,
75,98.64099526405334,-13.524977,
76,99.94956135749817,-3.8760607,
77,101.26605534553528,-3.94565,
78,102.56050515174866,-5.786105,
79,103.88716316223145,-13.182041,
80,105.20203232765198,-4.9872813,
81,106.50851964950562,-5.751648,
82,107.82051682472229,-5.6732454,
83,109.13287854194641,-5.4506845,
84,110.4257242679596,-11.787027,
85,111.75811505317688,-6.2702713,
86,113.05160450935364,-8.328097,
87,114.36529064178467,-5.8495255,
88,115.69487380981445,-6.71229,
89,117.00536441802979,-5.7870297,
90,118.31978869438171,-6.7807293,
91,119.6293432712555,-11.277947,
92,120.93764209747314,-5.033545,
93,122.25561332702637,-4.636735,
94,123.5616602897644,-4.7107115,
