train_step,log_step_index,expert_0,expert_1
0,0,0.66528064,0.33471933
100,1,0.68817204,0.31182796
200,2,0.7223476,0.27765238
300,3,0.6537283,0.3462717
400,4,0.69640917,0.30359086
500,5,0.6504065,0.3495935
600,6,0.46289062,0.5371094
700,7,0.7009858,0.29901424
800,8,0.64711833,0.3528817
900,9,0.54003906,0.45996094
1000,10,0.51464844,0.48535156
1100,11,0.6701571,0.32984293
1200,12,0.6577595,0.34224048
1300,13,0.49023438,0.5097656
1400,14,0.47265625,0.52734375
1500,15,0.5419922,0.4580078
1600,16,0.53515625,0.46484375
1700,17,0.42382812,0.5761719
1800,18,0.45507812,0.5449219
