step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,3.1766228675842285,-14.1593685,
2,3.4392411708831787,-14.395138,
3,3.713763475418091,-13.76013,
4,3.988720655441284,-12.779779,
5,4.261105537414551,-11.015542,
6,4.53423810005188,-9.077978,
7,4.806545972824097,-6.6786394,
8,5.081014394760132,-4.0078487,
9,5.355961561203003,-1.7534497,
10,5.628336191177368,-1.1992335,
11,5.900886297225952,-1.354588,
12,6.175877571105957,-1.6719921,
13,6.451546907424927,-1.9649627,
14,6.725051403045654,-2.1464534,
15,6.998860597610474,-2.3598332,
16,7.274982213973999,-2.5121913,
17,7.552004098892212,-2.6937299,
18,7.826379776000977,-2.9482803,
19,8.099804878234863,-3.206933,
20,8.37579345703125,-3.5757365,
21,8.65231966972351,-3.8120694,
22,8.926647901535034,-3.2095366,
23,9.200475692749023,-3.727387,
24,9.475587606430054,-4.190894,
25,9.752846956253052,-3.8345995,
26,10.029600620269775,-4.6675625,
27,10.302421569824219,-4.2824917,
28,10.576311349868774,-4.7311506,
29,10.853719472885132,-4.4764395,
30,11.126690864562988,-4.5099425,
31,11.398796319961548,-4.9218984,
32,11.674864530563354,-4.3869853,
33,11.951339721679688,-4.9347777,
34,12.225383520126343,-5.5158663,
35,12.49806523323059,-5.5166836,
36,12.77175521850586,-5.462548,
37,13.04722809791565,-5.351014,
38,13.322664260864258,-5.567401,
39,13.596518278121948,-5.492791,
40,13.871415853500366,-5.548547,
41,14.146249771118164,-5.248533,
42,14.42189621925354,-6.193534,
43,14.696048259735107,-5.5742254,
44,14.97128415107727,-5.04667,
45,15.245826959609985,-5.0560875,
46,15.523770093917847,-5.2436037,
47,15.80428433418274,-4.965396,
48,16.07741403579712,-5.306295,
49,16.35321569442749,-4.884642,
50,16.63116192817688,-4.964074,
51,16.904357433319092,-5.4631453,
52,17.177499771118164,-5.25583,
53,17.45339059829712,-5.2610235,
54,17.731740951538086,-5.16654,
55,18.005268335342407,-4.8240657,
56,18.278900623321533,-5.0971174,
57,18.555084705352783,-5.369735,
58,18.835794925689697,-4.993554,
59,19.111454486846924,-5.5304823,
60,19.38787007331848,-6.0541577,
61,19.669012784957886,-5.0499625,
62,19.94961643218994,-4.949711,
63,20.226905584335327,-5.201185,
64,20.503840684890747,-4.811571,
65,20.78025531768799,-5.118507,
66,21.059389114379883,-5.439376,
67,21.337854385375977,-3.4995985,
68,21.61808729171753,-3.2118554,
