train_step,log_step_index,expert_0,expert_1
0,0,0.10130391,0.89869606
100,1,0.09677419,0.9032258
200,2,0.0781893,0.9218107
300,3,0.09586277,0.90413725
400,4,0.064718165,0.9352818
500,5,0.061780106,0.9382199
600,6,0.05185185,0.94814813
700,7,0.053854275,0.9461457
800,8,0.047821466,0.95217854
900,9,0.06374086,0.93625915
1000,10,0.056842104,0.9431579
1100,11,0.04680851,0.9531915
1200,12,0.04171123,0.9582888
1300,13,0.040685225,0.95931476
1400,14,0.03655914,0.96344084
1500,15,0.029252438,0.9707476
1600,16,0.049840935,0.9501591
1700,17,0.029252438,0.9707476
1800,18,0.061780106,0.9382199
