layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.28834292
input_transformers.layers.0.ffn.gate,1,0.17783718
input_transformers.layers.0.ffn.gate,2,0.14956826
input_transformers.layers.0.ffn.gate,3,0.38425165
input_transformers.layers.1.ffn.gate,0,0.32678708
input_transformers.layers.1.ffn.gate,1,0.060217354
input_transformers.layers.1.ffn.gate,2,0.18411142
input_transformers.layers.1.ffn.gate,3,0.42888415
input_transformers.layers.2.ffn.gate,0,0.3537069
input_transformers.layers.2.ffn.gate,1,0.33119428
input_transformers.layers.2.ffn.gate,2,0.09774802
input_transformers.layers.2.ffn.gate,3,0.21735081
input_transformers.layers.3.ffn.gate,0,0.6560447
input_transformers.layers.3.ffn.gate,1,0.031301986
input_transformers.layers.3.ffn.gate,2,0.17299958
input_transformers.layers.3.ffn.gate,3,0.13965379
input_transformers.layers.4.ffn.gate,0,0.25621644
input_transformers.layers.4.ffn.gate,1,0.0833427
input_transformers.layers.4.ffn.gate,2,0.6071708
input_transformers.layers.4.ffn.gate,3,0.05327009
input_transformers.layers.5.ffn.gate,0,0.094556
input_transformers.layers.5.ffn.gate,1,0.07928367
input_transformers.layers.5.ffn.gate,2,0.8005446
input_transformers.layers.5.ffn.gate,3,0.025615707
input_transformers.layers.6.ffn.gate,0,0.4127767
input_transformers.layers.6.ffn.gate,1,0.042000547
input_transformers.layers.6.ffn.gate,2,0.07704231
input_transformers.layers.6.ffn.gate,3,0.46818045
input_transformers.layers.7.ffn.gate,0,0.06652927
input_transformers.layers.7.ffn.gate,1,0.3808489
input_transformers.layers.7.ffn.gate,2,0.044810425
input_transformers.layers.7.ffn.gate,3,0.5078114
input_transformers.layers.8.ffn.gate,0,0.047335833
input_transformers.layers.8.ffn.gate,1,0.81004244
input_transformers.layers.8.ffn.gate,2,0.07716336
input_transformers.layers.8.ffn.gate,3,0.06545846
input_transformers.layers.9.ffn.gate,0,0.027690733
input_transformers.layers.9.ffn.gate,1,0.097351335
input_transformers.layers.9.ffn.gate,2,0.8516124
input_transformers.layers.9.ffn.gate,3,0.023345595
input_transformers.layers.10.ffn.gate,0,0.6742553
input_transformers.layers.10.ffn.gate,1,0.068653084
input_transformers.layers.10.ffn.gate,2,0.18075387
input_transformers.layers.10.ffn.gate,3,0.07633778
input_transformers.layers.11.ffn.gate,0,0.79683167
input_transformers.layers.11.ffn.gate,1,0.07066831
input_transformers.layers.11.ffn.gate,2,0.09327234
input_transformers.layers.11.ffn.gate,3,0.039227642
