train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.25974026,0.03751804,0.056277055,0.64646465
100,1,0.18881987,0.06335404,0.19130434,0.5565217
200,2,0.091065295,0.04639175,0.0927835,0.7697595
300,3,0.47965738,0.08137045,0.08672377,0.3522484
400,4,0.5028058,0.039281707,0.044893377,0.4130191
500,5,0.54171705,0.051995162,0.061668683,0.3446191
600,6,0.46618107,0.036420394,0.031217482,0.46618107
700,7,0.53017753,0.03550296,0.043786984,0.39053255
800,8,0.6427547,0.040172167,0.07317073,0.24390244
900,9,0.47257385,0.043248944,0.1371308,0.3470464
1000,10,0.32438478,0.05704698,0.11744966,0.50111854
1100,11,0.48854962,0.03816794,0.0436205,0.42966193
1200,12,0.513173,0.03436426,0.07560138,0.3768614
1300,13,0.43155694,0.026123302,0.07419018,0.46812958
1400,14,0.2798949,0.043363996,0.08804205,0.5886991
1500,15,0.43348116,0.019955654,0.049889136,0.49667406
1600,16,0.40870488,0.03821656,0.077494696,0.47558385
1700,17,0.45253164,0.029535865,0.04535865,0.47257385
1800,18,0.33498758,0.03598015,0.07320099,0.55583125
