train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.0878187,0.02549575,0.0509915,0.008498584,0.09915014,0.065155804,0.028328612,0.6345609
100,1,0.05925926,0.074074075,0.014814815,0.074074075,0.056790125,0.074074075,0.09382716,0.5530864
200,2,0.04775281,0.08146068,0.033707865,0.039325844,0.07584269,0.04775281,0.04494382,0.6292135
300,3,0.04347826,0.04347826,0.019021738,0.027173912,0.10869565,0.08152174,0.06793478,0.6086956
400,4,0.023391813,0.0877193,0.01754386,0.046783626,0.064327486,0.06725146,0.038011696,0.65497077
500,5,0.034666665,0.061333332,0.032,0.042666666,0.06666667,0.09866667,0.06666667,0.5973333
600,6,0.014705882,0.07058824,0.011764706,0.047058824,0.05882353,0.08235294,0.055882353,0.65882355
700,7,0.012012012,0.066066064,0.033033032,0.024024025,0.06006006,0.08708709,0.045045044,0.6726727
800,8,0.018018018,0.066066064,0.024024025,0.015015015,0.084084086,0.08108108,0.039039038,0.6726727
900,9,0.024937656,0.059850372,0.03241895,0.042394016,0.10723192,0.114713214,0.059850372,0.55860347
1000,10,0.06284153,0.07377049,0.027322404,0.068306014,0.043715846,0.06284153,0.04918033,0.61202186
1100,11,0.0234375,0.067708336,0.0234375,0.03125,0.0859375,0.0546875,0.13020833,0.5833333
1200,12,0.019417476,0.042718448,0.02330097,0.011650485,0.2,0.075728156,0.19223301,0.43495145
1300,13,0.018666666,0.061333332,0.037333332,0.034666665,0.053333335,0.050666668,0.14666666,0.5973333
1400,14,0.026392963,0.055718474,0.017595308,0.04398827,0.052785926,0.06744868,0.079178885,0.6568915
1500,15,0.030985916,0.04225352,0.025352113,0.011267605,0.10422535,0.08732394,0.06760564,0.6309859
1600,16,0.08661418,0.05905512,0.023622047,0.031496063,0.12598425,0.049212597,0.18307087,0.44094488
1700,17,0.027075812,0.03068592,0.028880866,0.03068592,0.2635379,0.037906136,0.1768953,0.40433213
1800,18,0.061032865,0.04225352,0.030516433,0.032863848,0.09389672,0.05399061,0.15962441,0.52582157
