step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.541074752807617,-14.713197,
2,3.794807195663452,-14.682986,
3,5.043916940689087,-14.081173,
4,6.292120933532715,-12.490471,
5,7.543158054351807,-10.111801,
6,8.793242931365967,-7.3520103,
7,10.048267602920532,-4.1506376,
8,11.309922933578491,-1.6386368,
9,12.563255548477173,-1.1926916,
10,13.81524395942688,-1.4024183,
11,15.063989877700806,-1.7520766,
12,16.311745405197144,-2.1998901,
13,17.55735993385315,-2.4866047,
14,18.797390460968018,-2.6763668,
15,20.03073287010193,-2.9209213,
16,21.25629758834839,-3.0006242,
17,22.4713933467865,-3.161306,
18,23.67779231071472,-3.3989165,
19,24.86027479171753,-3.6259394,
20,26.03275179862976,-3.983575,
21,27.197503566741943,-4.215392,
22,28.34413480758667,-3.514039,
23,29.470421314239502,-4.063158,
24,30.577613592147827,-4.543717,
25,31.670570850372314,-4.1302805,
26,32.759552240371704,-5.008252,
27,33.84278869628906,-4.557974,
28,34.91847348213196,-5.00538,
29,35.991721630096436,-4.7045326,
30,37.06698393821716,-4.7087107,
31,38.140462160110474,-5.1186175,
32,39.21041536331177,-4.5380445,
33,40.28126811981201,-5.0967107,
34,41.35271143913269,-5.6764812,
35,42.41923546791077,-5.6059136,
36,43.488075971603394,-5.46192,
37,44.56335473060608,-5.28349,
38,45.63222312927246,-5.4084835,
39,46.70672130584717,-5.277412,
40,47.78996777534485,-5.2697277,
41,48.87271022796631,-4.902776,
42,49.95956587791443,-5.830686,
43,51.04767155647278,-5.2180347,
44,52.140554428100586,-4.713408,
45,53.241917848587036,-4.7568746,
46,54.36328434944153,-4.709602,
47,55.48956346511841,-4.1595764,
48,56.614875078201294,-4.397345,
49,57.735525131225586,-4.56556,
50,58.86598062515259,-4.643892,
51,59.99752616882324,-4.785906,
52,61.140137672424316,-4.1222034,
53,62.30049467086792,-3.583503,
54,63.477964639663696,-3.121118,
55,64.68993711471558,-1.9849596,
56,65.92660188674927,-1.7791371,
57,67.16612148284912,-2.7786484,
58,68.39571619033813,-2.1308336,
59,69.63185548782349,-2.5647027,
60,70.86537432670593,-2.706963,
61,72.0926775932312,-1.6051126,
62,73.32468628883362,-1.2454684,
