step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,3.3156471252441406,-14.1593685,
2,3.5779526233673096,-14.395138,
3,3.850137948989868,-13.76013,
4,4.12018895149231,-12.779779,
5,4.3908851146698,-11.015542,
6,4.6666951179504395,-9.077978,
7,4.936721563339233,-6.6786394,
8,5.207937717437744,-4.0078487,
9,5.480804204940796,-1.7534497,
10,5.752049207687378,-1.1992335,
11,6.0251195430755615,-1.354588,
12,6.298927068710327,-1.6719921,
13,6.569233655929565,-1.9649627,
14,6.8416173458099365,-2.1464534,
15,7.11556601524353,-2.3598332,
16,7.387267827987671,-2.5121913,
17,7.658282041549683,-2.6937299,
18,7.931175947189331,-2.9482803,
19,8.205064535140991,-3.206933,
20,8.474803924560547,-3.5757365,
21,8.749231338500977,-3.8120694,
22,9.023175954818726,-3.2095366,
23,9.294455289840698,-3.727387,
24,9.567776918411255,-4.190894,
25,9.839476823806763,-3.8345995,
26,10.10926866531372,-4.6675625,
27,10.382769346237183,-4.2824917,
28,10.65433144569397,-4.7311506,
29,10.926371574401855,-4.4764395,
30,11.197437524795532,-4.5099425,
31,11.468348741531372,-4.9218984,
32,11.741716146469116,-4.3869853,
33,12.012385606765747,-4.9347777,
34,12.284883260726929,-5.5158663,
35,12.558767318725586,-5.5166836,
36,12.829582214355469,-5.462548,
37,13.103275299072266,-5.351014,
38,13.377684593200684,-5.567401,
39,13.64876651763916,-5.492791,
40,13.920569658279419,-5.548547,
41,14.195019006729126,-5.248533,
42,14.46830940246582,-6.193534,
43,14.74319076538086,-5.5742254,
44,15.014900207519531,-5.04667,
45,15.288354635238647,-5.0560875,
46,15.561208963394165,-5.2436037,
47,15.833609819412231,-4.965396,
48,16.106844902038574,-5.306295,
49,16.382502555847168,-4.884642,
50,16.65541362762451,-4.964074,
51,16.92748475074768,-5.4631453,
52,17.200475692749023,-5.25583,
53,17.47390365600586,-5.2610235,
54,17.746525526046753,-5.16654,
55,18.02159309387207,-4.8240657,
56,18.29510235786438,-5.0971174,
57,18.56890559196472,-5.369735,
58,18.842333555221558,-4.993554,
59,19.114331245422363,-5.5304823,
60,19.387122631072998,-6.0541577,
61,19.660959482192993,-5.0499625,
62,19.93538188934326,-4.949711,
63,20.208815813064575,-5.201185,
64,20.4831326007843,-4.811571,
65,20.756341695785522,-5.118507,
66,21.027864456176758,-5.439376,
67,21.3022518157959,-3.4995985,
68,21.575860023498535,-3.2118554,
69,21.850582122802734,-1.2510351,
70,22.1251060962677,-2.3110976,
71,22.39884877204895,-2.0604317,
72,22.671082258224487,-2.3881865,
73,22.94561743736267,-1.1710893,
74,23.21994686126709,-0.8360035,
75,23.4948787689209,-1.1716726,
76,23.768752574920654,-1.6400654,
77,24.0431010723114,-1.2801045,
78,24.31584405899048,-0.97078747,
79,24.588684558868408,-0.8146996,
80,24.86387348175049,-1.0660878,
81,25.137901782989502,-0.73171765,
82,25.41286325454712,-0.6562881,
83,25.68588924407959,-1.3977797,
84,25.959758281707764,-1.1667022,
85,26.232187271118164,-0.76224005,
86,26.504112005233765,-0.71845984,
87,26.778740882873535,-0.9178641,
88,27.05125856399536,-0.93645245,
89,27.32502245903015,-0.8803563,
90,27.599874258041382,-0.8139387,
91,27.87157368659973,-0.59567064,
92,28.14405846595764,-0.6956906,
93,28.418388843536377,-1.6042459,
94,28.691163063049316,-0.9494281,
95,28.965644359588623,-0.6327818,
96,29.239388704299927,-1.0005,
97,29.512199640274048,-0.9417324,
98,29.78467106819153,-1.4826213,
99,30.060220956802368,-0.67945576,
100,30.52541446685791,-0.922954,
101,30.799806594848633,-1.3769808,
102,31.074424982070923,-1.2822645,
103,31.348308563232422,-0.7509881,
104,31.62336301803589,-0.7655119,
105,31.898377418518066,-1.0303308,
106,32.1717255115509,-0.9615074,
107,32.44456219673157,-0.8667834,
108,32.72313332557678,-0.96072227,
109,32.999584913253784,-1.0434003,
110,33.27326822280884,-0.80418813,
111,33.548553705215454,-1.0199957,
112,33.82269477844238,-0.709606,
113,34.09854698181152,-0.6925734,
114,34.37184286117554,-1.1316363,
115,34.64960336685181,-1.0492966,
116,34.92384123802185,-0.955974,
117,35.200453996658325,-0.95642555,
118,35.47544193267822,-0.7124034,
119,35.75164985656738,-1.0423346,
120,36.025596618652344,-0.6490507,
121,36.3005645275116,-0.5836756,
122,36.57705497741699,-1.4368473,
123,36.852919578552246,-0.84962857,
124,37.1276490688324,-0.9150659,
125,37.40151500701904,-0.66061974,
126,37.67804718017578,-0.94940597,
127,37.95284962654114,-0.5313072,
128,38.22978377342224,-0.6221539,
129,38.50543808937073,-0.7687938,
130,38.78102684020996,-0.5888648,
131,39.05854415893555,-0.97373146,
132,39.33361291885376,-0.579545,
133,39.60971188545227,-0.8266466,
134,39.883580446243286,-0.8135485,
135,40.16154932975769,-0.78641987,
136,40.43904495239258,-0.64698935,
137,40.71490931510925,-0.52705956,
138,40.98846077919006,-0.7891692,
139,41.261685848236084,-0.688063,
140,41.53779888153076,-0.6077051,
141,41.81177735328674,-0.69413376,
142,42.08864760398865,-0.52795756,
143,42.362770557403564,-0.67345536,
144,42.637362241744995,-0.4112106,
145,42.911123752593994,-0.6123936,
146,43.18593192100525,-0.63300943,
147,43.45936942100525,-0.68015933,
148,43.736486196517944,-0.6678766,
149,44.012239933013916,-0.39315623,
150,44.28713250160217,-0.5652438,
151,44.560813665390015,-0.7700486,
152,44.836965560913086,-0.5080723,
153,45.11298990249634,-0.92861325,
154,45.3902850151062,-0.40344852,
155,45.66656517982483,-0.51937675,
156,45.94040012359619,-0.62287235,
157,46.21754503250122,-0.6459749,
158,46.49453592300415,-0.8379823,
159,46.76890516281128,-0.4946667,
160,47.04714059829712,-0.39010996,
161,47.32380032539368,-0.41749936,
162,47.59975290298462,-0.4472375,
163,47.87645673751831,-0.45767307,
164,48.15317893028259,-0.6164016,
165,48.428154706954956,-0.35240698,
166,48.70703744888306,-0.4263181,
167,48.98314094543457,-0.40683383,
168,49.258692502975464,-0.46654436,
169,49.53593325614929,-0.44539338,
170,49.81140160560608,-0.4837625,
171,50.08870196342468,-0.39351803,
172,50.36333084106445,-0.472454,
173,50.64116549491882,-1.3762628,
174,50.91861820220947,-0.4784287,
175,51.195770263671875,-0.32208484,
176,51.47183656692505,-0.40796116,
177,51.74963116645813,-0.42526743,
178,52.024269580841064,-0.4547245,
179,52.30242967605591,-0.4172353,
180,52.57846760749817,-0.7817575,
181,52.8570191860199,-0.60258234,
182,53.13372230529785,-0.49763525,
183,53.40909242630005,-0.5230529,
184,53.686261892318726,-0.5673273,
185,53.96493721008301,-0.21160299,
186,54.24197793006897,-0.20267332,
187,54.517664432525635,-0.37138206,
188,54.79464912414551,-0.46949804,
189,55.07174563407898,-0.45354223,
190,55.34812307357788,-0.30862936,
191,55.62566351890564,-0.33291522,
192,55.90323829650879,-0.27745274,
193,56.18045258522034,-0.43603873,
194,56.45709729194641,-0.28705838,
195,56.73446440696716,-0.383888,
196,57.01253128051758,-0.33244604,
197,57.2906699180603,-0.2951707,
198,57.568074464797974,-0.70693207,
199,57.84493136405945,-0.42280757,
200,58.28399991989136,-0.30737802,
201,58.55772519111633,-0.6101687,
202,58.834672927856445,-0.3564347,
203,59.1107292175293,-0.3542073,
