layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.08261612
input_transformers.layers.0.ffn.gate,1,0.026298212
input_transformers.layers.0.ffn.gate,2,0.012972905
input_transformers.layers.0.ffn.gate,3,0.039811563
input_transformers.layers.0.ffn.gate,4,0.25043595
input_transformers.layers.0.ffn.gate,5,0.092044055
input_transformers.layers.0.ffn.gate,6,0.25547963
input_transformers.layers.0.ffn.gate,7,0.24034151
input_transformers.layers.1.ffn.gate,0,0.11012603
input_transformers.layers.1.ffn.gate,1,0.18596603
input_transformers.layers.1.ffn.gate,2,0.12259394
input_transformers.layers.1.ffn.gate,3,0.012285827
input_transformers.layers.1.ffn.gate,4,0.13173398
input_transformers.layers.1.ffn.gate,5,0.076303065
input_transformers.layers.1.ffn.gate,6,0.2230859
input_transformers.layers.1.ffn.gate,7,0.1379051
input_transformers.layers.2.ffn.gate,0,0.0760001
input_transformers.layers.2.ffn.gate,1,0.08381688
input_transformers.layers.2.ffn.gate,2,0.05895728
input_transformers.layers.2.ffn.gate,3,0.249056
input_transformers.layers.2.ffn.gate,4,0.16309553
input_transformers.layers.2.ffn.gate,5,0.18648656
input_transformers.layers.2.ffn.gate,6,0.12587696
input_transformers.layers.2.ffn.gate,7,0.05671067
input_transformers.layers.3.ffn.gate,0,0.042131692
input_transformers.layers.3.ffn.gate,1,0.2560712
input_transformers.layers.3.ffn.gate,2,0.010026031
input_transformers.layers.3.ffn.gate,3,0.010019188
input_transformers.layers.3.ffn.gate,4,0.044685625
input_transformers.layers.3.ffn.gate,5,0.24556667
input_transformers.layers.3.ffn.gate,6,0.27369332
input_transformers.layers.3.ffn.gate,7,0.1178064
input_transformers.layers.4.ffn.gate,0,0.01644563
input_transformers.layers.4.ffn.gate,1,0.13065277
input_transformers.layers.4.ffn.gate,2,0.19339874
input_transformers.layers.4.ffn.gate,3,0.05379457
input_transformers.layers.4.ffn.gate,4,0.18026687
input_transformers.layers.4.ffn.gate,5,0.18347439
input_transformers.layers.4.ffn.gate,6,0.1325273
input_transformers.layers.4.ffn.gate,7,0.109439604
input_transformers.layers.5.ffn.gate,0,0.25379965
input_transformers.layers.5.ffn.gate,1,0.20539312
input_transformers.layers.5.ffn.gate,2,0.23358278
input_transformers.layers.5.ffn.gate,3,0.035857733
input_transformers.layers.5.ffn.gate,4,0.08471972
input_transformers.layers.5.ffn.gate,5,0.11336545
input_transformers.layers.5.ffn.gate,6,0.005548432
input_transformers.layers.5.ffn.gate,7,0.06773332
input_transformers.layers.6.ffn.gate,0,0.004537302
input_transformers.layers.6.ffn.gate,1,0.0068404684
input_transformers.layers.6.ffn.gate,2,0.12140172
input_transformers.layers.6.ffn.gate,3,0.008255458
input_transformers.layers.6.ffn.gate,4,0.34868628
input_transformers.layers.6.ffn.gate,5,0.041874018
input_transformers.layers.6.ffn.gate,6,0.02128993
input_transformers.layers.6.ffn.gate,7,0.44711486
input_transformers.layers.7.ffn.gate,0,0.011543685
input_transformers.layers.7.ffn.gate,1,0.033374645
input_transformers.layers.7.ffn.gate,2,0.0821534
input_transformers.layers.7.ffn.gate,3,0.10174122
input_transformers.layers.7.ffn.gate,4,0.21215884
input_transformers.layers.7.ffn.gate,5,0.050754044
input_transformers.layers.7.ffn.gate,6,0.39456514
input_transformers.layers.7.ffn.gate,7,0.11370909
input_transformers.layers.8.ffn.gate,0,0.08017987
input_transformers.layers.8.ffn.gate,1,0.009139141
input_transformers.layers.8.ffn.gate,2,0.34481016
input_transformers.layers.8.ffn.gate,3,0.058402136
input_transformers.layers.8.ffn.gate,4,0.14594053
input_transformers.layers.8.ffn.gate,5,0.27356994
input_transformers.layers.8.ffn.gate,6,0.016602147
input_transformers.layers.8.ffn.gate,7,0.07135604
input_transformers.layers.9.ffn.gate,0,0.38880983
input_transformers.layers.9.ffn.gate,1,0.31428996
input_transformers.layers.9.ffn.gate,2,0.036950525
input_transformers.layers.9.ffn.gate,3,0.07779018
input_transformers.layers.9.ffn.gate,4,0.021541836
input_transformers.layers.9.ffn.gate,5,0.0049013314
input_transformers.layers.9.ffn.gate,6,0.13826299
input_transformers.layers.9.ffn.gate,7,0.017454265
input_transformers.layers.10.ffn.gate,0,0.00508995
input_transformers.layers.10.ffn.gate,1,0.13754551
input_transformers.layers.10.ffn.gate,2,0.045522533
input_transformers.layers.10.ffn.gate,3,0.22883625
input_transformers.layers.10.ffn.gate,4,0.23926538
input_transformers.layers.10.ffn.gate,5,0.014594428
input_transformers.layers.10.ffn.gate,6,0.32008877
input_transformers.layers.10.ffn.gate,7,0.00905704
input_transformers.layers.11.ffn.gate,0,0.27983016
input_transformers.layers.11.ffn.gate,1,0.18313475
input_transformers.layers.11.ffn.gate,2,0.0050167544
input_transformers.layers.11.ffn.gate,3,0.26026484
input_transformers.layers.11.ffn.gate,4,0.10720262
input_transformers.layers.11.ffn.gate,5,0.09502061
input_transformers.layers.11.ffn.gate,6,0.0597688
input_transformers.layers.11.ffn.gate,7,0.0097614685
