train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.36363637,0.040584415,0.36363637,0.071428575,0.064935066,0.050324675,0.021103896,0.024350649
100,1,0.3043478,0.03125,0.3043478,0.04076087,0.16847827,0.039402176,0.05978261,0.051630434
200,2,0.1959799,0.020100502,0.3752094,0.06532663,0.22278057,0.06365159,0.02680067,0.030150754
300,3,0.112526536,0.016985139,0.47558385,0.08704883,0.13163482,0.07643312,0.031847134,0.067940556
400,4,0.027624309,0.019337017,0.61878455,0.0801105,0.06906077,0.0718232,0.046961326,0.06629834
500,5,0.02020202,0.015151516,0.56565654,0.116161615,0.14141414,0.058080807,0.03787879,0.045454547
600,6,0.039106146,0.008379889,0.6256983,0.05586592,0.11173184,0.041899443,0.05027933,0.06703911
700,7,0.010638298,0.005319149,0.59574467,0.07180851,0.18351063,0.055851065,0.03723404,0.039893616
800,8,0.008333334,0.008333334,0.62222224,0.097222224,0.13055556,0.06111111,0.019444445,0.05277778
900,9,0.033663366,0.003960396,0.44356436,0.10891089,0.25148514,0.087128714,0.00990099,0.06138614
1000,10,0.018058691,0.0112866815,0.50564337,0.072234765,0.26636568,0.040632054,0.033860046,0.051918738
1100,11,0.006263048,0.014613778,0.4676409,0.06889353,0.19832985,0.17536534,0.03131524,0.03757829
1200,12,0.0070921984,0.0070921984,0.39716312,0.07092199,0.23404256,0.19858156,0.028368793,0.056737587
1300,13,0.0062111802,0.004140787,0.46376812,0.10766046,0.16770187,0.17805383,0.0124223605,0.06004141
1400,14,0.0072815535,0.024271844,0.5436893,0.058252428,0.25,0.03883495,0.033980582,0.04368932
1500,15,0.0034364262,0.008591065,0.38487974,0.10309278,0.31099656,0.12886597,0.0395189,0.020618556
1600,16,0.017783858,0.02872777,0.30642954,0.125855,0.28864568,0.18467852,0.012311902,0.035567716
1700,17,0.020289855,0.0057971017,0.32463768,0.120289855,0.32463768,0.16521738,0.01884058,0.020289855
1800,18,0.019354839,0.008064516,0.36129034,0.2629032,0.20645161,0.090322584,0.03548387,0.016129032
1900,19,0.0032840723,0.009852217,0.3678161,0.08866995,0.25287357,0.19376026,0.03284072,0.05090312
2000,20,0.0022172949,0.019955654,0.49667406,0.048780486,0.2682927,0.09534368,0.02660754,0.042128604
2100,21,0.012738854,0.02388535,0.3566879,0.09394904,0.28980893,0.17197452,0.00955414,0.041401275
2200,22,0.013717421,0.016460905,0.30727023,0.2578875,0.20713305,0.15089163,0.017832648,0.028806584
2300,23,0.009933775,0.013245033,0.37086093,0.147351,0.28145695,0.12251656,0.024834437,0.029801324
2400,24,0.010086455,0.024495678,0.32276657,0.07348703,0.32276657,0.15850145,0.037463978,0.050432276
2500,25,0.00466563,0.00933126,0.34836704,0.125972,0.26127526,0.19129083,0.02488336,0.03421462
2600,26,0.016830295,0.01542777,0.3141655,0.15988779,0.25946704,0.1542777,0.042075735,0.037868164
2700,27,0.0018181818,0.010909091,0.40727273,0.03818182,0.40727273,0.09090909,0.021818181,0.021818181
2800,28,0.018036073,0.024048096,0.4488978,0.06613226,0.2264529,0.11623246,0.046092186,0.054108217
2900,29,0.01660281,0.017879948,0.28607917,0.12771392,0.25925925,0.21072797,0.049808428,0.03192848
3000,30,0.030409357,0.014035088,0.22690058,0.1614035,0.2619883,0.2619883,0.024561403,0.01871345
3100,31,0.010610079,0.01724138,0.29708222,0.124668434,0.29708222,0.1750663,0.03183024,0.0464191
3200,32,0.024958402,0.016638935,0.37271214,0.07820299,0.30116472,0.14975041,0.014975041,0.041597337
3300,33,0.008583691,0.010014306,0.3204578,0.07153076,0.3204578,0.21030043,0.03862661,0.020028612
3400,34,0.012033694,0.02286402,0.26955476,0.10348977,0.26955476,0.26955476,0.036101084,0.016847173
3500,35,0.010914052,0.006821282,0.30559346,0.06548431,0.30559346,0.19918145,0.0627558,0.043656208
3600,36,0.0037406483,0.024937656,0.27930173,0.10473815,0.27930173,0.2319202,0.046134662,0.029925186
3700,37,0.024675325,0.024675325,0.29090908,0.10519481,0.29090908,0.15194805,0.051948052,0.05974026
3800,38,0.00754717,0.0163522,0.28176102,0.11069182,0.25031447,0.28176102,0.02264151,0.028930817
3900,39,0.006195787,0.035935562,0.27757126,0.07930607,0.2614622,0.27757126,0.035935562,0.026022306
4000,40,0.00802139,0.026737968,0.29946524,0.07486631,0.26604277,0.23930481,0.05748663,0.028074866
4100,41,0.026796589,0.031668697,0.272838,0.071863584,0.24725944,0.272838,0.0499391,0.026796589
4200,42,0.021765416,0.026602177,0.27085853,0.07980653,0.22249094,0.27085853,0.07013301,0.037484884
4300,43,0.011029412,0.020833334,0.27450982,0.0502451,0.27450982,0.27450982,0.066176474,0.028186275
4400,44,0.012790698,0.036046512,0.26046512,0.10232558,0.26046512,0.22790697,0.08023256,0.019767443
4500,45,0.010723861,0.044235926,0.30026808,0.17024128,0.1930295,0.1769437,0.06568365,0.038873993
