step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,3.082503080368042,-14.170533,
2,3.6006784439086914,-14.361212,
3,4.150822639465332,-13.75653,
4,4.702692747116089,-12.784706,
5,5.253479719161987,-11.03435,
6,5.804941177368164,-9.081499,
7,6.35735559463501,-6.6862335,
8,6.90938663482666,-4.0216455,
9,7.461815118789673,-1.7827969,
10,8.015627384185791,-1.2058926,
11,8.568752765655518,-1.3499792,
12,9.121729612350464,-1.6554761,
13,9.67435073852539,-1.9517099,
14,10.228145599365234,-2.122334,
15,10.782813310623169,-2.3447025,
16,11.33732295036316,-2.48604,
17,11.892203330993652,-2.6608872,
18,12.461029291152954,-2.9126923,
19,13.085025072097778,-3.158043,
20,13.64289140701294,-3.5301757,
21,14.20268440246582,-3.7582417,
22,14.763330459594727,-3.1655936,
23,15.324525833129883,-3.664432,
24,15.885410785675049,-4.1069,
25,16.48866558074951,-3.7492862,
26,17.04690670967102,-4.5445013,
27,17.603557109832764,-4.1513515,
28,18.162559747695923,-4.566185,
29,18.721089839935303,-4.298641,
30,19.279237985610962,-4.3165445,
31,19.837103843688965,-4.691899,
32,20.395894289016724,-4.1678452,
33,20.959977865219116,-4.6721215,
34,21.51461911201477,-5.1911964,
35,22.07367444038391,-5.182702,
36,22.633549690246582,-5.123333,
37,23.194525003433228,-5.0140667,
38,23.75516390800476,-5.2140884,
39,24.638009548187256,-5.165365,
40,25.660022020339966,-5.279816,
41,26.871461629867554,-5.0748506,
42,28.08574342727661,-6.0946083,
43,29.30905055999756,-5.6345387,
44,30.5266592502594,-5.2265463,
45,31.754242181777954,-5.2961903,
46,32.981990814208984,-5.5385303,
47,34.20490550994873,-5.315544,
48,35.4307746887207,-5.708708,
49,36.66088104248047,-5.241447,
50,37.890984535217285,-5.2584605,
51,39.11911940574646,-5.7103024,
52,40.35900020599365,-5.4646482,
53,41.59491157531738,-5.4417486,
54,42.83287072181702,-5.2838035,
55,44.07082462310791,-4.891432,
56,45.31026577949524,-5.1258655,
57,46.54710006713867,-5.385361,
58,47.786110401153564,-5.045683,
59,49.0284264087677,-5.567014,
60,50.26380753517151,-6.1424294,
61,51.512908697128296,-5.209409,
62,52.75208115577698,-4.9820576,
63,53.99742889404297,-5.145359,
