layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.63422585
input_transformers.layers.0.ffn.gate,1,0.36577412
input_transformers.layers.1.ffn.gate,0,0.8599956
input_transformers.layers.1.ffn.gate,1,0.14000452
input_transformers.layers.2.ffn.gate,0,0.34754488
input_transformers.layers.2.ffn.gate,1,0.65245515
input_transformers.layers.3.ffn.gate,0,0.5672278
input_transformers.layers.3.ffn.gate,1,0.43277225
input_transformers.layers.4.ffn.gate,0,0.5396641
input_transformers.layers.4.ffn.gate,1,0.46033588
input_transformers.layers.5.ffn.gate,0,0.065108955
input_transformers.layers.5.ffn.gate,1,0.93489105
input_transformers.layers.6.ffn.gate,0,0.058517154
input_transformers.layers.6.ffn.gate,1,0.94148284
input_transformers.layers.7.ffn.gate,0,0.80091834
input_transformers.layers.7.ffn.gate,1,0.19908169
input_transformers.layers.8.ffn.gate,0,0.8080177
input_transformers.layers.8.ffn.gate,1,0.1919823
input_transformers.layers.9.ffn.gate,0,0.38930905
input_transformers.layers.9.ffn.gate,1,0.61069095
input_transformers.layers.10.ffn.gate,0,0.09651036
input_transformers.layers.10.ffn.gate,1,0.90348965
input_transformers.layers.11.ffn.gate,0,0.057225935
input_transformers.layers.11.ffn.gate,1,0.9427741
