train_step,log_step_index,expert_0,expert_1
0,0,0.09985935,0.90014064
100,1,0.14209116,0.85790884
200,2,0.11234397,0.88765603
300,3,0.12687585,0.8731241
400,4,0.09219858,0.9078014
500,5,0.11357341,0.88642657
600,6,0.096045196,0.9039548
700,7,0.07913669,0.92086333
800,8,0.08571429,0.9142857
900,9,0.12806539,0.8719346
1000,10,0.08961593,0.91038406
1100,11,0.096045196,0.9039548
1200,12,0.088319086,0.91168094
1300,13,0.07514451,0.9248555
1400,14,0.077809796,0.9221902
1500,15,0.072463766,0.92753625
1600,16,0.08961593,0.91038406
1700,17,0.088319086,0.91168094
1800,18,0.08045977,0.9195402
