layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.23276816
input_transformers.layers.0.ffn.gate,1,0.039799772
input_transformers.layers.0.ffn.gate,2,0.026907563
input_transformers.layers.0.ffn.gate,3,0.0737887
input_transformers.layers.0.ffn.gate,4,0.17274359
input_transformers.layers.0.ffn.gate,5,0.0929109
input_transformers.layers.0.ffn.gate,6,0.13095143
input_transformers.layers.0.ffn.gate,7,0.2301299
input_transformers.layers.1.ffn.gate,0,0.29305077
input_transformers.layers.1.ffn.gate,1,0.04281406
input_transformers.layers.1.ffn.gate,2,0.049341034
input_transformers.layers.1.ffn.gate,3,0.14946595
input_transformers.layers.1.ffn.gate,4,0.036693737
input_transformers.layers.1.ffn.gate,5,0.21432984
input_transformers.layers.1.ffn.gate,6,0.11582941
input_transformers.layers.1.ffn.gate,7,0.0984752
input_transformers.layers.2.ffn.gate,0,0.10901068
input_transformers.layers.2.ffn.gate,1,0.09186373
input_transformers.layers.2.ffn.gate,2,0.088520944
input_transformers.layers.2.ffn.gate,3,0.2758464
input_transformers.layers.2.ffn.gate,4,0.042116344
input_transformers.layers.2.ffn.gate,5,0.038090006
input_transformers.layers.2.ffn.gate,6,0.060449336
input_transformers.layers.2.ffn.gate,7,0.29410258
input_transformers.layers.3.ffn.gate,0,0.041454997
input_transformers.layers.3.ffn.gate,1,0.02228133
input_transformers.layers.3.ffn.gate,2,0.031351775
input_transformers.layers.3.ffn.gate,3,0.20055456
input_transformers.layers.3.ffn.gate,4,0.018189104
input_transformers.layers.3.ffn.gate,5,0.08075802
input_transformers.layers.3.ffn.gate,6,0.29898843
input_transformers.layers.3.ffn.gate,7,0.30642182
input_transformers.layers.4.ffn.gate,0,0.05220294
input_transformers.layers.4.ffn.gate,1,0.010087921
input_transformers.layers.4.ffn.gate,2,0.42079172
input_transformers.layers.4.ffn.gate,3,0.057691474
input_transformers.layers.4.ffn.gate,4,0.27486062
input_transformers.layers.4.ffn.gate,5,0.11695248
input_transformers.layers.4.ffn.gate,6,0.023271317
input_transformers.layers.4.ffn.gate,7,0.044141587
input_transformers.layers.5.ffn.gate,0,0.65930045
input_transformers.layers.5.ffn.gate,1,0.022474358
input_transformers.layers.5.ffn.gate,2,0.06361016
input_transformers.layers.5.ffn.gate,3,0.069010116
input_transformers.layers.5.ffn.gate,4,0.08275793
input_transformers.layers.5.ffn.gate,5,0.05327329
input_transformers.layers.5.ffn.gate,6,0.008334798
input_transformers.layers.5.ffn.gate,7,0.04123891
input_transformers.layers.6.ffn.gate,0,0.030109838
input_transformers.layers.6.ffn.gate,1,0.020767033
input_transformers.layers.6.ffn.gate,2,0.028662493
input_transformers.layers.6.ffn.gate,3,0.024906093
input_transformers.layers.6.ffn.gate,4,0.6483063
input_transformers.layers.6.ffn.gate,5,0.01579651
input_transformers.layers.6.ffn.gate,6,0.054337356
input_transformers.layers.6.ffn.gate,7,0.17711431
input_transformers.layers.7.ffn.gate,0,0.018965816
input_transformers.layers.7.ffn.gate,1,0.06287497
input_transformers.layers.7.ffn.gate,2,0.028370101
input_transformers.layers.7.ffn.gate,3,0.01881377
input_transformers.layers.7.ffn.gate,4,0.13928175
input_transformers.layers.7.ffn.gate,5,0.07835359
input_transformers.layers.7.ffn.gate,6,0.06278745
input_transformers.layers.7.ffn.gate,7,0.59055257
input_transformers.layers.8.ffn.gate,0,0.04486931
input_transformers.layers.8.ffn.gate,1,0.012147894
input_transformers.layers.8.ffn.gate,2,0.057062708
input_transformers.layers.8.ffn.gate,3,0.5921581
input_transformers.layers.8.ffn.gate,4,0.060616575
input_transformers.layers.8.ffn.gate,5,0.035859656
input_transformers.layers.8.ffn.gate,6,0.067216955
input_transformers.layers.8.ffn.gate,7,0.13006881
input_transformers.layers.9.ffn.gate,0,0.6445961
input_transformers.layers.9.ffn.gate,1,0.15214336
input_transformers.layers.9.ffn.gate,2,0.03321935
input_transformers.layers.9.ffn.gate,3,0.023472087
input_transformers.layers.9.ffn.gate,4,0.027313655
input_transformers.layers.9.ffn.gate,5,0.018165438
input_transformers.layers.9.ffn.gate,6,0.055538937
input_transformers.layers.9.ffn.gate,7,0.04555114
input_transformers.layers.10.ffn.gate,0,0.019291067
input_transformers.layers.10.ffn.gate,1,0.10009132
input_transformers.layers.10.ffn.gate,2,0.09700698
input_transformers.layers.10.ffn.gate,3,0.07082459
input_transformers.layers.10.ffn.gate,4,0.010995388
input_transformers.layers.10.ffn.gate,5,0.029918052
input_transformers.layers.10.ffn.gate,6,0.65585196
input_transformers.layers.10.ffn.gate,7,0.016020628
input_transformers.layers.11.ffn.gate,0,0.22286451
input_transformers.layers.11.ffn.gate,1,0.03809918
input_transformers.layers.11.ffn.gate,2,0.011149605
input_transformers.layers.11.ffn.gate,3,0.25197795
input_transformers.layers.11.ffn.gate,4,0.14488092
input_transformers.layers.11.ffn.gate,5,0.014473001
input_transformers.layers.11.ffn.gate,6,0.29406366
input_transformers.layers.11.ffn.gate,7,0.022491198
