train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.006024096,0.036144577,0.15361446,0.042168673,0.003012048,0.05421687,0.67469877,0.030120483
100,1,0.037037037,0.074074075,0.11111111,0.09259259,0.037037037,0.031746034,0.5925926,0.023809524
200,2,0.014577259,0.09912536,0.10204082,0.058309037,0.014577259,0.034985423,0.6530612,0.023323616
300,3,0.02710027,0.09214092,0.10298103,0.07859079,0.024390243,0.051490515,0.60704607,0.016260162
400,4,0.011730205,0.102639295,0.10557185,0.049853373,0.0058651026,0.035190616,0.6568915,0.032258064
500,5,0.013333334,0.112,0.128,0.06666667,0.013333334,0.053333335,0.5973333,0.016
600,6,0.002967359,0.13353115,0.09792285,0.07121662,0.0,0.017804155,0.6646884,0.011869436
700,7,0.021341464,0.076219514,0.08841463,0.067073174,0.009146341,0.033536587,0.68292683,0.021341464
800,8,0.029673591,0.059347183,0.12462908,0.086053416,0.017804155,0.017804155,0.6646884,0.0
900,9,0.028571429,0.09090909,0.12727273,0.11168831,0.02077922,0.036363635,0.58181816,0.0025974025
1000,10,0.011560693,0.13294798,0.06936416,0.08381503,0.011560693,0.02601156,0.6473988,0.01734104
1100,11,0.029325513,0.11143695,0.09677419,0.06744868,0.0029325513,0.017595308,0.6568915,0.017595308
1200,12,0.030959751,0.095975235,0.08049536,0.055727553,0.009287925,0.012383901,0.69349843,0.021671826
1300,13,0.021148037,0.09969789,0.08459215,0.06344411,0.012084592,0.027190333,0.6767372,0.01510574
1400,14,0.018518519,0.13271604,0.061728396,0.06790123,0.0030864198,0.012345679,0.69135803,0.012345679
1500,15,0.003236246,0.097087376,0.074433655,0.080906145,0.003236246,0.003236246,0.7249191,0.012944984
1600,16,0.017441861,0.113372095,0.09011628,0.06104651,0.008720931,0.049418606,0.6511628,0.008720931
1700,17,0.021212121,0.096969694,0.07878788,0.08181818,0.009090909,0.018181818,0.6787879,0.015151516
1800,18,0.020771513,0.1454006,0.0652819,0.059347183,0.002967359,0.03560831,0.6646884,0.005934718
