layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.25902554
input_transformers.layers.0.ffn.gate,1,0.16641594
input_transformers.layers.0.ffn.gate,2,0.15806125
input_transformers.layers.0.ffn.gate,3,0.41649726
input_transformers.layers.1.ffn.gate,0,0.3428789
input_transformers.layers.1.ffn.gate,1,0.07694073
input_transformers.layers.1.ffn.gate,2,0.1641202
input_transformers.layers.1.ffn.gate,3,0.4160602
input_transformers.layers.2.ffn.gate,0,0.37306252
input_transformers.layers.2.ffn.gate,1,0.31796482
input_transformers.layers.2.ffn.gate,2,0.101773545
input_transformers.layers.2.ffn.gate,3,0.2071991
input_transformers.layers.3.ffn.gate,0,0.6861847
input_transformers.layers.3.ffn.gate,1,0.041334976
input_transformers.layers.3.ffn.gate,2,0.15828606
input_transformers.layers.3.ffn.gate,3,0.11419421
input_transformers.layers.4.ffn.gate,0,0.37097016
input_transformers.layers.4.ffn.gate,1,0.075106665
input_transformers.layers.4.ffn.gate,2,0.508816
input_transformers.layers.4.ffn.gate,3,0.04510713
input_transformers.layers.5.ffn.gate,0,0.10338081
input_transformers.layers.5.ffn.gate,1,0.08178305
input_transformers.layers.5.ffn.gate,2,0.78484803
input_transformers.layers.5.ffn.gate,3,0.029988086
input_transformers.layers.6.ffn.gate,0,0.35832596
input_transformers.layers.6.ffn.gate,1,0.055880737
input_transformers.layers.6.ffn.gate,2,0.14356863
input_transformers.layers.6.ffn.gate,3,0.4422247
input_transformers.layers.7.ffn.gate,0,0.09768639
input_transformers.layers.7.ffn.gate,1,0.4898521
input_transformers.layers.7.ffn.gate,2,0.051127665
input_transformers.layers.7.ffn.gate,3,0.36133376
input_transformers.layers.8.ffn.gate,0,0.05244683
input_transformers.layers.8.ffn.gate,1,0.80008924
input_transformers.layers.8.ffn.gate,2,0.062416133
input_transformers.layers.8.ffn.gate,3,0.085047886
input_transformers.layers.9.ffn.gate,0,0.027014993
input_transformers.layers.9.ffn.gate,1,0.09334094
input_transformers.layers.9.ffn.gate,2,0.8600357
input_transformers.layers.9.ffn.gate,3,0.019608356
input_transformers.layers.10.ffn.gate,0,0.4346907
input_transformers.layers.10.ffn.gate,1,0.057837557
input_transformers.layers.10.ffn.gate,2,0.45457825
input_transformers.layers.10.ffn.gate,3,0.052893512
input_transformers.layers.11.ffn.gate,0,0.78466743
input_transformers.layers.11.ffn.gate,1,0.069747515
input_transformers.layers.11.ffn.gate,2,0.09101841
input_transformers.layers.11.ffn.gate,3,0.05456662
