train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.12637363,0.023809524,0.82051283,0.02930403
100,1,0.15384616,0.051282052,0.765812,0.02905983
200,2,0.092982456,0.10350877,0.7859649,0.01754386
300,3,0.13559322,0.07118644,0.75932205,0.033898305
400,4,0.10873441,0.07308378,0.798574,0.019607844
500,5,0.119250424,0.07666099,0.7632027,0.040885862
600,6,0.08453237,0.07913669,0.8057554,0.03057554
700,7,0.06545454,0.09090909,0.81454545,0.02909091
800,8,0.07636364,0.07636364,0.81454545,0.03272727
900,9,0.12126246,0.09800664,0.74418604,0.036544852
1000,10,0.07394366,0.10915493,0.7887324,0.028169014
1100,11,0.097222224,0.098958336,0.7777778,0.026041666
1200,12,0.108474575,0.11186441,0.75932205,0.020338982
1300,13,0.13153458,0.08600337,0.7554806,0.02698145
1400,14,0.08896797,0.099644125,0.797153,0.014234875
1500,15,0.12478921,0.10623946,0.7554806,0.013490725
1600,16,0.16253869,0.12229102,0.69349843,0.021671826
1700,17,0.17665616,0.08201893,0.7066246,0.034700315
1800,18,0.11371238,0.12374582,0.74916387,0.013377926
