step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.6407723426818848,-14.170862,
2,2.165761947631836,-14.35811,
3,2.727935314178467,-13.736519,
4,3.2893595695495605,-12.751997,
5,3.850865602493286,-11.039964,
6,4.412786483764648,-9.002485,
7,4.97419810295105,-6.6425686,
8,5.536968469619751,-3.933319,
9,6.100090742111206,-1.6117213,
10,6.662653923034668,-1.1904031,
11,7.22641658782959,-1.1803551,
12,7.788978099822998,-1.4082677,
13,8.352564334869385,-1.6712422,
14,8.916507005691528,-1.6887951,
15,9.481337070465088,-2.094646,
16,10.045726776123047,-2.313351,
17,10.610495328903198,-2.10103,
18,11.175120115280151,-2.6061451,
19,11.739603757858276,-3.123025,
20,12.303253412246704,-3.0430841,
21,12.8685941696167,-3.2548878,
22,13.434450387954712,-3.4093513,
23,14.000066757202148,-3.153827,
24,14.565176725387573,-3.355545,
25,15.130837440490723,-3.2278316,
26,16.50737452507019,-3.726341,
27,17.07068967819214,-3.9589782,
28,17.637218475341797,-4.0102253,
29,18.20419716835022,-4.4045615,
30,18.77092170715332,-4.3772993,
31,19.34078550338745,-3.7270203,
32,19.909481048583984,-4.8374395,
33,20.478220224380493,-4.3543534,
34,21.046967029571533,-4.3237505,
35,21.616570472717285,-4.9328384,
36,22.185487270355225,-4.794506,
37,22.754966497421265,-4.9183207,
38,23.324331760406494,-4.98355,
39,23.894225358963013,-4.463423,
40,24.464488983154297,-5.0099726,
41,25.034961700439453,-5.001142,
42,25.605055332183838,-4.1353717,
43,26.175408124923706,-4.7197533,
44,26.744641304016113,-5.232071,
45,27.31568455696106,-4.720574,
46,27.88705015182495,-4.735043,
47,28.457103967666626,-4.770937,
48,29.027881860733032,-4.2800922,
49,29.59900164604187,-4.442284,
50,30.15237855911255,-4.16405,
51,31.488627195358276,-4.690469,
52,32.05709934234619,-4.883791,
53,32.62970328330994,-4.8292403,
54,33.2024302482605,-5.176154,
55,33.77444100379944,-4.9530587,
56,34.34649133682251,-4.086796,
57,34.91865277290344,-5.2207227,
58,35.491620779037476,-4.587033,
59,36.064255714416504,-4.422102,
60,36.63787055015564,-4.902198,
61,37.21105098724365,-4.6101656,
62,37.78364443778992,-4.6460395,
63,38.356040954589844,-4.6419973,
64,38.92962169647217,-4.1333256,
65,39.50361895561218,-4.648836,
66,40.07704186439514,-4.518832,
67,40.65078616142273,-3.7087135,
68,41.22485423088074,-3.7946572,
69,41.79862856864929,-1.6385834,
70,42.372753381729126,-2.2328146,
71,42.9460289478302,-1.6705705,
72,43.51966094970703,-1.516567,
73,44.0943877696991,-1.2866516,
74,44.66835379600525,-0.8739009,
75,45.2251935005188,-1.0516417,
76,46.681150674819946,-1.1437259,
77,47.253258228302,-0.987885,
78,47.82858443260193,-0.9810462,
79,48.403879165649414,-1.2850578,
80,48.98053288459778,-0.7395676,
81,49.555668115615845,-0.5387434,
82,50.13244271278381,-0.8855067,
83,50.70885157585144,-0.57439333,
84,51.28536415100098,-0.56706715,
85,51.8611376285553,-1.1339117,
86,52.43688988685608,-0.8777237,
87,53.015113830566406,-0.85460573,
88,53.5927414894104,-0.6021023,
89,54.17039370536804,-0.5006821,
90,54.748286962509155,-0.82132244,
91,55.32694220542908,-0.7144437,
92,55.90505361557007,-0.583691,
93,56.483588457107544,-1.0673984,
94,57.06150197982788,-0.9538819,
95,57.639981269836426,-0.60568726,
96,58.21743702888489,-0.6080673,
97,58.795910596847534,-0.94963753,
98,59.37323021888733,-0.8819223,
99,59.95140314102173,-0.7119087,
100,60.73707866668701,-0.7864611,
101,62.14481329917908,-0.9639729,
102,62.71863532066345,-1.2065696,
103,63.29638671875,-0.95834506,
104,63.8748459815979,-0.967277,
105,64.45246815681458,-0.7672361,
106,65.0309636592865,-0.6288697,
107,65.60906410217285,-0.85951984,
108,66.18753814697266,-0.80871975,
109,66.76600408554077,-0.88953185,
110,67.34476327896118,-1.1492736,
111,67.92318868637085,-0.7936982,
112,68.50196886062622,-0.91503876,
113,69.08119654655457,-0.7666793,
114,69.66059255599976,-0.61877584,
115,70.23860764503479,-0.9151401,
116,70.81751370429993,-0.98244035,
117,71.39665341377258,-0.57361656,
118,71.97465181350708,-0.7109972,
119,72.55382084846497,-0.8339553,
120,73.13164472579956,-1.0082283,
121,73.71069717407227,-0.67071813,
122,74.28904509544373,-0.7146077,
123,74.86820030212402,-0.53934026,
124,75.44769072532654,-0.62967116,
125,76.00809001922607,-0.5877625,
126,77.3521158695221,-0.8080512,
127,77.92793488502502,-0.7822181,
128,78.50718975067139,-0.6203953,
129,79.08557963371277,-0.8580034,
130,79.66564965248108,-0.6950025,
131,80.2446551322937,-0.59488297,
132,80.82365441322327,-0.61212933,
133,81.40305948257446,-0.49780515,
134,81.98245620727539,-0.5472617,
135,82.5622718334198,-0.892371,
136,83.14149141311646,-0.5340965,
137,83.72075486183167,-0.6084031,
138,84.29956459999084,-0.6625376,
139,84.87957620620728,-0.5964265,
140,85.45819211006165,-0.5784888,
141,86.03717732429504,-0.5570725,
142,86.61675810813904,-0.4714296,
143,87.19616389274597,-0.67201614,
144,87.77609610557556,-0.7905637,
145,88.35582208633423,-0.5060891,
146,88.93453669548035,-0.6015453,
147,89.51406168937683,-0.6267472,
148,90.09318447113037,-0.59171814,
149,90.6721842288971,-0.40904215,
150,91.2342324256897,-0.6289788,
151,92.6188542842865,-0.46340883,
152,93.19539880752563,-0.50723344,
153,93.77477431297302,-0.5773726,
154,94.35439920425415,-0.9616645,
155,94.93468761444092,-0.5549509,
156,95.51375102996826,-0.35000217,
157,96.09349989891052,-0.5150773,
158,96.67354226112366,-0.5949273,
159,97.25385046005249,-0.3338527,
160,97.83357429504395,-0.5961982,
161,98.41302728652954,-0.26685774,
162,98.99293661117554,-0.5162002,
163,99.57280683517456,-0.27944547,
164,100.15304398536682,-0.3340123,
165,100.73341131210327,-0.40676627,
166,101.31311273574829,-0.46884948,
167,101.89305782318115,-0.26093328,
168,102.47355794906616,-0.51692414,
169,103.05393886566162,-0.51176214,
170,103.63402056694031,-0.554251,
171,104.21346640586853,-0.43410927,
172,104.79271173477173,-0.33064437,
173,105.37248587608337,-0.56639886,
174,105.95226788520813,-0.48422253,
175,106.51462197303772,-0.26973635,
176,107.95112299919128,-0.4341541,
177,108.52784776687622,-0.38147298,
178,109.10775828361511,-0.34289545,
179,109.68768739700317,-0.3669952,
180,110.26755785942078,-0.30248752,
181,110.84713363647461,-0.4398098,
182,111.42716026306152,-0.52049863,
183,112.00720000267029,-0.22703445,
184,112.58728647232056,-0.31637532,
185,113.1674292087555,-0.3379928,
186,113.74756598472595,-0.29487705,
187,114.32724452018738,-0.5845228,
188,114.90698289871216,-0.2597959,
189,115.486492395401,-0.4226749,
190,116.06648206710815,-0.32807493,
191,116.64632391929626,-0.2582128,
192,117.22618818283081,-0.23390365,
193,117.8063051700592,-0.66821146,
194,118.38558435440063,-0.26299578,
195,118.96440601348877,-0.3279721,
196,119.54417419433594,-0.35526678,
197,120.12390804290771,-0.25653553,
198,120.70328283309937,-0.3151196,
199,121.28235530853271,-0.39679918,
200,122.05452060699463,-0.42424458,
201,123.43528032302856,-0.3751312,
202,124.01167726516724,-0.41240293,
203,124.59043979644775,-0.2696506,
204,125.16987562179565,-0.5120472,
205,125.748703956604,-0.6012653,
206,126.32782769203186,-0.31681025,
207,126.90724420547485,-0.33850318,
208,127.48715853691101,-0.28457975,
209,128.0660045146942,-0.3065886,
210,128.6449637413025,-0.34450608,
211,129.22504830360413,-0.38468418,
212,129.8052363395691,-0.4056753,
213,130.38550186157227,-0.32982868,
214,130.96513772010803,-0.22999084,
215,131.5450406074524,-0.19239765,
216,132.12494611740112,-0.30423105,
217,132.70508933067322,-0.25557542,
218,133.28488302230835,-0.42149955,
219,133.86451816558838,-0.27608922,
220,134.44354367256165,-0.39888766,
221,135.02273273468018,-0.44996747,
222,135.6021146774292,-0.38185942,
223,136.18159866333008,-0.28667903,
224,136.76142621040344,-0.25756273,
225,137.3234508037567,-0.5629324,
226,138.71109533309937,-0.36461776,
227,139.28856778144836,-0.38366157,
228,139.86873245239258,-0.27394813,
229,140.44896578788757,-0.20883536,
230,141.0283317565918,-0.5344614,
231,141.60763382911682,-0.35689953,
232,142.18712544441223,-0.29994297,
233,142.76693630218506,-0.25916392,
234,143.34752225875854,-0.1641368,
235,143.92680859565735,-0.32953012,
