layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.65506566
input_transformers.layers.0.ffn.gate,1,0.34493434
input_transformers.layers.1.ffn.gate,0,0.872019
input_transformers.layers.1.ffn.gate,1,0.12798117
input_transformers.layers.2.ffn.gate,0,0.42676008
input_transformers.layers.2.ffn.gate,1,0.5732399
input_transformers.layers.3.ffn.gate,0,0.52557826
input_transformers.layers.3.ffn.gate,1,0.47442174
input_transformers.layers.4.ffn.gate,0,0.35724795
input_transformers.layers.4.ffn.gate,1,0.64275205
input_transformers.layers.5.ffn.gate,0,0.056622084
input_transformers.layers.5.ffn.gate,1,0.94337803
input_transformers.layers.6.ffn.gate,0,0.04410528
input_transformers.layers.6.ffn.gate,1,0.9558949
input_transformers.layers.7.ffn.gate,0,0.88358617
input_transformers.layers.7.ffn.gate,1,0.11641389
input_transformers.layers.8.ffn.gate,0,0.9383546
input_transformers.layers.8.ffn.gate,1,0.061645497
input_transformers.layers.9.ffn.gate,0,0.1560617
input_transformers.layers.9.ffn.gate,1,0.84393835
input_transformers.layers.10.ffn.gate,0,0.8903424
input_transformers.layers.10.ffn.gate,1,0.10965775
input_transformers.layers.11.ffn.gate,0,0.17485969
input_transformers.layers.11.ffn.gate,1,0.82514036
