train_step,log_step_index,expert_0,expert_1
0,0,0.87431693,0.12568305
100,1,0.9039548,0.096045196
200,2,0.7960199,0.2039801
300,3,0.85106385,0.14893617
400,4,0.90909094,0.09090909
500,5,0.8988764,0.101123594
600,6,0.9039548,0.096045196
700,7,0.89385474,0.10614525
800,8,0.8988764,0.101123594
900,9,0.9142857,0.08571429
1000,10,0.9195402,0.08045977
1100,11,0.89385474,0.10614525
1200,12,0.90909094,0.09090909
1300,13,0.9039548,0.096045196
1400,14,0.89385474,0.10614525
1500,15,0.8791209,0.12087912
1600,16,0.84210527,0.15789473
1700,17,0.86021507,0.13978495
1800,18,0.84210527,0.15789473
