layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.6692023
input_transformers.layers.0.ffn.gate,1,0.3307977
input_transformers.layers.1.ffn.gate,0,0.8923374
input_transformers.layers.1.ffn.gate,1,0.107662626
input_transformers.layers.2.ffn.gate,0,0.4767681
input_transformers.layers.2.ffn.gate,1,0.5232319
input_transformers.layers.3.ffn.gate,0,0.10439507
input_transformers.layers.3.ffn.gate,1,0.89560497
input_transformers.layers.4.ffn.gate,0,0.38404605
input_transformers.layers.4.ffn.gate,1,0.6159539
input_transformers.layers.5.ffn.gate,0,0.043192912
input_transformers.layers.5.ffn.gate,1,0.9568071
input_transformers.layers.6.ffn.gate,0,0.040621124
input_transformers.layers.6.ffn.gate,1,0.959379
input_transformers.layers.7.ffn.gate,0,0.93174505
input_transformers.layers.7.ffn.gate,1,0.06825499
input_transformers.layers.8.ffn.gate,0,0.9279982
input_transformers.layers.8.ffn.gate,1,0.072001815
input_transformers.layers.9.ffn.gate,0,0.36122656
input_transformers.layers.9.ffn.gate,1,0.63877344
input_transformers.layers.10.ffn.gate,0,0.061226625
input_transformers.layers.10.ffn.gate,1,0.9387734
input_transformers.layers.11.ffn.gate,0,0.062214658
input_transformers.layers.11.ffn.gate,1,0.9377853
