train_step,log_step_index,expert_0,expert_1
0,0,0.03448276,0.9655172
100,1,0.04680851,0.9531915
200,2,0.05485232,0.9451477
300,3,0.04680851,0.9531915
400,4,0.05485232,0.9451477
500,5,0.05485232,0.9451477
600,6,0.05882353,0.9411765
700,7,0.05882353,0.9411765
800,8,0.05882353,0.9411765
900,9,0.05485232,0.9451477
1000,10,0.05485232,0.9451477
1100,11,0.05882353,0.9411765
1200,12,0.05485232,0.9451477
1300,13,0.05485232,0.9451477
1400,14,0.06276151,0.9372385
1500,15,0.06666667,0.93333334
1600,16,0.10040161,0.8995984
1700,17,0.10040161,0.8995984
1800,18,0.08571429,0.9142857
