train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.24675325,0.22077923,0.18614718,0.34632036
100,1,0.10055866,0.37988827,0.0726257,0.44692737
200,2,0.17209302,0.29767442,0.15813954,0.37209302
300,3,0.20158103,0.24505928,0.23715416,0.31620553
400,4,0.120192304,0.3846154,0.11057692,0.3846154
500,5,0.16,0.4,0.04,0.4
600,6,0.19266056,0.36697248,0.07339449,0.36697248
700,7,0.18478261,0.35326087,0.027173912,0.4347826
800,8,0.21973094,0.33632287,0.08520179,0.35874438
900,9,0.21917808,0.3652968,0.05022831,0.3652968
1000,10,0.20465116,0.37209302,0.05116279,0.37209302
1100,11,0.16425121,0.38647342,0.062801935,0.38647342
1200,12,0.1745283,0.3773585,0.070754714,0.3773585
1300,13,0.15075377,0.40201005,0.04522613,0.40201005
1400,14,0.23152709,0.39408866,0.0591133,0.31527093
1500,15,0.15228426,0.40609136,0.035532996,0.40609136
1600,16,0.16582915,0.40201005,0.030150754,0.40201005
1700,17,0.21634616,0.3846154,0.014423077,0.3846154
1800,18,0.1442786,0.39800996,0.05970149,0.39800996
