train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.41666666,0.03508772,0.49122807,0.057017542
100,1,0.2173913,0.03726708,0.6956522,0.049689442
200,2,0.4347826,0.034782607,0.4869565,0.04347826
300,3,0.5989305,0.04278075,0.29411766,0.06417112
400,4,0.3875598,0.03827751,0.53588516,0.03827751
500,5,0.24096386,0.030120483,0.67469877,0.05421687
600,6,0.023076924,0.053846154,0.86153847,0.06153846
700,7,0.007751938,0.054263566,0.86821705,0.069767445
800,8,0.015503876,0.046511628,0.86821705,0.069767445
900,9,0.05263158,0.037593983,0.84210527,0.067669176
1000,10,0.007874016,0.031496063,0.88188976,0.07874016
1100,11,0.007874016,0.05511811,0.88188976,0.05511811
1200,12,0.007874016,0.03937008,0.88188976,0.070866145
1300,13,0.007874016,0.05511811,0.88188976,0.05511811
1400,14,0.023255814,0.046511628,0.86821705,0.062015504
1500,15,0.0234375,0.0390625,0.875,0.0625
1600,16,0.007936508,0.03968254,0.8888889,0.06349207
1700,17,0.0078125,0.046875,0.875,0.0703125
1800,18,0.015625,0.0390625,0.875,0.0703125
