train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.012820513,0.03846154,0.115384616,0.03846154,0.0,0.07692308,0.71794873,0.0
100,1,0.013333334,0.026666667,0.04,0.053333335,0.026666667,0.053333335,0.74666667,0.04
200,2,0.012345679,0.09876543,0.012345679,0.037037037,0.049382716,0.074074075,0.69135803,0.024691358
300,3,0.03797468,0.101265825,0.0,0.03797468,0.03797468,0.050632913,0.70886075,0.025316456
400,4,0.026666667,0.013333334,0.08,0.08,0.0,0.04,0.74666667,0.013333334
500,5,0.013157895,0.02631579,0.065789476,0.065789476,0.013157895,0.065789476,0.7368421,0.013157895
600,6,0.02631579,0.05263158,0.065789476,0.078947365,0.0,0.039473683,0.7368421,0.0
700,7,0.0,0.053333335,0.053333335,0.06666667,0.013333334,0.053333335,0.74666667,0.013333334
800,8,0.0,0.04,0.08,0.08,0.0,0.053333335,0.74666667,0.0
900,9,0.039473683,0.013157895,0.078947365,0.065789476,0.013157895,0.039473683,0.7368421,0.013157895
1000,10,0.013333334,0.04,0.04,0.053333335,0.026666667,0.06666667,0.74666667,0.013333334
1100,11,0.013157895,0.078947365,0.013157895,0.10526316,0.013157895,0.039473683,0.7368421,0.0
1200,12,0.0,0.053333335,0.026666667,0.06666667,0.053333335,0.053333335,0.74666667,0.0
1300,13,0.0,0.078947365,0.039473683,0.05263158,0.02631579,0.065789476,0.7368421,0.0
1400,14,0.02631579,0.05263158,0.039473683,0.078947365,0.02631579,0.039473683,0.7368421,0.0
1500,15,0.013157895,0.065789476,0.05263158,0.065789476,0.013157895,0.05263158,0.7368421,0.0
1600,16,0.027027028,0.04054054,0.027027028,0.067567565,0.027027028,0.04054054,0.7567568,0.013513514
1700,17,0.02631579,0.039473683,0.078947365,0.065789476,0.0,0.05263158,0.7368421,0.0
1800,18,0.0,0.053333335,0.053333335,0.06666667,0.013333334,0.06666667,0.74666667,0.0
