step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,1.9074528217315674,-14.297922,
2,3.117716073989868,-14.176753,
3,4.374121904373169,-13.970127,
4,5.630799055099487,-12.783144,
5,6.8887083530426025,-11.18689,
6,8.145910739898682,-9.132765,
7,9.407779455184937,-6.765197,
8,10.66735577583313,-4.585544,
9,11.927305698394775,-1.8582122,
10,13.190369367599487,-1.1528547,
11,14.4490647315979,-1.1960819,
12,15.712353229522705,-1.2235487,
13,16.954756021499634,-1.8551795,
14,18.21502947807312,-2.1096663,
15,19.47509241104126,-2.0248106,
16,20.724266052246094,-1.9240243,
17,21.976564407348633,-2.0211,
18,23.228009700775146,-2.7552776,
19,24.478626489639282,-2.6036716,
20,25.729790210723877,-3.1970108,
21,26.981239318847656,-2.988068,
22,28.233335494995117,-3.079923,
23,29.485111236572266,-3.0907514,
24,30.738381147384644,-2.9895897,
25,31.988386154174805,-3.4109063,
26,33.241878509521484,-4.1700807,
27,34.49367022514343,-2.8923645,
28,35.746360301971436,-3.543742,
29,37.00143527984619,-3.3340485,
30,38.25409507751465,-3.9981713,
31,39.50553894042969,-3.8949869,
32,40.760021924972534,-4.8434596,
33,42.01201868057251,-2.9323435,
34,43.26709222793579,-3.9318724,
35,44.518534421920776,-4.6898327,
36,45.776063680648804,-4.3000364,
37,47.02870559692383,-4.872512,
38,48.28254985809326,-4.801861,
39,49.536909103393555,-3.9497125,
40,50.78981614112854,-6.2312794,
41,52.04499888420105,-5.8535175,
42,53.29996871948242,-4.2085743,
43,54.55461096763611,-4.4430165,
44,55.82670712471008,-5.086182,
45,57.07984733581543,-4.2164545,
46,58.33627796173096,-4.797357,
47,59.590044260025024,-4.4828715,
48,60.84850096702576,-5.1675115,
49,62.102859020233154,-4.0457973,
50,63.04772424697876,-4.82802,
51,64.63683533668518,-5.310536,
52,65.89239931106567,-4.7493315,
53,67.15059304237366,-5.2624435,
54,68.40363645553589,-4.5106287,
55,69.6612823009491,-4.5028253,
56,70.91611552238464,-4.82446,
57,72.17257809638977,-5.632438,
58,73.42950630187988,-3.9986656,
59,74.68279147148132,-4.88947,
60,75.94296050071716,-4.5786505,
61,77.18117237091064,-4.6593933,
62,78.43668127059937,-4.0583963,
63,79.69220018386841,-5.2445116,
64,80.94948625564575,-5.3994784,
65,82.20448684692383,-4.56809,
66,83.46089792251587,-3.9286835,
67,84.71599316596985,-3.8551564,
68,85.97455906867981,-4.9104886,
69,87.23006439208984,-4.416059,
70,88.48547720909119,-5.089924,
71,89.74115133285522,-4.5465493,
72,90.99738478660583,-4.5300255,
73,92.2542085647583,-4.387137,
74,93.50864052772522,-4.133058,
75,94.76808571815491,-4.604643,
76,96.04076170921326,-5.497234,
77,97.27924823760986,-3.7103362,
78,98.53558206558228,-4.4361463,
79,99.78915429115295,-4.0827975,
80,101.0446367263794,-4.807058,
81,102.30250310897827,-4.570431,
82,103.5559070110321,-5.5605717,
83,104.81173658370972,-3.2948587,
84,106.06938529014587,-4.312446,
85,107.32475638389587,-5.0193276,
86,108.5805151462555,-4.49642,
87,109.8403091430664,-4.9998226,
88,111.09876823425293,-4.8605013,
89,112.35451769828796,-3.9603128,
90,113.60998940467834,-6.1798058,
91,114.86467504501343,-5.7348304,
92,116.12168526649475,-4.069432,
93,117.37843823432922,-4.2577705,
94,118.63219904899597,-4.849415,
95,119.88870644569397,-4.01737,
96,121.14450263977051,-4.5883703,
97,122.40050959587097,-4.289411,
98,123.65486121177673,-4.9479885,
99,124.9120774269104,-3.8588824,
100,125.87663292884827,-4.5985546,
101,127.42402911186218,-5.0534,
102,128.67686581611633,-4.538864,
103,129.93327045440674,-5.0598555,
104,131.19137692451477,-4.367964,
105,132.44907975196838,-4.367877,
106,133.70698356628418,-4.688092,
107,134.96448731422424,-5.5162168,
108,136.22287607192993,-3.9309025,
109,137.48106789588928,-4.8138943,
110,138.73958706855774,-4.533502,
111,139.9957377910614,-4.6538534,
112,141.25227880477905,-4.0847087,
113,142.5093924999237,-5.3059034,
114,143.76809096336365,-5.489401,
115,145.02525115013123,-4.61145,
116,146.28362655639648,-3.9485538,
117,147.54132604599,-3.8776302,
118,148.7991669178009,-4.94221,
119,150.05574083328247,-4.4388604,
120,151.31250381469727,-5.064787,
121,152.57006406784058,-4.48596,
122,153.82548570632935,-4.4696217,
123,155.08357954025269,-4.3643823,
124,156.3444309234619,-4.126926,
125,157.60074663162231,-4.5663195,
126,158.8594675064087,-5.397283,
127,160.11709308624268,-3.597357,
128,161.37530207633972,-4.284919,
129,162.63212823867798,-3.977081,
130,163.8881413936615,-4.705148,
131,165.14457273483276,-4.4499745,
132,166.40158367156982,-5.368197,
133,167.65962290763855,-3.1200638,
134,168.91648530960083,-4.051517,
135,170.1750946044922,-4.8476276,
136,171.43235564231873,-4.294149,
137,172.69066715240479,-4.6269975,
138,173.9490146636963,-4.3671565,
