train_step,log_step_index,expert_0,expert_1
0,0,1.0,0.0
100,1,0.91803277,0.08196721
200,2,0.9032258,0.09677419
300,3,0.859375,0.140625
400,4,0.9142857,0.08571429
500,5,0.91803277,0.08196721
600,6,0.9142857,0.08571429
700,7,0.91803277,0.08196721
800,8,0.88188976,0.11811024
900,9,0.91803277,0.08196721
1000,10,0.91803277,0.08196721
1100,11,0.91803277,0.08196721
1200,12,0.9142857,0.08571429
1300,13,0.91803277,0.08196721
1400,14,0.91803277,0.08196721
1500,15,0.91803277,0.08196721
1600,16,0.91803277,0.08196721
1700,17,0.91803277,0.08196721
1800,18,0.91803277,0.08196721
