layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.5721628
input_transformers.layers.0.ffn.gate,1,0.42783716
input_transformers.layers.1.ffn.gate,0,0.8774168
input_transformers.layers.1.ffn.gate,1,0.12258319
input_transformers.layers.2.ffn.gate,0,0.065775655
input_transformers.layers.2.ffn.gate,1,0.9342242
input_transformers.layers.3.ffn.gate,0,0.6276308
input_transformers.layers.3.ffn.gate,1,0.3723692
input_transformers.layers.4.ffn.gate,0,0.67932403
input_transformers.layers.4.ffn.gate,1,0.32067594
input_transformers.layers.5.ffn.gate,0,0.075004525
input_transformers.layers.5.ffn.gate,1,0.9249953
input_transformers.layers.6.ffn.gate,0,0.023048276
input_transformers.layers.6.ffn.gate,1,0.9769518
input_transformers.layers.7.ffn.gate,0,0.8429243
input_transformers.layers.7.ffn.gate,1,0.15707569
input_transformers.layers.8.ffn.gate,0,0.59595394
input_transformers.layers.8.ffn.gate,1,0.4040461
input_transformers.layers.9.ffn.gate,0,0.39733064
input_transformers.layers.9.ffn.gate,1,0.6026693
input_transformers.layers.10.ffn.gate,0,0.042044505
input_transformers.layers.10.ffn.gate,1,0.95795554
input_transformers.layers.11.ffn.gate,0,0.034315813
input_transformers.layers.11.ffn.gate,1,0.9656843
