train_step,log_step_index,expert_0,expert_1
0,0,0.46875,0.53125
100,1,0.51953125,0.48046875
200,2,0.57421875,0.42578125
300,3,0.4609375,0.5390625
400,4,0.484375,0.515625
500,5,0.59375,0.40625
600,6,0.66015625,0.33984375
700,7,0.6015625,0.3984375
800,8,0.5234375,0.4765625
900,9,0.578125,0.421875
1000,10,0.578125,0.421875
1100,11,0.58984375,0.41015625
1200,12,0.51171875,0.48828125
1300,13,0.62109375,0.37890625
1400,14,0.63671875,0.36328125
1500,15,0.6328125,0.3671875
1600,16,0.59765625,0.40234375
1700,17,0.63671875,0.36328125
1800,18,0.6015625,0.3984375
