layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.23170596
input_transformers.layers.0.ffn.gate,1,0.21570866
input_transformers.layers.0.ffn.gate,2,0.15312251
input_transformers.layers.0.ffn.gate,3,0.39946285
input_transformers.layers.1.ffn.gate,0,0.35011873
input_transformers.layers.1.ffn.gate,1,0.08282126
input_transformers.layers.1.ffn.gate,2,0.19348387
input_transformers.layers.1.ffn.gate,3,0.3735761
input_transformers.layers.2.ffn.gate,0,0.2280696
input_transformers.layers.2.ffn.gate,1,0.29131976
input_transformers.layers.2.ffn.gate,2,0.14040142
input_transformers.layers.2.ffn.gate,3,0.34020925
input_transformers.layers.3.ffn.gate,0,0.7599282
input_transformers.layers.3.ffn.gate,1,0.012306263
input_transformers.layers.3.ffn.gate,2,0.13508864
input_transformers.layers.3.ffn.gate,3,0.092676826
input_transformers.layers.4.ffn.gate,0,0.18329863
input_transformers.layers.4.ffn.gate,1,0.06996004
input_transformers.layers.4.ffn.gate,2,0.682413
input_transformers.layers.4.ffn.gate,3,0.0643283
input_transformers.layers.5.ffn.gate,0,0.05764654
input_transformers.layers.5.ffn.gate,1,0.065189414
input_transformers.layers.5.ffn.gate,2,0.8658842
input_transformers.layers.5.ffn.gate,3,0.011279919
input_transformers.layers.6.ffn.gate,0,0.4468059
input_transformers.layers.6.ffn.gate,1,0.04941964
input_transformers.layers.6.ffn.gate,2,0.47048408
input_transformers.layers.6.ffn.gate,3,0.033290368
input_transformers.layers.7.ffn.gate,0,0.05634794
input_transformers.layers.7.ffn.gate,1,0.047805626
input_transformers.layers.7.ffn.gate,2,0.37212163
input_transformers.layers.7.ffn.gate,3,0.5237248
input_transformers.layers.8.ffn.gate,0,0.026799243
input_transformers.layers.8.ffn.gate,1,0.69001156
input_transformers.layers.8.ffn.gate,2,0.04586002
input_transformers.layers.8.ffn.gate,3,0.23732916
input_transformers.layers.9.ffn.gate,0,0.25686935
input_transformers.layers.9.ffn.gate,1,0.0504372
input_transformers.layers.9.ffn.gate,2,0.66550773
input_transformers.layers.9.ffn.gate,3,0.027185738
input_transformers.layers.10.ffn.gate,0,0.4312389
input_transformers.layers.10.ffn.gate,1,0.046732236
input_transformers.layers.10.ffn.gate,2,0.46255565
input_transformers.layers.10.ffn.gate,3,0.05947325
input_transformers.layers.11.ffn.gate,0,0.72663534
input_transformers.layers.11.ffn.gate,1,0.036393095
input_transformers.layers.11.ffn.gate,2,0.21346763
input_transformers.layers.11.ffn.gate,3,0.02350396
