train_step,log_step_index,expert_0,expert_1,expert_2,expert_3
0,0,0.5,0.5,0.0,0.0
100,1,0.5989305,0.0053475937,0.315508,0.080213904
200,2,0.22560975,0.036585364,0.68292683,0.05487805
300,3,0.45714286,0.028571429,0.45714286,0.057142857
400,4,0.4618644,0.016949153,0.47457626,0.04661017
500,5,0.5308057,0.023696683,0.39336494,0.0521327
600,6,0.4827586,0.030172413,0.43534482,0.05172414
700,7,0.53333336,0.023809524,0.3904762,0.052380953
800,8,0.7225807,0.032258064,0.17419355,0.07096774
900,9,0.5283019,0.018867925,0.3962264,0.056603774
1000,10,0.44680852,0.017021276,0.47659576,0.05957447
1100,11,0.34343433,0.02020202,0.56565654,0.07070707
1200,12,0.21818182,0.024242423,0.6787879,0.07878788
1300,13,0.31746033,0.02116402,0.5925926,0.06878307
1400,14,0.30851063,0.026595745,0.59574467,0.069148935
1500,15,0.40366971,0.018348623,0.51376146,0.06422018
1600,16,0.34183672,0.015306123,0.5714286,0.071428575
1700,17,0.4155251,0.01369863,0.51141554,0.05936073
1800,18,0.35678393,0.015075377,0.56281406,0.06532663
