train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
100,1,0.027777778,0.018518519,0.018518519,0.06481481,0.3148148,0.0,0.5185185,0.037037037
200,2,0.060150377,0.007518797,0.02255639,0.05263158,0.42105263,0.0,0.42105263,0.015037594
300,3,0.027777778,0.0625,0.027777778,0.055555556,0.3888889,0.0069444445,0.3888889,0.041666668
400,4,0.044444446,0.044444446,0.033333335,0.044444446,0.62222224,0.0,0.17777778,0.033333335
500,5,0.04494382,0.056179777,0.011235955,0.033707865,0.6292135,0.011235955,0.13483146,0.07865169
600,6,0.03846154,0.012820513,0.03846154,0.06410257,0.71794873,0.025641026,0.025641026,0.07692308
700,7,0.065789476,0.039473683,0.02631579,0.078947365,0.7368421,0.0,0.0,0.05263158
800,8,0.013157895,0.05263158,0.013157895,0.09210526,0.7368421,0.013157895,0.02631579,0.05263158
900,9,0.05263158,0.02631579,0.013157895,0.065789476,0.7368421,0.0,0.039473683,0.065789476
1000,10,0.025974026,0.025974026,0.051948052,0.051948052,0.72727275,0.0,0.038961038,0.077922076
1100,11,0.065789476,0.02631579,0.013157895,0.05263158,0.7368421,0.0,0.05263158,0.05263158
1200,12,0.06097561,0.0121951215,0.024390243,0.048780486,0.68292683,0.0,0.1097561,0.06097561
1300,13,0.051282052,0.025641026,0.051282052,0.03846154,0.71794873,0.012820513,0.051282052,0.051282052
1400,14,0.048780486,0.0121951215,0.06097561,0.07317073,0.68292683,0.0121951215,0.048780486,0.06097561
1500,15,0.03846154,0.025641026,0.025641026,0.08974359,0.71794873,0.012820513,0.051282052,0.03846154
1600,16,0.071428575,0.011904762,0.023809524,0.083333336,0.6666667,0.011904762,0.0952381,0.035714287
1700,17,0.05263158,0.0,0.02631579,0.09210526,0.7368421,0.0,0.02631579,0.065789476
1800,18,0.060240965,0.024096385,0.036144577,0.04819277,0.67469877,0.0,0.12048193,0.036144577
