layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.21407105
input_transformers.layers.0.ffn.gate,1,0.044837184
input_transformers.layers.0.ffn.gate,2,0.02595726
input_transformers.layers.0.ffn.gate,3,0.10539928
input_transformers.layers.0.ffn.gate,4,0.1271199
input_transformers.layers.0.ffn.gate,5,0.11673596
input_transformers.layers.0.ffn.gate,6,0.14548625
input_transformers.layers.0.ffn.gate,7,0.22039314
input_transformers.layers.1.ffn.gate,0,0.30910242
input_transformers.layers.1.ffn.gate,1,0.04075544
input_transformers.layers.1.ffn.gate,2,0.03227513
input_transformers.layers.1.ffn.gate,3,0.292186
input_transformers.layers.1.ffn.gate,4,0.042711537
input_transformers.layers.1.ffn.gate,5,0.16523588
input_transformers.layers.1.ffn.gate,6,0.065921284
input_transformers.layers.1.ffn.gate,7,0.051812362
input_transformers.layers.2.ffn.gate,0,0.18490398
input_transformers.layers.2.ffn.gate,1,0.17569624
input_transformers.layers.2.ffn.gate,2,0.042617504
input_transformers.layers.2.ffn.gate,3,0.13544579
input_transformers.layers.2.ffn.gate,4,0.035626505
input_transformers.layers.2.ffn.gate,5,0.051440638
input_transformers.layers.2.ffn.gate,6,0.06234193
input_transformers.layers.2.ffn.gate,7,0.31192744
input_transformers.layers.3.ffn.gate,0,0.056548677
input_transformers.layers.3.ffn.gate,1,0.0142936595
input_transformers.layers.3.ffn.gate,2,0.03627939
input_transformers.layers.3.ffn.gate,3,0.13757469
input_transformers.layers.3.ffn.gate,4,0.03391473
input_transformers.layers.3.ffn.gate,5,0.056530558
input_transformers.layers.3.ffn.gate,6,0.34407586
input_transformers.layers.3.ffn.gate,7,0.32078242
input_transformers.layers.4.ffn.gate,0,0.18105957
input_transformers.layers.4.ffn.gate,1,0.012664191
input_transformers.layers.4.ffn.gate,2,0.2496103
input_transformers.layers.4.ffn.gate,3,0.023749389
input_transformers.layers.4.ffn.gate,4,0.20624517
input_transformers.layers.4.ffn.gate,5,0.2868019
input_transformers.layers.4.ffn.gate,6,0.019647392
input_transformers.layers.4.ffn.gate,7,0.020222062
input_transformers.layers.5.ffn.gate,0,0.59316766
input_transformers.layers.5.ffn.gate,1,0.0128443325
input_transformers.layers.5.ffn.gate,2,0.024318403
input_transformers.layers.5.ffn.gate,3,0.05214405
input_transformers.layers.5.ffn.gate,4,0.058154445
input_transformers.layers.5.ffn.gate,5,0.09150404
input_transformers.layers.5.ffn.gate,6,0.06286373
input_transformers.layers.5.ffn.gate,7,0.10500342
input_transformers.layers.6.ffn.gate,0,0.034940552
input_transformers.layers.6.ffn.gate,1,0.031262875
input_transformers.layers.6.ffn.gate,2,0.009844749
input_transformers.layers.6.ffn.gate,3,0.049460243
input_transformers.layers.6.ffn.gate,4,0.4729843
input_transformers.layers.6.ffn.gate,5,0.0075894743
input_transformers.layers.6.ffn.gate,6,0.32973608
input_transformers.layers.6.ffn.gate,7,0.06418179
input_transformers.layers.7.ffn.gate,0,0.032201663
input_transformers.layers.7.ffn.gate,1,0.037216708
input_transformers.layers.7.ffn.gate,2,0.040093742
input_transformers.layers.7.ffn.gate,3,0.0586915
input_transformers.layers.7.ffn.gate,4,0.0104621705
input_transformers.layers.7.ffn.gate,5,0.07602461
input_transformers.layers.7.ffn.gate,6,0.055579763
input_transformers.layers.7.ffn.gate,7,0.6897299
input_transformers.layers.8.ffn.gate,0,0.058802593
input_transformers.layers.8.ffn.gate,1,0.0020867959
input_transformers.layers.8.ffn.gate,2,0.05501631
input_transformers.layers.8.ffn.gate,3,0.67169744
input_transformers.layers.8.ffn.gate,4,0.029893273
input_transformers.layers.8.ffn.gate,5,0.02351777
input_transformers.layers.8.ffn.gate,6,0.05617732
input_transformers.layers.8.ffn.gate,7,0.10280855
input_transformers.layers.9.ffn.gate,0,0.31158024
input_transformers.layers.9.ffn.gate,1,0.57041955
input_transformers.layers.9.ffn.gate,2,0.024996223
input_transformers.layers.9.ffn.gate,3,0.023814714
input_transformers.layers.9.ffn.gate,4,0.01619863
input_transformers.layers.9.ffn.gate,5,0.01489785
input_transformers.layers.9.ffn.gate,6,0.010852785
input_transformers.layers.9.ffn.gate,7,0.027240042
input_transformers.layers.10.ffn.gate,0,0.0019634105
input_transformers.layers.10.ffn.gate,1,0.032131772
input_transformers.layers.10.ffn.gate,2,0.09379719
input_transformers.layers.10.ffn.gate,3,0.04887198
input_transformers.layers.10.ffn.gate,4,0.027316883
input_transformers.layers.10.ffn.gate,5,0.05094849
input_transformers.layers.10.ffn.gate,6,0.7113309
input_transformers.layers.10.ffn.gate,7,0.033639405
input_transformers.layers.11.ffn.gate,0,0.14049798
input_transformers.layers.11.ffn.gate,1,0.065835096
input_transformers.layers.11.ffn.gate,2,0.005882965
input_transformers.layers.11.ffn.gate,3,0.013815635
input_transformers.layers.11.ffn.gate,4,0.09434967
input_transformers.layers.11.ffn.gate,5,0.15227573
input_transformers.layers.11.ffn.gate,6,0.5150391
input_transformers.layers.11.ffn.gate,7,0.012303805
