train_step,log_step_index,expert_0,expert_1,expert_2,expert_3,expert_4,expert_5,expert_6,expert_7
0,0,0.11061947,0.16814159,0.07079646,0.06637168,0.21238938,0.07522124,0.24778761,0.048672568
100,1,0.13586956,0.18478261,0.038043477,0.2228261,0.010869565,0.04347826,0.05978261,0.3043478
200,2,0.18604651,0.11162791,0.10232558,0.069767445,0.069767445,0.08372093,0.11627907,0.26046512
300,3,0.1694215,0.09504132,0.09917355,0.10743801,0.07024793,0.03305785,0.19421488,0.23140496
400,4,0.19704433,0.1724138,0.03448276,0.08866995,0.06403941,0.06896552,0.098522164,0.27586207
500,5,0.251497,0.16167665,0.011976048,0.1257485,0.005988024,0.07185629,0.035928145,0.33532935
600,6,0.20930232,0.16860466,0.040697675,0.13953489,0.023255814,0.05232558,0.040697675,0.3255814
700,7,0.13178295,0.18604651,0.015503876,0.13178295,0.007751938,0.08527132,0.007751938,0.43410853
800,8,0.18137255,0.12745099,0.05882353,0.16176471,0.034313727,0.04901961,0.1127451,0.27450982
900,9,0.1971831,0.23943663,0.014084507,0.11971831,0.0,0.02112676,0.014084507,0.3943662
1000,10,0.1904762,0.17857143,0.035714287,0.14880952,0.035714287,0.041666668,0.035714287,0.33333334
1100,11,0.23,0.205,0.055,0.105,0.02,0.035,0.07,0.28
1200,12,0.19298245,0.16959064,0.040935673,0.18128654,0.0,0.064327486,0.023391813,0.32748538
1300,13,0.19428572,0.18857142,0.034285713,0.14857143,0.028571429,0.057142857,0.028571429,0.32
1400,14,0.22222222,0.1754386,0.03508772,0.10526316,0.03508772,0.058479533,0.040935673,0.32748538
1500,15,0.17283951,0.2654321,0.037037037,0.13580246,0.0061728396,0.018518519,0.018518519,0.34567901
1600,16,0.17218544,0.17880794,0.03311258,0.17880794,0.013245033,0.0397351,0.013245033,0.37086093
1700,17,0.17449665,0.17449665,0.026845638,0.18791947,0.020134227,0.026845638,0.013422819,0.37583894
1800,18,0.19354838,0.18709677,0.025806451,0.14838709,0.019354839,0.051612902,0.012903226,0.36129034
