layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.5676398
input_transformers.layers.0.ffn.gate,1,0.4323602
input_transformers.layers.1.ffn.gate,0,0.88826066
input_transformers.layers.1.ffn.gate,1,0.11173931
input_transformers.layers.2.ffn.gate,0,0.10988898
input_transformers.layers.2.ffn.gate,1,0.890111
input_transformers.layers.3.ffn.gate,0,0.36009458
input_transformers.layers.3.ffn.gate,1,0.63990545
input_transformers.layers.4.ffn.gate,0,0.7028166
input_transformers.layers.4.ffn.gate,1,0.2971834
input_transformers.layers.5.ffn.gate,0,0.049444903
input_transformers.layers.5.ffn.gate,1,0.9505551
input_transformers.layers.6.ffn.gate,0,0.019377057
input_transformers.layers.6.ffn.gate,1,0.98062295
input_transformers.layers.7.ffn.gate,0,0.9443873
input_transformers.layers.7.ffn.gate,1,0.055612665
input_transformers.layers.8.ffn.gate,0,0.67865956
input_transformers.layers.8.ffn.gate,1,0.32134047
input_transformers.layers.9.ffn.gate,0,0.15815173
input_transformers.layers.9.ffn.gate,1,0.84184825
input_transformers.layers.10.ffn.gate,0,0.06676604
input_transformers.layers.10.ffn.gate,1,0.933234
input_transformers.layers.11.ffn.gate,0,0.048005756
input_transformers.layers.11.ffn.gate,1,0.95199424
