train_step,log_step_index,expert_0,expert_1
0,0,0.9345703,0.06542969
100,1,0.9423828,0.057617188
200,2,0.9433594,0.056640625
300,3,0.94140625,0.05859375
400,4,0.94921875,0.05078125
500,5,0.9472656,0.052734375
600,6,0.9609375,0.0390625
700,7,0.9482422,0.051757812
800,8,0.9433594,0.056640625
900,9,0.94140625,0.05859375
1000,10,0.94433594,0.055664062
1100,11,0.93847656,0.061523438
1200,12,0.9326172,0.06738281
1300,13,0.95703125,0.04296875
1400,14,0.94140625,0.05859375
1500,15,0.94140625,0.05859375
1600,16,0.94140625,0.05859375
1700,17,0.94140625,0.05859375
1800,18,0.953125,0.046875
