step,time_sec,train_neg_log_ppl,val_neg_log_ppl
1,2.832843780517578,-14.157318,
2,3.6553280353546143,-14.346892,
3,4.462753772735596,-13.737006,
4,5.266250848770142,-12.745758,
5,6.086271286010742,-11.023265,
6,6.898698806762695,-9.043903,
7,7.413228750228882,-6.480165,
8,9.019695281982422,-4.0931263,
9,9.830509901046753,-1.6953654,
10,10.646422147750854,-1.1056292,
11,11.460055112838745,-1.260241,
12,12.293741703033447,-1.4223974,
13,13.106183052062988,-1.7599001,
14,13.593837261199951,-1.7834578,
15,15.18613314628601,-2.0239682,
16,16.017359972000122,-2.3216429,
17,16.832674026489258,-2.448206,
18,17.64552068710327,-2.8040087,
19,18.458542346954346,-2.8585234,
20,19.294548988342285,-3.2471027,
21,19.78120517730713,-2.9927347,
22,21.34781789779663,-3.169887,
23,22.18283462524414,-3.4401283,
24,22.995622158050537,-3.450251,
25,23.804224491119385,-3.790399,
26,24.93757653236389,-3.7642083,
27,25.747539281845093,-4.176977,
28,26.23508310317993,-3.7685795,
29,27.763989686965942,-3.9491286,
30,28.59427285194397,-4.2446623,
31,29.406075716018677,-4.221199,
32,30.21953058242798,-4.6039658,
33,31.032432556152344,-4.541567,
34,31.859172344207764,-5.0002327,
35,32.35393691062927,-4.4897184,
36,33.9855854511261,-4.6769285,
37,34.81817555427551,-4.992067,
38,35.631052017211914,-4.9118137,
39,36.44018268585205,-5.276181,
40,37.246198654174805,-5.104781,
41,38.05694890022278,-5.484029,
42,38.56912612915039,-4.7880054,
43,40.1220269203186,-4.8357162,
44,40.93570590019226,-5.0078654,
45,41.77291417121887,-4.7822175,
46,42.58552360534668,-5.0051966,
47,43.39681005477905,-4.734898,
48,44.210771799087524,-5.0537014,
49,44.696245193481445,-4.457949,
50,46.26969337463379,-4.577496,
51,47.05136251449585,-4.831874,
52,48.21668791770935,-4.7081914,
53,49.02625250816345,-5.043808,
54,49.84100699424744,-4.867564,
55,50.655224561691284,-5.2451215,
56,51.143993854522705,-4.624986,
57,52.72175097465515,-4.7244444,
58,53.52760601043701,-4.938283,
59,54.33317589759827,-4.755126,
60,55.16946816444397,-5.028514,
61,55.982402324676514,-4.7874365,
62,56.796271324157715,-5.107552,
63,57.28318953514099,-4.489244,
64,58.87787342071533,-4.57517,
65,59.689818382263184,-4.770771,
66,60.50217580795288,-4.6206064,
67,61.31523871421814,-4.9318113,
68,62.151806116104126,-4.662526,
69,62.96519732475281,-5.002331,
70,63.455411195755005,-4.0475535,
71,64.92557740211487,-3.7143993,
72,65.75115847587585,-0.90791893,
73,66.56118512153625,-0.98202616,
74,67.37696695327759,-1.6001678,
75,68.18867826461792,-1.3025825,
76,68.98281693458557,-0.9682512,
77,69.37504696846008,-0.8004268,
78,71.0637378692627,-0.8438947,
79,72.37285113334656,-1.1082244,
80,73.17029023170471,-0.98673815,
81,73.9780752658844,-0.97519755,
82,74.78037142753601,-0.7157241,
83,75.58418273925781,-0.6063428,
84,76.10385084152222,-0.6620704,
85,77.63889217376709,-0.66216314,
86,78.4460859298706,-0.5583608,
87,79.2823178768158,-0.5508336,
88,80.09580779075623,-0.6218548,
89,80.90990734100342,-0.71225744,
90,81.72616410255432,-0.717543,
91,82.21333861351013,-0.7664064,
92,83.81938624382019,-0.6215806,
93,84.63249683380127,-0.66154885,
94,85.44584608078003,-0.68424267,
95,86.2817485332489,-0.7421206,
96,87.09433364868164,-0.83414066,
97,87.90761184692383,-0.83498704,
98,88.40097570419312,-0.69993186,
99,90.00961947441101,-0.67688787,
100,91.35912346839905,-0.7888411,
101,92.1756386756897,-0.7763847,
102,92.96638894081116,-0.6345081,
103,94.1424331665039,-0.8485232,
104,94.95262408256531,-0.56056,
105,95.4564254283905,-0.58824265,
106,97.16119146347046,-0.5305264,
107,97.9723253250122,-0.57766557,
108,98.78275179862976,-0.649475,
109,99.59317874908447,-0.73124397,
110,100.39745950698853,-0.6842059,
111,101.22535991668701,-0.5618089,
112,101.71858644485474,-0.58648,
113,103.35167050361633,-0.5160189,
114,104.17925238609314,-0.503508,
115,104.98739385604858,-0.50428873,
116,105.8065779209137,-0.60422313,
117,106.61665678024292,-0.677763,
118,107.45588207244873,-0.46431923,
119,107.94388222694397,-0.5419555,
120,109.61209440231323,-0.38849902,
121,110.42083668708801,-0.49936998,
122,111.25890755653381,-0.5266061,
123,112.07833576202393,-0.55753773,
124,112.89780330657959,-0.4877093,
125,113.71158480644226,-0.5077624,
126,114.22274422645569,-0.41308632,
127,115.88424181938171,-0.43436402,
128,117.05420207977295,-0.46847245,
129,117.86689805984497,-0.53441316,
130,118.68048930168152,-0.5732616,
131,119.49561405181885,-0.47969738,
132,120.33410024642944,-0.5295608,
133,120.8214864730835,-0.38628456,
134,122.41312265396118,-0.3351043,
135,123.22577857971191,-0.40970755,
136,124.06227135658264,-0.38824138,
137,124.88024044036865,-0.4012794,
138,125.695307970047,-0.47752583,
139,126.5088529586792,-0.5523958,
140,127.02600598335266,-0.31892508,
141,128.6731719970703,-0.34308836,
142,129.48812985420227,-0.34648085,
143,130.32952427864075,-0.3515321,
144,131.1417956352234,-0.50686026,
145,131.95780897140503,-0.34973326,
146,132.7721517086029,-0.2812937,
147,133.2611939907074,-0.4032634,
148,134.8921446800232,-0.3585906,
149,135.70587015151978,-0.35861653,
150,136.5207018852234,-0.35440844,
151,137.36112666130066,-0.24149132,
152,138.17587018013,-0.41336644,
153,138.9621937274933,-0.32588753,
154,139.82451128959656,-0.17493936,
155,141.5034511089325,-0.30131966,
156,142.31869316101074,-0.3018618,
157,143.1582682132721,-0.28093332,
158,143.97059106826782,-0.48736477,
159,144.785165309906,-0.2664773,
160,145.5959599018097,-0.36639094,
161,146.09098386764526,-0.2556002,
162,147.73813652992249,-0.30291003,
163,148.5487973690033,-0.2849267,
164,149.36587929725647,-0.39480338,
165,150.20352172851562,-0.3150546,
166,151.01861095428467,-0.39318535,
167,151.83430671691895,-0.2845648,
168,152.32307291030884,-0.40032333,
169,154.0096938610077,-0.43532944,
170,154.82178282737732,-0.21016526,
171,155.63519978523254,-0.20063663,
172,156.4710304737091,-0.2513486,
173,157.28816986083984,-0.23796462,
174,158.10451912879944,-0.1505802,
175,158.59141039848328,-0.41727728,
176,160.1858115196228,-0.21204895,
177,160.99998879432678,-0.23157638,
178,161.7917013168335,-0.19855382,
179,163.0476689338684,-0.2889633,
180,163.8525948524475,-0.28178114,
181,164.6657373905182,-0.30941015,
182,165.17035150527954,-0.2838803,
183,166.85734748840332,-0.16947484,
184,167.66820406913757,-0.21616921,
185,168.47675013542175,-0.38667172,
186,169.28233408927917,-0.3168405,
187,170.1193597316742,-0.24052694,
188,170.93333292007446,-0.2656654,
189,171.42069029808044,-0.25488916,
190,173.0821008682251,-0.2523127,
191,173.89132046699524,-0.200234,
192,174.70587611198425,-0.19504923,
193,175.5230312347412,-0.3126136,
194,176.36136317253113,-0.35216945,
195,177.1750464439392,-0.2184009,
196,177.66200947761536,-0.2938584,
197,179.25893235206604,-0.27558237,
198,180.08377242088318,-0.12953064,
199,180.88952112197876,-0.17777763,
200,181.97130489349365,-0.17783278,
201,182.80932712554932,-0.31278667,
202,183.6255977153778,-0.113930695,
203,184.10423040390015,-0.36175695,
204,186.1393129825592,-0.17183179,
205,186.95307230949402,-0.16100931,
206,187.76903200149536,-0.17242157,
207,188.58133912086487,-0.25739253,
208,189.41920256614685,-0.22727726,
209,190.23652601242065,-0.18538806,
210,190.7215485572815,-0.076846465,
211,192.3231143951416,-0.1798549,
212,193.13568234443665,-0.39447594,
213,193.95066857337952,-0.21968988,
214,194.76463341712952,-0.18402384,
215,195.60355043411255,-0.24816166,
216,196.4122965335846,-0.14850257,
217,196.9027919769287,-0.28916556,
218,198.6242778301239,-0.18256474,
219,199.44775390625,-0.30168307,
220,200.25624322891235,-0.15372941,
221,201.07031679153442,-0.20436877,
222,201.87823724746704,-0.25270966,
223,202.71159315109253,-0.28353104,
224,203.21329164505005,-0.17444214,
225,204.7432987689972,-0.14944592,
226,205.55386018753052,-0.20765719,
