train_step,log_step_index,expert_0,expert_1
0,0,0.6689453,0.3310547
100,1,0.81347656,0.18652344
200,2,0.8027344,0.19726562
300,3,0.93042576,0.069574244
400,4,0.94814813,0.05185185
500,5,0.91803277,0.08196721
600,6,0.9451477,0.05485232
700,7,0.8995984,0.10040161
800,8,0.89065605,0.10934394
900,9,0.8623047,0.13769531
1000,10,0.8897716,0.110228404
1100,11,0.8862512,0.11374877
1200,12,0.8691406,0.13085938
1300,13,0.9372385,0.06276151
1400,14,0.8968969,0.1031031
1500,15,0.9199179,0.08008213
1600,16,0.8888889,0.11111111
1700,17,0.875,0.125
1800,18,0.8730469,0.12695312
