layer,expert,mean_util
input_transformers.layers.0.ffn.gate,0,0.22048014
input_transformers.layers.0.ffn.gate,1,0.21984893
input_transformers.layers.0.ffn.gate,2,0.104158625
input_transformers.layers.0.ffn.gate,3,0.4555123
input_transformers.layers.1.ffn.gate,0,0.26007724
input_transformers.layers.1.ffn.gate,1,0.059266165
input_transformers.layers.1.ffn.gate,2,0.23984553
input_transformers.layers.1.ffn.gate,3,0.4408111
input_transformers.layers.2.ffn.gate,0,0.46537042
input_transformers.layers.2.ffn.gate,1,0.19873552
input_transformers.layers.2.ffn.gate,2,0.087628074
input_transformers.layers.2.ffn.gate,3,0.24826597
input_transformers.layers.3.ffn.gate,0,0.78163767
input_transformers.layers.3.ffn.gate,1,0.017344506
input_transformers.layers.3.ffn.gate,2,0.14763503
input_transformers.layers.3.ffn.gate,3,0.05338271
input_transformers.layers.4.ffn.gate,0,0.11790755
input_transformers.layers.4.ffn.gate,1,0.052449472
input_transformers.layers.4.ffn.gate,2,0.769776
input_transformers.layers.4.ffn.gate,3,0.059866995
input_transformers.layers.5.ffn.gate,0,0.056775983
input_transformers.layers.5.ffn.gate,1,0.04244727
input_transformers.layers.5.ffn.gate,2,0.8584797
input_transformers.layers.5.ffn.gate,3,0.04229708
input_transformers.layers.6.ffn.gate,0,0.08422413
input_transformers.layers.6.ffn.gate,1,0.27038187
input_transformers.layers.6.ffn.gate,2,0.15355097
input_transformers.layers.6.ffn.gate,3,0.491843
input_transformers.layers.7.ffn.gate,0,0.3207994
input_transformers.layers.7.ffn.gate,1,0.254347
input_transformers.layers.7.ffn.gate,2,0.05634414
input_transformers.layers.7.ffn.gate,3,0.36850938
input_transformers.layers.8.ffn.gate,0,0.03497338
input_transformers.layers.8.ffn.gate,1,0.7927803
input_transformers.layers.8.ffn.gate,2,0.08753188
input_transformers.layers.8.ffn.gate,3,0.08471449
input_transformers.layers.9.ffn.gate,0,0.029354554
input_transformers.layers.9.ffn.gate,1,0.062541224
input_transformers.layers.9.ffn.gate,2,0.8603147
input_transformers.layers.9.ffn.gate,3,0.047789484
input_transformers.layers.10.ffn.gate,0,0.021254584
input_transformers.layers.10.ffn.gate,1,0.037030555
input_transformers.layers.10.ffn.gate,2,0.83725625
input_transformers.layers.10.ffn.gate,3,0.10445866
input_transformers.layers.11.ffn.gate,0,0.82656705
input_transformers.layers.11.ffn.gate,1,0.047540694
input_transformers.layers.11.ffn.gate,2,0.10285909
input_transformers.layers.11.ffn.gate,3,0.02303325
